TVD,Northing,Easting
0.00,0.00,0.00
149.00,0.27,0.28
244.00,0.52,0.64
340.00,0.73,0.87
419.00,1.02,1.04
609.99,1.85,1.27
799.99,2.75,0.72
990.99,3.77,-0.26
1180.98,4.41,-1.35
1276.98,4.41,-1.83
1466.98,3.96,-2.59
1656.98,4.09,-3.56
1846.97,4.75,-5.17
2036.95,5.17,-7.50
2226.94,5.73,-9.95
2417.92,6.51,-12.07
2607.91,7.59,-14.04
2798.89,8.93,-16.09
2989.87,10.54,-18.40
3179.85,11.72,-20.74
3370.84,12.28,-23.19
3559.82,12.33,-25.49
3750.81,11.69,-27.59
3940.79,11.16,-30.12
4130.78,9.99,-31.82
4320.77,8.25,-32.09
4510.77,7.88,-32.36
4701.77,8.87,-32.53
4891.76,9.72,-32.83
5081.76,10.37,-34.11
5271.75,11.16,-35.64
5461.74,12.15,-37.09
5634.73,13.56,-38.78
5699.72,14.21,-39.52
5790.71,15.09,-40.61
5886.70,15.79,-42.06
6076.68,16.38,-44.44
6171.68,16.61,-45.10
6266.67,17.04,-45.91
6457.65,19.26,-47.63
6552.64,20.91,-48.22
6647.63,22.01,-48.75
6679.62,22.33,-49.48
6711.55,22.90,-51.33
6743.40,23.77,-54.38
6775.09,25.01,-58.60
6805.60,26.65,-63.84
6836.78,28.92,-70.66
6867.48,31.86,-79.15
6896.60,35.43,-89.16
6925.81,40.03,-101.37
6954.05,45.82,-115.25
6981.22,53.11,-130.47
7006.43,61.60,-146.39
7031.18,71.60,-164.03
7054.53,82.60,-182.92
7076.38,94.38,-203.11
7095.95,106.38,-223.94
7114.38,119.20,-246.73
7130.85,132.34,-270.81
7144.69,145.39,-295.27
7156.69,159.29,-321.47
7166.25,173.78,-348.34
7173.40,188.84,-375.64
7178.80,203.79,-402.26
7181.29,211.58,-416.01
7188.59,241.65,-467.40
7191.24,260.48,-497.97
7194.94,305.93,-580.11
7197.05,346.69,-664.79
7199.79,388.22,-750.18
7200.82,429.97,-835.50
7200.07,471.53,-919.81
7200.33,513.96,-1004.81
7198.42,555.57,-1089.06
7193.97,597.25,-1174.31
7191.84,638.30,-1258.84
7192.33,679.24,-1343.45
7191.29,720.77,-1428.88
7188.72,761.47,-1512.46
7186.98,802.75,-1598.01
7186.17,843.67,-1683.73
7186.11,884.61,-1769.46
7184.54,925.50,-1854.08
7180.97,967.26,-1939.33
7177.55,1008.88,-2023.55
7173.85,1050.81,-2107.60
7172.83,1090.55,-2193.84
7175.70,1126.85,-2281.58
7177.31,1163.55,-2369.18
7176.23,1203.78,-2455.22
7174.76,1246.69,-2539.96
7174.00,1288.99,-2623.90
7174.20,1330.39,-2708.29
7173.99,1371.44,-2793.96
7172.99,1412.23,-2878.65
7172.58,1453.20,-2963.25
7171.46,1494.47,-3048.81
7169.44,1535.45,-3134.49
7167.90,1575.74,-3219.40
7166.88,1616.20,-3304.24
7166.80,1657.01,-3388.92
7166.18,1698.59,-3474.33
7164.88,1740.65,-3559.50
7164.34,1782.97,-3644.56
7164.25,1825.03,-3728.62
7162.84,1867.54,-3813.56
7159.88,1909.44,-3897.65
7157.42,1952.22,-3982.44
7156.12,1995.16,-4066.05
7156.05,2038.52,-4149.45
7155.33,2080.96,-4232.19
7153.54,2123.71,-4315.89
7152.26,2167.15,-4399.24
7151.43,2211.00,-4483.51
7150.44,2254.61,-4566.78
7149.68,2297.14,-4650.59
7149.08,2338.68,-4737.14
7148.17,2379.08,-4822.01
7147.62,2419.63,-4906.81
7147.71,2460.10,-4991.65
7146.66,2500.27,-5077.73
7144.14,2539.04,-5163.32
7141.95,2577.50,-5250.16
7139.33,2616.95,-5336.54
7136.23,2657.20,-5421.43
7133.47,2698.83,-5505.66
7132.47,2741.91,-5589.19
7133.15,2784.97,-5672.75
7134.09,2828.37,-5756.12
7133.74,2870.91,-5839.94
7132.50,2912.86,-5924.05
7132.66,2956.41,-6008.48
7132.72,2999.62,-6093.08
7131.83,3041.15,-6176.29
7131.09,3084.01,-6261.06
7129.37,3125.33,-6345.47
7127.27,3165.40,-6431.58
7126.47,3204.78,-6516.93
7125.87,3243.79,-6601.35
7123.77,3282.49,-6686.98
7121.00,3322.02,-6773.32
7119.51,3362.20,-6858.28
7119.21,3402.19,-6943.35
7119.63,3442.53,-7029.36
7118.63,3483.04,-7114.17
7115.43,3524.25,-7198.60
7112.80,3565.67,-7284.05
7111.29,3606.36,-7368.77
7109.81,3646.79,-7452.51
7108.91,3688.08,-7538.06
7108.65,3728.18,-7623.08
7108.90,3767.68,-7708.37
7108.29,3807.99,-7793.28
7108.25,3849.58,-7878.69
7110.12,3890.17,-7963.46
7112.22,3930.17,-8048.50
7114.45,3970.38,-8134.54
7116.77,4009.93,-8219.78
7116.48,4049.52,-8305.02
7113.65,4089.39,-8391.20
7112.17,4129.50,-8476.20
7112.07,4170.21,-8562.03
7112.54,4210.13,-8647.13
7112.53,4250.63,-8731.96
7112.65,4291.74,-8817.60
7113.89,4331.83,-8902.61
7113.54,4371.49,-8987.83
7112.02,4410.39,-9073.39
7110.86,4448.91,-9161.31
7109.80,4486.11,-9247.63
7109.01,4523.76,-9333.76
7108.08,4562.41,-9420.53
7107.58,4600.87,-9506.30
7108.43,4638.67,-9592.36
7109.53,4658.80,-9640.30
7111.03,4682.05,-9696.67
