TVD,Northing,Easting
14.3,0.01,-0.01
28.6,0.04,-0.03
42.9,0.08,-0.06
57.2,0.15,-0.11
71.5,0.23,-0.17
85.8,0.33,-0.25
100.1,0.45,-0.34
114.4,0.59,-0.44
128.7,0.75,-0.56
142.99,0.93,-0.69
156.56,1.1,-0.82
170.13,1.28,-0.96
183.7,1.46,-1.1
197.28,1.65,-1.24
210.84,1.83,-1.39
224.41,2.02,-1.54
237.98,2.21,-1.69
251.55,2.41,-1.85
265.12,2.61,-2.01
278.68,2.81,-2.17
292.26,3.02,-2.34
305.83,3.24,-2.51
319.39,3.45,-2.68
332.96,3.67,-2.85
346.53,3.9,-3.03
360.1,4.12,-3.22
373.66,4.33,-3.41
387.24,4.55,-3.6
400.81,4.7,-3.76
414.38,4.73,-3.84
427.95,4.69,-3.89
442.75,4.64,-3.94
457.55,4.57,-3.98
472.35,4.49,-4.02
487.15,4.39,-4.04
501.95,4.28,-4.06
515.52,4.17,-4.07
529.08,4.06,-4.08
542.65,3.96,-4.09
556.23,3.85,-4.11
569.8,3.75,-4.13
583.37,3.66,-4.15
596.94,3.57,-4.17
610.51,3.48,-4.2
624.08,3.39,-4.22
637.65,3.31,-4.24
651.23,3.23,-4.26
664.8,3.16,-4.28
678.37,3.09,-4.29
691.94,3.02,-4.31
705.51,2.95,-4.32
719.08,2.89,-4.34
732.65,2.83,-4.35
746.23,2.77,-4.37
759.8,2.71,-4.38
773.37,2.65,-4.4
786.94,2.59,-4.41
800.51,2.54,-4.43
814.08,2.49,-4.45
827.65,2.43,-4.47
841.23,2.38,-4.49
854.8,2.33,-4.51
868.37,2.28,-4.54
881.94,2.24,-4.56
895.51,2.19,-4.59
909.08,2.15,-4.62
922.65,2.1,-4.66
936.23,2.06,-4.69
949.8,2.02,-4.73
963.37,1.98,-4.77
976.94,1.94,-4.8
990.51,1.91,-4.85
1004.08,1.87,-4.89
1017.65,1.84,-4.94
1031.23,1.81,-4.99
1044.8,1.78,-5.04
1058.37,1.75,-5.1
1071.94,1.73,-5.16
1085.51,1.7,-5.22
1099.08,1.68,-5.28
1112.65,1.66,-5.34
1126.23,1.64,-5.41
1139.8,1.62,-5.48
1153.37,1.61,-5.55
1166.94,1.6,-5.62
1180.51,1.59,-5.69
1194.08,1.58,-5.77
1207.65,1.57,-5.85
1221.23,1.57,-5.94
1234.8,1.57,-6.03
1248.36,1.57,-6.12
1261.93,1.57,-6.22
1275.5,1.58,-6.32
1289.07,1.58,-6.41
1302.64,1.59,-6.51
1316.22,1.59,-6.6
1329.79,1.59,-6.7
1343.36,1.59,-6.79
1356.93,1.6,-6.88
1370.64,1.6,-6.97
1384.36,1.59,-7.05
1398.07,1.59,-7.14
1411.79,1.58,-7.22
1425.5,1.56,-7.29
1439.22,1.55,-7.37
1452.93,1.53,-7.44
1466.5,1.5,-7.51
1480.07,1.48,-7.58
1493.64,1.45,-7.66
1507.22,1.42,-7.74
1520.79,1.39,-7.82
1534.36,1.36,-7.91
1547.93,1.32,-8
1561.5,1.28,-8.1
1575.07,1.24,-8.19
1588.64,1.19,-8.28
1602.22,1.14,-8.38
1615.79,1.09,-8.47
1629.36,1.03,-8.57
1642.93,0.98,-8.66
1656.36,0.92,-8.75
1669.78,0.86,-8.85
1683.21,0.8,-8.94
1696.63,0.75,-9.03
1710.06,0.69,-9.13
1723.49,0.63,-9.22
1736.92,0.57,-9.32
1750.49,0.52,-9.41
1764.06,0.46,-9.51
1777.63,0.41,-9.6
1791.21,0.35,-9.69
1804.78,0.3,-9.78
1818.35,0.25,-9.87
1831.92,0.21,-9.96
1845.49,0.16,-10.04
1859.06,0.12,-10.13
1872.63,0.07,-10.22
1886.21,0.03,-10.3
1899.78,0,-10.39
1913.35,-0.04,-10.48
1926.92,-0.07,-10.58
1940.49,-0.1,-10.67
1954.06,-0.13,-10.76
1967.63,-0.16,-10.84
1981.21,-0.18,-10.93
1994.78,-0.2,-11.01
2008.35,-0.22,-11.1
2021.92,-0.24,-11.18
2035.62,-0.25,-11.26
2049.34,-0.26,-11.34
2063.05,-0.26,-11.43
2076.77,-0.25,-11.51
2090.48,-0.25,-11.6
2104.2,-0.23,-11.69
2117.91,-0.21,-11.78
2131.48,-0.19,-11.87
2145.05,-0.17,-11.95
2158.62,-0.14,-12.03
2172.2,-0.11,-12.1
2185.77,-0.08,-12.16
2199.34,-0.04,-12.23
2212.91,0,-12.28
2226.48,0.04,-12.34
2240.05,0.08,-12.41
2253.62,0.11,-12.49
2267.2,0.15,-12.59
2280.77,0.18,-12.69
2294.34,0.22,-12.8
2307.91,0.25,-12.93
2321.48,0.28,-13.06
2335.05,0.32,-13.2
2348.62,0.36,-13.35
2362.2,0.41,-13.5
2375.76,0.46,-13.65
2389.33,0.51,-13.81
2402.9,0.58,-13.97
2416.61,0.64,-14.13
2430.33,0.72,-14.29
2444.04,0.8,-14.45
2457.76,0.89,-14.61
2471.47,0.98,-14.77
2485.19,1.09,-14.92
2498.89,1.2,-15.07
2512.18,1.31,-15.22
2525.46,1.43,-15.36
2538.75,1.56,-15.51
2552.03,1.7,-15.66
2565.32,1.85,-15.8
2578.6,2,-15.95
2591.88,2.17,-16.09
2605.45,2.33,-16.23
2619.02,2.47,-16.36
2632.59,2.59,-16.48
2646.17,2.69,-16.59
2659.74,2.74,-16.65
2673.31,2.69,-16.57
2686.88,2.57,-16.39
2700.44,2.44,-16.19
2714.01,2.29,-15.97
2727.58,2.12,-15.74
2741.16,1.95,-15.49
2754.72,1.75,-15.22
2768.29,1.55,-14.94
2781.85,1.33,-14.64
2795.42,1.11,-14.34
2808.98,0.89,-14.05
2822.55,0.67,-13.77
2836.12,0.45,-13.5
2849.69,0.24,-13.24
2863.25,0.03,-13
2876.82,-0.18,-12.76
2890.53,-0.39,-12.54
2904.24,-0.59,-12.31
2917.95,-0.79,-12.1
2931.67,-0.98,-11.89
2945.38,-1.17,-11.68
2959.09,-1.36,-11.48
2972.8,-1.54,-11.28
2986.37,-1.71,-11.1
2999.93,-1.88,-10.91
3013.5,-2.05,-10.74
3027.08,-2.21,-10.57
3040.65,-2.37,-10.4
3054.22,-2.53,-10.24
3067.79,-2.68,-10.09
3081.35,-2.82,-9.95
3094.92,-2.97,-9.81
3108.49,-3.1,-9.68
3122.07,-3.23,-9.56
3135.64,-3.36,-9.44
3149.21,-3.48,-9.33
