TVD,Northing,Easting
0,0,0
180.995625,-0.926862973,0.573336536
307.9812661,-2.375846705,1.791172303
401.9658475,-3.727284697,2.816604576
510.9459603,-5.500279992,3.906256162
699.9289275,-7.210725458,5.586409178
890.9262153,-7.488211622,6.546343598
1080.925672,-7.302374089,6.822078118
1271.923536,-6.824924482,6.142863591
1366.920514,-6.763569503,5.393353771
1556.910111,-7.12910363,3.448837915
1746.898408,-7.973943685,1.526214539
1937.888786,-9.038489263,-0.067226476
2127.879649,-10.29766179,-1.433291394
2318.871839,-11.73262935,-2.378673311
2508.868088,-12.81188553,-2.847144833
2698.867216,-13.35020206,-2.892201066
2889.86663,-13.80178688,-2.798779362
3079.865633,-14.37948569,-2.98687214
3269.865097,-14.78145008,-3.114768009
3364.865002,-14.88826073,-3.168424463
3555.864692,-15.16029538,-3.359471784
3745.864287,-15.13793169,-3.654538399
3936.863591,-15.35164011,-3.916501412
4126.861344,-15.55723771,-4.630324123
4315.856941,-14.64337163,-5.409701179
4410.854926,-14.03793442,-5.333433817
4506.852948,-13.44313752,-5.186675837
4696.84509,-11.76650021,-5.469488915
4887.8357,-9.909615652,-5.58819789
4982.83047,-8.943691046,-5.351778817
5172.815037,-6.558164171,-4.956784886
5296.806796,-5.142020302,-4.93662977
5412.80193,-4.097054427,-5.127197874
5507.797865,-3.346435006,-5.558512743
5602.793543,-2.912544342,-6.340987924
5698.790488,-2.686479214,-7.065925758
5793.787668,-2.331812572,-7.700690671
5888.783777,-2.153400875,-8.522709331
5983.779941,-2.115974862,-9.370079214
6047.778307,-2.197570676,-9.800408309
6079.773183,-2.684006139,-9.658661297
6110.728357,-3.984883709,-8.703273648
6142.568172,-6.412580421,-6.670017581
6174.227559,-9.958095108,-3.679453843
6204.678381,-14.38128728,0.068752293
6234.908807,-19.65228453,4.458250398
6265.879082,-25.94575327,9.47216373
6295.616621,-32.83273629,14.87317032
6326.00024,-40.70059884,21.10456046
6356.009101,-49.39298318,28.01818771
6385.594039,-58.89726484,35.65265228
6413.804642,-68.86063823,43.76353636
6442.441184,-79.89981939,52.81818878
6470.586019,-91.64626738,62.50309171
6498.250341,-104.0038374,72.79406301
6524.561593,-116.5368606,83.35610764
6551.204987,-130.0992254,94.76347244
6577.347934,-144.2509613,106.604389
6602.091344,-158.6238433,118.5241477
6626.951853,-174.1389779,131.3747719
6651.180406,-190.1515738,144.809989
6674.787509,-206.6035196,158.808467
6697.717993,-223.5208425,173.3657054
6719.88963,-240.9244739,188.5123751
6740.490086,-258.3291096,203.795097
6760.817714,-276.8176237,220.1917662
6780.196958,-295.8303936,237.1275997
6798.625954,-315.4223836,254.4604772
6815.81917,-334.8086788,271.4762874
6833.111395,-355.0455608,289.2364764
6849.964297,-375.4438781,307.2327351
6865.802556,-395.4976987,324.7814087
6881.420983,-416.4371123,343.261076
6896.120139,-437.3274522,362.5324646
6909.769524,-458.2284984,382.549842
6922.333859,-478.6435479,402.2058334
6934.723523,-499.9963906,422.5640958
6945.908451,-521.9404012,442.9879101
6955.465934,-544.6760856,463.3696945
6962.324397,-565.1810391,481.1549713
6975.849686,-614.0659757,524.9167258
6977.846757,-621.2774645,531.5495937
6978.945156,-624.9247563,534.7884343
6981.145411,-632.3462164,541.1189809
7026.279612,-1023.747155,737.5308825
7019.647698,-1392.690239,828.288904
7018.950295,-1558.771281,864.4547794
7100.073787,-10174.49265,2500.20059
