TVD,Northing,Easting
1155.92,0.32,-8.05
1218.917685,0.846258582,-7.964080549
1312.913344,1.742818422,-7.967962964
1407.909717,2.568740392,-7.997353206
1502.904342,3.547576607,-8.175105404
1596.899157,4.422978447,-7.963178856
1691.893466,5.138882832,-7.213883625
1786.88895,5.808370776,-6.576173275
1881.885949,6.246611849,-5.967250365
1976.881684,5.951884629,-5.19944816
2071.872108,4.973017513,-4.273432707
2166.865252,4.242346164,-3.41843652
2261.861041,3.732821404,-2.689010496
2356.855659,2.944114869,-2.063405054
2450.850865,2.146021953,-1.561284047
2545.847921,1.568798525,-1.090799634
2640.84401,0.872458718,-0.597644626
2735.840479,0.147705348,-0.231310519
2830.835878,-0.635279267,0.251144573
2925.826425,-1.832419882,0.842894345
3019.821348,-2.228433242,1.532131994
3114.818147,-1.79756159,2.161300205
3209.817141,-1.499480613,2.47832623
3304.815114,-1.474956305,3.045870821
3399.810893,-1.742629464,3.900152456
3494.806258,-2.323794884,4.612225682
3589.804669,-2.520243519,4.852558797
3683.800759,-1.697814196,4.703045091
3778.797271,-0.949770465,4.490527127
3873.795673,-0.478587511,4.216674455
3968.794164,0.012210606,4.023722712
4063.793145,0.117080972,3.659139601
4158.789475,-0.433925814,3.074165414
4252.785333,-1.224128297,2.699346433
4347.782403,-1.913365256,2.415936693
4442.776374,-2.827458542,1.882387567
4537.769354,-3.687803739,1.125446454
4632.762651,-3.368755469,0.190611018
4727.752323,-2.33714662,-0.744348132
4821.744384,-1.529980134,-1.657817969
4916.735539,-1.116054644,-2.860968025
5011.731402,-0.903529294,-3.651687299
5106.731028,-0.751307398,-3.623899596
5201.730594,-0.980686943,-3.497860991
5296.729622,-1.24203986,-3.216499313
5327.728941,-1.307313853,-3.021698427
5442.71287,-2.776117212,-3.679624036
5474.697583,-3.714320683,-3.884164869
5504.664336,-4.694829526,-2.971070158
5536.627236,-3.982945881,-2.20588838
5568.328588,0.044413276,-3.455054431
5599.307804,7.473267199,-6.263851782
5629.10664,18.4175702,-10.13381844
5642.864233,24.00440438,-12.24674498
5716.018424,51.51807735,-23.75596369
6162.338054,644.2811991,-301.0977928
6211.904426,4048.321654,-1959.153476
