TVD,Northing,Easting
409.99,-0.86,-2.09
547.9876323,-0.959207493,-2.876572317
642.9868749,-0.927351292,-3.240294761
736.9859812,-0.704773017,-3.584348391
831.9847087,-0.640676876,-4.054986962
926.9835778,-0.692903254,-4.505781757
1021.982211,-0.626547864,-4.99745573
1116.980635,-0.95153297,-5.250368569
1211.974743,-1.826579439,-4.698812783
1305.965508,-2.910114828,-3.959120697
1400.957872,-4.011263234,-3.478473475
1495.952,-4.89444956,-2.911331353
1590.947608,-5.661179318,-2.44063478
1685.944752,-6.321630469,-2.125901506
1779.942844,-6.829384288,-1.817602083
1874.941519,-7.216844344,-1.508890558
1969.94013,-7.50691762,-1.085019425
2064.938409,-7.862893346,-0.640964835
2159.937102,-8.24782086,-0.341830807
2253.936696,-8.313135948,-0.122903088
2348.936334,-8.139269566,0.05886639
2443.936159,-7.971203163,0.12868664
2538.93608,-7.970412996,0.193787314
2632.935806,-7.971761143,0.029037928
2727.934237,-7.999320932,-0.496436412
2822.931919,-7.862491064,-1.109321797
2917.925403,-6.969720561,-1.732822307
3012.915097,-5.787431036,-2.478451746
3107.906894,-4.96437752,-3.402124252
3201.896725,-4.291383043,-4.604475058
3296.890011,-3.840152908,-5.595623005
3391.887772,-3.647250242,-6.21658284
3486.882409,-3.215443952,-7.112425568
3581.880085,-2.940751858,-7.433025556
3675.877302,-2.976333063,-6.720312306
3770.874139,-2.847588117,-5.968746283
3865.872781,-2.500991604,-5.623332143
3960.872406,-2.308203377,-5.706409272
4055.872035,-2.212684255,-5.944681214
4150.871795,-2.287912663,-5.934359738
4244.869539,-2.910682221,-5.884163885
4339.860737,-4.176851376,-5.783194659
4434.852708,-5.052619038,-5.064825851
4529.844147,-4.869858129,-3.817259086
4624.838091,-4.607033529,-2.807190995
4719.834747,-4.453455464,-2.03167343
4813.83155,-4.392134983,-1.272192583
4908.829929,-4.45931629,-0.725296057
5003.828812,-4.516317678,-0.269929656
5098.826978,-4.593198657,0.309617413
5192.826292,-4.58374943,0.541189664
5287.826073,-4.588463218,0.340906647
5382.825498,-4.798884207,0.106417603
5430.824822,-4.973519907,-0.078343172
5575.819307,-6.03100923,-0.691771955
5670.812452,-7.063975696,-1.173494153
5765.80446,-8.1866376,-1.675057549
5831.79578,-9.136352135,-2.154404786
5863.772927,-10.09806578,-2.810124977
5894.67383,-12.07318902,-4.237988142
5926.419344,-15.22235585,-6.714341306
5957.97643,-19.26836974,-10.12948229
5988.324198,-24.00973299,-14.30040743
6019.364916,-29.79641866,-19.48284084
6049.143173,-36.20196007,-25.23910112
6079.593205,-43.47413422,-31.86042767
6109.723565,-51.3695826,-39.19020774
6138.565427,-59.66935613,-46.94833396
6167.986761,-68.81502137,-55.58976437
6196.114231,-78.19171758,-64.63641907
6224.716178,-88.38349707,-74.73446488
6252.78695,-99.18123299,-85.65688528
6279.299428,-110.3921844,-97.1556603
6305.852709,-122.7451312,-110.0450219
6331.511937,-135.8963546,-123.9173239
6355.414277,-149.4292213,-138.2817152
6379.154135,-164.107259,-153.9292368
6401.362102,-178.872734,-169.7306703
6423.461055,-194.7195356,-186.5947085
6444.661446,-211.2099032,-203.9866471
6464.193894,-227.7855436,-221.4384141
6483.29883,-245.4561623,-240.0563372
6501.41355,-263.5636852,-259.235751
6518.037113,-281.4573964,-278.3245405
6534.284824,-300.2397381,-298.5022411
6548.800639,-318.8276242,-318.6149294
6562.160505,-338.5873866,-339.9408343
6573.712151,-358.9721837,-361.7270873
6579.125892,-370.0094826,-373.4682744
6604.863431,-432.6988116,-442.8195722
6610.905032,-453.2397479,-466.5923223
6614.698788,-474.1506215,-490.5062191
6616.039901,-494.440573,-513.8934807
6615.897472,-514.7009885,-538.6600679
6615.436564,-533.7435809,-564.3664486
6615.070684,-551.3304203,-591.0941587
6614.810887,-566.8691831,-617.9106871
6614.64051,-581.2830572,-646.4763166
6614.623749,-594.038212,-675.8181663
6614.642688,-604.8710687,-704.8614741
6614.729282,-614.5348048,-735.3623583
6614.989057,-622.3886912,-766.3777142
6615.421997,-628.4630925,-797.7886909
6615.92528,-632.6558147,-828.4957722
6616.433617,-635.2660485,-860.3812961
6616.835803,-636.2849641,-892.3596369
6617.141548,-635.8251405,-923.351881
6617.401309,-633.771551,-955.2812479
6617.47708,-630.021074,-986.0482705
6617.217318,-624.3223102,-1017.531666
6616.760065,-617.2948842,-1047.718366
6616.106505,-608.5016337,-1078.475491
6615.567499,-598.246894,-1108.780247
6615.548556,-586.821813,-1137.59261
6615.961942,-573.3313525,-1166.602407
6616.60319,-558.7682656,-1193.957125
6617.265086,-542.3638383,-1221.421207
6617.745487,-524.6476038,-1248.060993
6617.910274,-505.6468293,-1273.80474
6617.728716,-485.3685775,-1298.553503
6617.625896,-464.4995942,-1321.472115
6617.681753,-441.9427567,-1344.167166
6617.532699,-397.8166476,-1386.283455
6616.96067,-328.7478164,-1451.507322
6614.883262,-259.3503234,-1517.801687
6610.93852,-190.5212732,-1584.606471
6608.377092,-121.7215719,-1650.053932
6608.716989,-52.31329919,-1714.914185
6608.60093,16.78769462,-1780.100014
6606.918042,85.36622767,-1845.818531
6606.6859,154.487204,-1910.977544
6607.307666,224.8393831,-1974.813756
6607.073094,295.8717272,-2039.39158
6606.16117,365.6962423,-2103.801207
6607.400871,436.0516895,-2169.088106
6610.028536,506.1314077,-2233.169198
6611.821237,577.1628551,-2297.723547
