TVD,Northing,Easting
0,0,0
162.1992086,-0.418252579,-0.132677527
255.6877962,-0.903834351,-0.300665659
349.1774128,-1.076848906,-0.337933911
442.667358,-1.081704448,-0.312445717
536.1559268,-1.388469114,0.024689145
629.6437702,-1.615608774,0.594518496
723.1288509,-1.554299584,1.505853325
816.6092698,-1.409273175,2.835379237
910.0920933,-1.665553701,3.934182342
1003.577049,-1.857673721,4.841991752
1097.061915,-1.543006667,5.769006422
1190.547858,-1.432365934,6.619937535
1284.035145,-1.642827923,7.297527109
1377.52258,-1.904669596,7.937895402
1471.011713,-2.057416035,8.262418398
1564.50169,-2.071337119,8.303760193
1657.991431,-2.239755521,8.318512953
1751.480396,-2.643554875,8.158679062
1844.969933,-2.642486918,7.989656415
1938.459176,-2.315903595,7.820352775
2031.948161,-2.171168794,7.419837345
2125.436561,-2.516198738,7.072496326
2218.924286,-2.798021127,6.577785284
2312.410366,-2.585242592,5.749036899
2405.896461,-2.694026299,4.928636821
2499.382191,-2.762684776,4.070155337
2592.86665,-2.244108349,3.200882376
2686.350842,-1.635136144,2.356924813
2779.835038,-1.183163121,1.419988654
2873.319734,-0.482293613,0.767967245
2966.804789,0.279721107,0.219205158
3060.29156,0.794250488,-0.347205628
3153.779309,1.28344243,-0.769819274
3247.267278,1.575107086,-1.304154203
3340.754567,2.081809768,-1.749403343
3434.238555,3.031622116,-2.212890773
3527.720249,4.155357596,-2.746889967
3621.200457,5.442482325,-3.161491657
3714.679509,6.774348795,-3.675787383
3808.158622,8.116711753,-4.144072704
3901.63847,9.485710635,-4.137963776
3995.118187,10.79262267,-3.687848564
4088.601653,11.83527934,-3.665795309
4182.063925,13.67505249,-4.830811534
4275.4534,17.3131542,-7.119010379
4368.794438,21.72654537,-10.0088297
4462.159748,25.70380785,-12.73055934
4555.544947,29.08795934,-15.57299124
4648.940389,32.10979435,-18.48920583
4742.360423,34.71620613,-20.99084463
4835.791469,37.09834031,-23.30261923
4929.229214,39.40960108,-25.40378295
5055.024823,42.32104956,-27.67745927
5148.484024,44.27795651,-29.0633514
5241.952886,45.90155873,-30.19935628
5335.428974,47.17995863,-31.1781613
5428.909617,48.07836917,-32.13963481
5428.91,48.08,-32.14
5466.907515,48.33349398,-32.49265213
5497.889999,48.72406687,-33.38361179
5529.71156,50.07289924,-36.33776281
5561.047812,53.09172598,-41.99758183
5591.529688,57.72016008,-50.50608505
5619.826684,63.6575304,-61.64132512
5647.419021,71.64671847,-75.70546549
5671.484559,81.07741131,-90.90330983
5694.922698,93.12104842,-109.0298002
5715.186864,106.3784122,-128.3592665
5732.220533,120.3224135,-148.7200061
5747.496647,135.4558875,-171.040821
5761.389358,151.3813922,-195.0621917
5773.390475,167.2904773,-220.0911598
5783.210204,182.8089654,-245.0609397
5792.071709,198.4848962,-270.2945152
5799.762691,213.2457097,-294.0406982
5806.917998,229.5719925,-319.399867
5813.069092,246.5466157,-344.5978834
5818.70775,263.7398783,-369.7692218
5823.880107,281.0563453,-394.9550315
5828.748064,299.1224772,-420.9149058
5832.993892,317.2066282,-446.9690449
5835.756955,334.1293972,-471.5826994
5837.292138,352.1537947,-497.975926
5838.726936,387.4237995,-550.1577603
5841.860014,440.605659,-628.8106846
5846.711075,493.249145,-705.3218375
5850.319399,546.2448148,-782.8662087
5854.027098,597.5914208,-860.3095062
5860.56778,648.7039377,-938.9253324
5866.010017,699.3264955,-1016.742573
5867.519379,750.7875442,-1094.182662
5867.212638,803.5731758,-1173.167025
5867.663813,854.8571684,-1251.941617
5866.419514,905.0480344,-1329.022921
5863.089772,956.863301,-1407.381533
5858.522555,1009.097262,-1485.393895
5853.260458,1059.990225,-1560.647491
5848.922594,1112.07589,-1638.77636
5843.740636,1165.110178,-1716.204227
5837.282996,1218.200764,-1791.062016
5830.639392,1272.291768,-1868.874319
5824.349943,1323.849288,-1944.810177
5818.526287,1373.71277,-2019.50685
5813.533038,1425.285368,-2094.30608
5808.883996,1480.439769,-2171.515569
5805.554359,1535.022905,-2247.967338
5803.987557,1590.262836,-2325.239613
5803.411608,1621.968742,-2370.177279
5803.009489,1649.54746,-2409.461533
