TVD,Northing,Easting
0,0,0
144.9998756,-0.138239749,0.08915775
240.9993902,-0.399941092,0.238556831
335.9988122,-0.704773044,0.363344754
430.9983163,-1.004240614,0.428862355
600.9976941,-1.378416423,0.65719113
791.9971902,-1.095113888,0.777841027
981.9953819,-1.197503435,0.172482209
1171.98784,-2.174141566,-1.198635579
1266.984942,-2.625330306,-1.76537908
1361.983363,-3.079625702,-2.069700809
1456.981272,-3.615210274,-2.401545778
1551.979489,-4.117795317,-2.690996641
1643.978239,-4.513292984,-2.960382458
1741.977186,-4.866515265,-3.243783418
1836.976563,-4.988340717,-3.543728235
1932.97466,-4.793077841,-4.101439176
2027.969745,-4.386686144,-4.972852686
2121.963671,-4.678327243,-5.896436527
2216.946661,-6.307999554,-6.578921653
2312.924307,-8.30914601,-7.101919154
2407.904402,-10.21196047,-7.489000694
2502.877157,-12.45954201,-7.814072921
2597.860485,-14.10556083,-7.534872681
2692.852027,-14.77751405,-6.465368646
2787.845887,-15.05492372,-5.434993127
2882.843953,-14.93080679,-4.878701621
2977.842732,-14.71508681,-5.177438708
3072.83653,-14.89322808,-6.223870962
3167.824154,-16.12575719,-6.980427432
3262.80516,-17.97040936,-7.416792725
3357.796463,-19.1037116,-7.909427104
3452.795905,-19.22448387,-7.969384977
3547.79543,-18.97954001,-7.803730376
3642.795067,-18.96146442,-7.986913285
3737.794405,-19.0488783,-8.320974194
3833.794097,-19.05423405,-8.56369784
3928.792541,-18.7150584,-8.936748727
4023.790837,-18.57524899,-8.720793351
4118.782804,-19.24082711,-7.693808702
4213.77405,-20.04802615,-6.69409482
4308.769154,-20.66119865,-5.953689799
4404.765879,-21.11753309,-5.307735694
4499.76429,-21.24347844,-4.79635692
4594.763195,-20.95396135,-4.461196008
4689.760937,-20.32329633,-4.371337216
4784.758272,-19.61597246,-4.410706681
4879.754295,-19.36960095,-3.703505031
4975.74423,-19.55401355,-2.325982036
5165.727684,-19.33221703,0.13622251
5204.724862,-19.1288194,0.558478313
5312.712601,-18.0346368,1.729623222
5407.676006,-18.36554807,4.047562926
5502.614953,-20.09361131,6.954070935
5598.589745,-21.23217955,8.810730809
5693.575286,-21.75444137,10.36955853
5788.550023,-21.37952798,12.4902417
5883.537461,-21.23494602,13.77305126
5978.53521,-21.88836686,13.78306556
6073.533009,-22.53384534,13.74466054
6168.531504,-23.06344012,13.71271849
6232.53046,-23.16820788,13.99979158
6261.515991,-22.94444904,14.82076664
6295.379499,-22.01247527,17.62315955
6326.986891,-20.35756152,22.30276389
6354.379048,-18.43145595,27.76545941
6388.20771,-15.62121215,36.27254535
6418.633805,-12.75536486,45.74861823
6445.750735,-9.942509498,55.62962066
6476.896761,-6.317368533,68.76192273
6505.364539,-2.458236315,82.84492584
6529.639151,1.242279441,96.2981465
6559.648009,6.171916935,113.6230655
6586.861902,11.02628603,129.7414963
6610.966215,15.762674,145.1480422
6638.119287,21.67085085,164.7298184
6662.654271,27.43889126,184.44304
6683.418792,32.56229472,202.512492
6708.343582,39.0075993,226.2177239
6729.920721,45.01964905,249.0657742
6748.469174,50.69357769,270.62171
6769.436208,57.88602923,297.6997793
6786.962685,64.61918376,323.6066713
6801.663106,70.84889878,347.8140592
6817.665567,78.48921753,376.8197048
6830.937542,85.96407434,404.9528416
6840.932081,92.6600186,430.2336806
6852.73855,101.358859,463.1109972
6862.261108,108.9744466,491.6109645
6869.636629,116.0281539,517.6801879
6877.17596,125.2328587,551.6531034
6882.676195,133.270306,581.0831407
6887.167626,140.8250173,608.7180109
6890.160026,147.2399596,632.693147
6893.893776,173.8336876,735.1585417
6891.532339,197.0329032,825.1871946
6890.280531,221.6261606,916.9381626
6889.640697,246.8486832,1007.488619
6889.367102,271.339386,1099.27361
6889.186635,294.1753989,1190.456957
6890.334967,316.5786176,1281.735039
6893.907274,338.3612922,1374.133684
6896.802864,361.3201303,1465.230374
6898.891848,386.565748,1556.790393
6902.000218,412.6410095,1648.086985
6902.041224,439.3160708,1738.198229
6897.996762,466.7172398,1829.070162
6895.511128,491.8387016,1919.598896
6895.322458,514.3483361,2010.863437
6896.004176,536.136952,2101.271869
6898.071148,557.9076976,2192.691288
6901.502586,579.6513276,2285.105273
6903.430177,602.2898374,2376.307688
6903.569629,626.1985816,2467.216116
6904.083627,649.9120166,2559.20714
6905.130558,672.1255287,2649.508167
6905.453917,696.0057282,2741.448459
6905.13059,721.0331931,2833.090592
6905.17981,744.2030305,2924.188748
6905.130067,766.2593075,3016.592443
6905.86027,789.8788028,3107.562556
6908.413334,816.0305247,3198.85467
6909.764492,842.10749,3290.186909
6909.584026,867.9698278,3380.558151
6910.223859,893.800246,3470.937111
6911.475657,919.7921271,3562.303369
6913.911681,946.0237323,3652.534716
6914.840098,972.4839288,3743.760311
6913.882443,997.3276873,3833.374477
6913.373845,1021.108892,3924.313975
6913.09494,1043.72995,4015.550705
6913.36852,1066.003821,4107.901895
6914.545277,1088.02778,4198.247935
6917.189552,1111.579232,4290.24207
6917.794646,1135.81821,4382.080249
6916.120082,1160.634036,4473.765156
6915.562268,1186.464271,4564.143404
6915.234128,1211.828728,4654.653114
6915.507713,1237.143616,4746.214927
6915.778454,1261.049967,4837.114465
6914.982509,1281.496596,4929.879285
6913.863251,1298.81523,5023.276691
6913.725275,1312.921699,5115.194781
6914.007197,1323.617141,5209.58046
6915.344349,1330.107828,5303.335336
6917.574235,1334.250338,5398.217019
6918.903103,1338.415681,5492.114625
6919.549915,1340.51248,5587.075493
6920.014275,1337.396347,5682.012001
6921.252918,1331.175422,5775.79674
6923.410133,1323.818707,5869.482573
6925.176084,1317.872108,5964.271272
6926.759442,1314.060142,6059.180266
6927.505526,1310.140227,6154.091355
6927.046156,1305.540234,6247.9769
6928.538306,1299.915493,6342.794076
6929.645841,1296.111737,6436.69515
6928.808529,1294.743935,6531.681554
6927.660127,1293.90729,6625.67049
6926.731564,1292.033898,6720.643696
6926.126373,1289.074798,6815.595471
6925.10907,1284.499972,6909.471665
6924.362944,1277.319408,7004.195798
6924.592637,1268.636801,7097.791576
6927.145618,1259.526821,7192.312095
6931.463407,1251.486666,7286.872411
6933.711077,1246.087268,7380.675578
6933.432097,1245.603309,7474.659804
6932.594746,1246.747263,7569.646915
6931.815438,1245.787576,7663.637149
6930.896385,1240.803619,7757.483702
6930.756865,1229.131167,7850.730885
6930.98655,1213.624917,7943.442269
6931.218722,1195.483713,8036.683943
6931.721899,1175.799118,8127.575202
6933.487563,1155.873428,8220.441299
6936.202421,1136.675196,8312.418712
6937.719905,1118.130166,8404.557826
6938.868316,1100.219747,8496.82777
6939.332563,1082.81012,8590.215852
6939.050691,1066.003573,8683.716365
6939.697463,1047.342593,8776.8522
6941.11654,1026.799471,8868.56882
6942.543815,1006.608679,8960.36362
6944.127199,986.6977491,9053.23972
6944.676866,969.3441305,9145.612128
6943.14291,956.1913346,9239.673234
6942.40458,943.6957301,9332.825472
6943.35421,927.8599505,9424.45733
6944.46511,910.7364376,9517.893777
6945.794136,892.6585753,9610.122952
6947.15126,872.1033468,9703.886527
6947.881324,851.5025237,9795.59804
6948.909332,838.6885348,9856.246378
6950.668372,827.2140923,9915.112692
