TVD,Northing,Easting
5565.23,147.47,-14.02
5571.46,148.38,-13.43
5596.1,151.06,-10.25
5620.66,152.29,-5.75
5644.97,152.06,0.04
5668.89,150.38,7.09
5692.27,147.26,15.36
5714.97,142.71,24.79
5736.84,136.76,35.32
5757.75,129.46,46.89
5777.58,120.83,59.43
5779,120.15,60.4
5816.1,101.04,84.39
5854.97,78.94,106.75
5894.01,54.66,126.39
5933.01,28.31,143.22
5953.22,13.84,150.83
5971.8,0.03,157.16
5997.66,-20,164.87
6010.22,-29.97,168.3
6086.82,-90.74,189.22
6163.42,-151.52,210.15
6240.03,-212.3,231.08
6313.27,-270.4,251.09
6316.62,-273.09,252.02
6335.11,-288.91,257.73
6352.56,-305.62,264.14
6368.92,-323.14,271.22
6384.12,-341.42,278.94
6398.1,-360.39,287.28
6410.81,-379.98,296.2
6422.21,-400.11,305.68
6432.24,-420.7,315.67
6440.89,-441.69,326.14
6448.1,-462.99,337.05
6453.86,-484.53,348.36
6458.14,-506.21,360.02
6460.93,-527.97,372
6462.22,-549.81,384.3
6463.03,-582.89,403.13
6463.28,-593.17,408.99
6465.39,-680.05,458.46
6467.5,-766.93,507.93
6468.27,-798.52,525.92
6469.61,-853.81,557.4
6471.73,-940.69,606.87
6473.84,-1027.57,656.34
6475.95,-1114.45,705.81
6478.06,-1201.33,755.28
6480.18,-1288.21,804.75
6482.29,-1375.09,854.22
6484.4,-1461.97,903.69
6486.52,-1548.85,953.16
6488.63,-1635.73,1002.64
6490.74,-1722.61,1052.11
6492.85,-1809.49,1101.58
6494.97,-1896.37,1151.05
6497.08,-1983.25,1200.52
6499.19,-2070.13,1249.99
6501.31,-2157.01,1299.46
6503.42,-2243.89,1348.93
6505.53,-2330.77,1398.4
6507.64,-2417.65,1447.87
6509.76,-2504.53,1497.34
6511.87,-2591.41,1546.81
6513.98,-2678.29,1596.29
6516.1,-2765.17,1645.76
6517.01,-2802.92,1667.25
6518.21,-2852.72,1694
6520.34,-2943.79,1735.18
6522.46,-3038.11,1768.26
6522.81,-3054.16,1772.99
6524.57,-3134.18,1795.92
6526.68,-3230.29,1823.46
6528.79,-3326.4,1851
6530.91,-3422.51,1878.54
6533.02,-3518.62,1906.08
6534.65,-3593.1,1927.42
6535.13,-3614.73,1933.62
6535.81,-3645.61,1942.47
6537.24,-3710.84,1961.16
6539.35,-3806.95,1988.7
6541.46,-3903.06,2016.24
6543.58,-3999.17,2043.78
6545.69,-4095.28,2071.32
6547.8,-4191.39,2098.86
6549.91,-4287.5,2126.41
6552.02,-4383.6,2153.95
6554.14,-4479.71,2181.49
6556.25,-4575.82,2209.03
6558.36,-4671.93,2236.57
6560.47,-4768.04,2264.11
6562.58,-4864.15,2291.65
6564.69,-4960.26,2319.19
6566.81,-5056.37,2346.73
6568.92,-5152.48,2374.27
6571.03,-5248.59,2401.81
6573.14,-5344.7,2429.35
6575.25,-5440.81,2456.9
6577.36,-5536.92,2484.44
6579.48,-5633.03,2511.98
6581.59,-5729.14,2539.52
6583.7,-5825.25,2567.06
6585.81,-5921.36,2594.6
6587.92,-6017.47,2622.14
6590.03,-6113.58,2649.68
6592.15,-6209.69,2677.22
6594.26,-6305.8,2704.76
6596.37,-6401.91,2732.3
6598.48,-6498.01,2759.84
6600.59,-6594.12,2787.39
6602.7,-6690.23,2814.93
6604.82,-6786.34,2842.47
6606.93,-6882.45,2870.01
6609.04,-6978.56,2897.55
6611.15,-7074.67,2925.09
6613.26,-7170.78,2952.63
6615.37,-7266.89,2980.17
6617.49,-7363,3007.71
6619.6,-7459.11,3035.25
6621.71,-7555.22,3062.79
6623.82,-7651.33,3090.33
6625.93,-7747.44,3117.88
6628.04,-7843.55,3145.42
6630.16,-7939.66,3172.96
6632.27,-8035.77,3200.5
6634.38,-8131.88,3228.04
6636.49,-8227.99,3255.58
6638.6,-8324.1,3283.12
6640.71,-8420.21,3310.66
6642.83,-8516.32,3338.2
6644.94,-8612.42,3365.74
6647.05,-8708.53,3393.28
6649.16,-8804.64,3420.82
6650.39,-8860.57,3436.85
