TVD,Northing,Easting
0,0,0
5000,0,0
5099.95,-1.11,-2.37
5199.63,-4.42,-9.48
5249.29,-6.91,-14.81
5298.86,-9.66,-20.72
5316.7,-10.66,-22.85
5323.64,-11,-23.73
5348.33,-11.49,-27.59
5372.81,-10.83,-32.61
5396.97,-9.03,-38.75
5420.71,-6.1,-46
5443.93,-2.05,-54.31
5466.53,3.1,-63.67
5488.42,9.34,-74.01
5509.49,16.63,-85.31
5529.65,24.95,-97.51
5548.84,34.25,-110.57
5564.97,43.3,-122.82
5566.95,44.49,-124.41
5571.85,47.43,-128.32
5637.66,86.92,-180.97
5708.37,129.35,-237.54
5779.08,171.79,-294.1
5849.79,214.22,-350.67
5920.5,256.65,-407.23
5982.67,293.95,-456.97
5987.6,296.91,-460.91
5991.19,299.1,-463.81
6008.05,310.35,-478.45
6023.68,322.47,-493.73
6038.02,335.4,-509.6
6051.01,349.1,-525.98
6062.59,363.51,-542.81
6072.72,378.55,-560.01
6081.34,394.18,-577.51
6088.43,410.32,-595.23
6093.95,426.9,-613.1
6097.88,443.85,-631.05
6100.2,461.09,-648.99
6100.72,469.09,-657.2
6100.9,476.31,-664.56
6100.91,478.57,-666.84
6101.12,515.19,-700.87
6101.33,554.36,-731.92
6101.55,595.85,-759.8
6101.77,639.4,-784.34
6101.99,684.74,-805.39
6102.21,731.59,-822.81
6102.43,779.66,-836.51
6102.66,828.66,-846.39
6102.87,878.29,-852.4
6103.09,928.23,-854.49
6103.3,978.19,-852.66
6103.5,1027.84,-846.91
6103.69,1076.89,-837.29
6103.81,1107.76,-829.14
6103.87,1125.04,-823.85
6103.89,1131.27,-821.81
6104.22,1219.91,-792.25
6104.58,1314.78,-760.62
6104.93,1409.64,-728.99
6105.28,1504.51,-697.36
6105.64,1599.37,-665.73
6105.99,1694.24,-634.1
6106.34,1789.1,-602.47
6106.7,1883.97,-570.84
6107.04,1976.27,-540.06
6107.05,1978.83,-539.21
6107.15,2005.01,-530.48
6107.23,2026.39,-523.77
6107.41,2074.85,-511.53
6107.6,2124.13,-503.13
6107.63,2130.22,-502.37
6107.8,2173.91,-498.62
6107.85,2187.38,-498.08
6108.2,2273.86,-495.5
6108.6,2373.82,-492.51
6109,2473.77,-489.53
6109.4,2573.73,-486.54
6109.81,2673.68,-483.56
6110.21,2773.63,-480.58
6110.61,2873.59,-477.59
6111.01,2973.54,-474.61
6111.41,3073.5,-471.62
6111.81,3173.45,-468.64
6112.21,3273.41,-465.65
6112.62,3373.36,-462.67
6113.02,3473.32,-459.69
6113.42,3573.27,-456.7
6113.82,3673.23,-453.72
6114.22,3773.18,-450.73
6114.62,3873.14,-447.75
6115.02,3973.09,-444.77
6115.43,4073.05,-441.78
6115.83,4173,-438.8
6116.23,4272.95,-435.81
6116.63,4372.91,-432.83
6117.03,4472.86,-429.85
6117.43,4572.82,-426.86
