TVD,Northing,Easting
0,0,0
80.32952855,0.063373704,0.229763484
174.8670848,0.232887664,0.884627558
267.7442169,0.231325381,1.606127337
362.8918693,-0.116016682,2.163911559
428.9908254,-0.279897027,2.479496674
431.9907873,-0.279200533,2.494583621
518.9900699,-0.437331544,2.414402
613.9861196,-0.999035097,1.765157697
709.9778873,-1.802622748,0.812261035
804.9618254,-2.718115893,-0.667145863
899.9523273,-3.738811561,-1.178801149
995.944007,-4.814552468,-0.516371328
1090.938283,-5.799202914,-0.229615255
1185.933937,-6.697405458,-0.353743143
1280.931153,-7.367209983,-0.598082451
1375.926269,-8.251449685,-0.871322856
1471.915531,-9.544436809,-1.467985719
1566.911162,-10.27470008,-1.807232605
1661.909678,-10.77331509,-1.769434402
1756.901515,-11.87220811,-2.27768252
1851.89745,-12.26528311,-2.700873706
1946.893823,-11.56690323,-3.08246006
2042.888086,-10.7206067,-3.690345872
2137.881179,-9.657385351,-4.11087737
2231.863913,-8.076003847,-4.911917956
2326.852347,-7.29851624,-5.950092789
2421.846135,-7.847588711,-6.885482854
2516.837608,-8.408296642,-8.023788463
2612.832271,-8.64101744,-8.977029273
2707.825711,-8.966772722,-9.997199676
2802.819752,-9.587739238,-10.76870544
2897.812101,-10.74402401,-10.80938022
2993.79817,-12.10310449,-10.04298779
3088.755196,-14.01913633,-8.020875971
3183.723201,-15.16445124,-6.117849351
3278.717388,-14.45038798,-5.422676498
3373.714426,-13.73586433,-5.569836852
3468.71126,-13.23349779,-6.151402847
3563.704974,-12.79800212,-7.142928041
3658.69211,-12.32992475,-8.628053659
3754.681556,-12.73337128,-9.858741169
3849.673683,-13.8960105,-10.13822622
3944.667285,-14.98172245,-9.948778498
4040.661513,-16.02550763,-9.84518712
4074.660033,-16.34087984,-9.873910199
4129.658385,-16.72343227,-10.0453601
4171.657246,-16.89329555,-10.30016816
4199.653084,-17.2785582,-10.5302596
4234.597187,-19.09180171,-10.13818648
4265.382357,-22.25174513,-8.425631371
4295.862821,-26.98457216,-5.397039259
4325.900227,-33.40732895,-1.25509176
4356.329747,-41.67206009,4.165860325
4385.196583,-50.91663918,10.64597617
4414.285766,-61.55450517,18.66730226
4441.653225,-73.08437395,27.54472832
4468.917421,-86.5366729,37.5101573
4494.213199,-101.1020361,47.9328477
4519.07771,-117.4345459,59.7080045
4541.87502,-134.2668392,72.26245217
4563.889825,-152.6007295,86.50211123
4583.496842,-171.440917,101.3731046
4601.731813,-192.1069811,117.6163829
4617.293185,-213.2067145,134.142993
4630.635355,-235.1697543,151.4656552
4641.937171,-257.7754679,169.4084331
4651.507701,-280.8927797,187.7042423
4659.618717,-305.1327456,206.9484917
4666.025162,-329.6083084,226.5363021
4670.593287,-353.4602064,245.796657
4673.537656,-378.1358766,265.9505826
4674.729608,-399.774291,283.6771652
4675.209119,-426.8675445,305.8290561
4675.48401,-475.4161055,345.9776534
4675.48401,-548.3979149,405.2143717
4675.442557,-622.4441107,464.7277675
4674.433523,-696.1269829,523.0760269
4672.949629,-771.5915987,580.7626513
4670.464488,-845.8409701,638.3456156
4666.796023,-921.2742592,697.6098754
4664.499419,-995.0915021,755.7609684
4663.40024,-1068.768625,814.1253438
4663.031102,-1142.143574,872.878236
4664.769941,-1215.38403,931.7651738
4668.07514,-1288.307194,990.9860548
4671.70816,-1360.78001,1050.738649
4676.078855,-1432.867672,1110.906431
4677.844881,-1507.248389,1169.931857
4676.466817,-1582.792734,1225.852159
4677.114849,-1657.528987,1282.837119
4680.928216,-1730.884269,1341.490028
4684.409341,-1805.11789,1400.664757
4687.255351,-1878.893239,1458.845393
4691.059592,-1953.113992,1518.020781
4693.430236,-2027.27394,1577.338428
4693.571171,-2101.37288,1636.787857
4692.825051,-2175.073676,1696.725583
4692.275451,-2247.557378,1756.572232
4691.720006,-2320.37228,1817.584598
4691.761024,-2393.247702,1876.946261
4692.730972,-2467.889815,1935.704911
4694.289455,-2541.774366,1993.794155
4696.519344,-2616.379282,2052.565729
4698.03684,-2689.949845,2111.054979
4701.294034,-2764.345091,2170.030864
4706.909776,-2838.22004,2227.883427
4711.091755,-2911.972275,2286.004621
4713.109552,-2985.713638,2344.262893
4715.057636,-3060.359245,2402.992628
4717.055478,-3135.274457,2461.375497
4719.491483,-3209.808775,2518.598719
4720.848557,-3285.423214,2577.718043
4719.970844,-3359.036009,2636.1675
4720.198078,-3432.267681,2693.48536
4723.439479,-3507.777203,2752.670738
4725.834276,-3581.545392,2810.866471
4726.662769,-3655.259731,2869.187039
4726.89489,-3729.73351,2928.161324
4726.296075,-3803.597134,2986.296705
4726.569654,-3878.217136,3045.090701
4727.168473,-3951.96934,3103.36804
4727.728714,-3998.979048,3140.647517
4731.67108,-4098.308245,3221.268465
4736.551928,-4171.177461,3282.023876
4741.569819,-4242.97218,3342.491361
4744.595391,-4316.540478,3402.501379
4744.464143,-4390.862766,3460.047857
4743.225518,-4465.481369,3517.201338
4742.620328,-4540.497968,3575.484627
4740.904419,-4615.255843,3634.070729
4737.459896,-4689.041122,3692.207029
4734.020168,-4763.381374,3751.255248
4730.66581,-4836.648697,3810.04797
4727.869002,-4909.667582,3869.177494
4725.597671,-4983.574311,3928.823358
4724.944248,-5058.776674,3988.48136
4726.601166,-5132.751677,4046.453891
4729.496373,-5206.469831,4104.704252
4731.212285,-5281.109295,4163.439507
4730.980157,-5356.066942,4221.80295
4731.119608,-5430.210167,4279.584249
4731.625314,-5505.110914,4338.018962
4732.180764,-5579.791446,4396.733995
4732.919034,-5653.684899,4454.830218
4732.877581,-5727.775943,4514.283932
4732.057286,-5800.248463,4574.142602
4729.462855,-5873.820083,4634.178628
4725.100375,-5946.694792,4693.391726
4720.591591,-6021.216386,4752.129327
4715.570021,-6096.875617,4809.360358
4709.913337,-6171.648274,4866.043903
4703.733134,-6247.028005,4923.530249
4700.190779,-6321.548996,4980.691787
4699.353469,-6396.818635,5038.646749
4700.107419,-6472.419459,5097.797499
4702.871442,-6546.054567,5156.159986
4704.990757,-6621.497523,5215.485034
4705.958705,-6695.292881,5273.702385
4706.5549,-6743.029698,5311.673964
