TVD,Northing,Easting
0,0,0
196.999775,0.007245215,0.257770459
390.9987669,0.137235533,0.863222182
562.9970914,-0.029680346,1.5681653
771.994549,-0.029430219,2.523580104
962.9917209,0.701346259,3.255026755
1153.988091,1.806476092,3.60824335
1344.982047,3.238234587,3.201121282
1534.975574,4.656059255,2.551498049
1725.969183,6.087575348,1.941917727
1915.962411,7.405260076,1.034387731
2106.95527,8.697046542,0.009632468
2297.949745,9.513423322,-1.134522911
2488.946479,9.892676096,-2.173885517
2679.943353,10.63105935,-2.973191227
2870.940355,11.17005978,-3.869026945
3060.937684,11.44275905,-4.836028066
3251.935171,12.03199303,-5.605574618
3441.928222,13.48465067,-6.229068925
3632.91086,15.96380954,-6.892827449
3823.900578,17.70472288,-7.593863948
4014.894465,18.90312641,-8.477371315
4205.877088,20.92259077,-10.04562836
4395.868542,22.28344023,-10.8011018
4586.868221,22.40063624,-10.6815708
4777.865098,22.63582642,-11.64076926
4968.859394,23.25435838,-12.96935012
5159.84931,24.79105464,-14.04747334
5350.839711,26.36778291,-14.97841975
5445.837818,26.78904352,-15.39939614
5497.836215,27.03202248,-15.72424774
5541.833592,27.32319393,-16.09852466
5707.818746,29.14262284,-17.3480966
5802.814096,30.01525606,-17.60538832
5897.80944,30.92120556,-17.46596231
5992.798576,32.33209662,-17.21221716
6087.791815,32.85556576,-16.46563813
6182.785109,32.63650227,-15.37678469
6277.778076,33.17051674,-14.38519694
6372.768546,34.23189083,-13.57162521
6468.760154,35.46173362,-13.32451274
6563.756454,35.38172283,-13.57116933
6658.745119,33.96692349,-13.95997707
6690.742964,33.61715874,-14.06561932
6722.736951,33.61403785,-14.61091487
6754.671058,34.38787706,-16.4257762
6786.422336,36.30791323,-19.86454172
6816.866573,39.37505187,-24.80158598
6847.810229,43.85053706,-31.58758832
6878.100982,49.69748761,-40.06298721
6906.635502,56.75702003,-49.88638918
6935.056625,65.56980079,-61.63582474
6962.309392,75.9092896,-74.82455779
6988.536374,87.5491045,-88.98287803
7013.894475,100.2463558,-103.8005373
7038.35938,113.8925741,-119.2627535
7061.88985,128.3130155,-135.4552463
7084.265954,143.4060927,-152.6369244
7105.062549,159.3369225,-171.0007876
7123.984582,176.1646419,-190.5534675
7140.75347,192.957367,-210.4936217
7156.581544,210.6050083,-231.9812354
7170.863512,228.7936177,-254.0942935
7183.896511,247.6733034,-276.4002387
7195.76698,267.3605475,-298.6558162
7205.812215,287.1831315,-320.2631481
7226.02388,350.8162169,-389.0692663
7236.833003,415.0862884,-459.5536948
7244.963798,478.6568977,-529.6741131
7252.780795,542.4599997,-599.6210186
7259.451835,605.4783917,-669.0360508
7262.542516,669.7477073,-740.2767302
7264.527502,732.5952323,-810.1495037
7264.937974,796.5522365,-881.7318183
7263.982951,860.2354088,-953.5608574
7262.768915,923.1265329,-1023.408685
7260.572177,987.4369228,-1093.296735
7258.754356,1052.68813,-1163.68763
7258.273514,1116.823942,-1233.765536
7259.384383,1180.601479,-1304.164111
7259.236739,1244.023411,-1373.534844
7256.468185,1308.134023,-1443.58515
7253.015478,1371.608697,-1512.831342
7249.866082,1436.682812,-1583.339086
7247.702505,1501.334267,-1652.912318
7245.192686,1565.681569,-1721.38746
7242.142371,1631.221421,-1790.090885
7239.80472,1696.600734,-1858.974347
7238.552766,1760.213195,-1929.511921
7238.725028,1821.584252,-2000.7114
7239.587908,1884.176793,-2073.494787
7238.700855,1947.142588,-2144.614939
7236.280346,2011.00894,-2214.901658
7234.035348,2075.823001,-2285.683374
7232.301289,2140.983137,-2356.160861
7231.086565,2206.516898,-2426.302099
7230.165041,2272.058944,-2496.439954
7229.737786,2337.462583,-2566.711887
7230.51688,2402.900548,-2636.94691
7230.152136,2467.520905,-2706.571938
7227.872519,2532.030951,-2776.273051
7226.811368,2595.776526,-2846.698207
7227.129715,2659.318479,-2918.65839
7227.732897,2722.721429,-2990.739602
7228.586789,2785.300469,-3062.210467
7228.528147,2848.343644,-3134.605652
7228.008738,2910.93676,-3207.389748
7227.436684,2973.383651,-3278.974061
7226.386717,3036.107022,-3348.978659
7226.099611,3098.57673,-3419.21644
7224.767672,3162.192056,-3491.095241
7222.430044,3225.381893,-3561.993003
7221.261149,3288.616679,-3632.878967
7220.340935,3352.063463,-3703.579181
7218.566913,3415.994384,-3773.826054
7216.863511,3470.705047,-3833.53226
7214.936791,3535.424938,-3904.409578
7213.452841,3598.544547,-3975.39066
7212.62382,3661.024008,-4046.949156
7212.163054,3724.395922,-4119.058502
7211.99079,3786.583738,-4189.547116
7211.99079,3849.327448,-4260.878856
7210.904811,3912.059166,-4332.209537
7208.708045,3974.417704,-4403.843785
7207.058347,4035.954008,-4476.199919
7206.664606,4096.550563,-4548.058756
7205.786907,4157.693384,-4619.445847
7203.192365,4220.120448,-4691.007376
7200.200057,4282.727219,-4762.396717
7198.119345,4344.823327,-4834.259868
7196.693463,4406.570518,-4906.44168
7195.980513,4468.321962,-4978.628478
7196.469639,4529.917709,-5050.952072
7195.731837,4591.717909,-5123.093862
7193.709152,4653.558819,-5195.18122
7192.298285,4714.631059,-5266.624479
7190.275613,4776.796906,-5338.428872
7187.454182,4838.537497,-5409.253353
7185.025366,4900.371922,-5481.333191
7182.455653,4962.304208,-5553.323516
7179.662207,5024.421088,-5625.147143
7177.067659,5086.120802,-5697.337187
7174.216223,5147.620175,-5769.688193
7169.302092,5243.979064,-5883.230326
