TVD,Northing,Easting
496.99,2.63,-0.84
641.9838519,3.888686477,-0.462867667
830.980029,5.040939616,-0.123855952
1020.975151,6.329071733,0.309543723
1209.97131,7.367069862,0.875941044
1399.967693,8.312375123,0.55144312
1589.95941,9.487449456,-0.77740047
1779.949734,8.902993264,-2.310172893
1969.926537,6.810540996,-4.404072329
2158.896264,5.316962887,-7.411649259
2348.85779,4.465667633,-11.13560601
2538.820831,3.832703774,-14.82822474
2728.799227,3.147601186,-17.57071735
2918.787559,2.467866073,-19.56333227
3108.782623,1.927960573,-19.44771239
3298.774865,1.991585313,-17.79427706
3487.770004,2.196139555,-16.47970036
3677.765421,1.809128692,-15.24634485
3866.763895,1.663548585,-14.56291575
4056.76342,1.768926504,-14.18547221
4246.762403,2.108634971,-13.75779175
4436.758776,3.127097901,-13.1867084
4625.756819,3.897941384,-12.95643687
4815.754351,4.80263979,-12.89479173
5005.74795,6.326897677,-13.12564075
5029.747005,6.530602095,-13.18671625
5199.738431,8.094307527,-13.83901304
5293.731304,9.061724613,-14.47216935
5388.721952,10.21350421,-15.13914723
5483.705773,11.312793,-14.14466128
5578.660404,12.25952911,-11.36758512
5673.614313,13.2759309,-8.590635183
5768.574473,14.41345371,-6.086849543
5802.561465,14.84934465,-5.253694072
5834.544771,15.53098848,-4.492261725
5866.49011,17.12032019,-3.583945011
5897.325467,19.98606085,-2.254048694
5928.964262,24.36668629,-0.352133767
5959.372454,29.96799426,1.838285023
5990.444722,37.15468722,4.423374069
6021.133023,45.72996511,7.340772476
6050.423021,55.3154182,10.66242975
6080.1513,66.36866964,14.89005988
6108.410504,78.10863289,19.83132549
6136.959593,91.31096445,25.7027447
6164.825107,105.6030807,32.2653171
6191.079111,120.5187035,39.27023496
6217.308364,137.0619127,47.15224953
6242.564855,154.7552689,55.68618345
6266.004216,172.9778133,64.5917195
6289.03574,192.8814222,74.44758939
6310.133473,213.1814323,84.62364046
6330.612431,235.1117082,95.73367855
6349.73856,257.9557454,107.3993374
6366.823541,280.9540546,119.2272215
6382.864855,305.5124051,132.0051025
6397.200779,330.8030855,145.3662365
6408.240987,353.4915026,157.4967194
6435.595267,433.5533513,198.1990805
6441.368669,462.1319552,211.3705849
6445.385454,491.5096579,223.3865718
6448.258895,521.6784112,233.6408962
6450.457992,552.4255269,242.2194261
6452.029396,582.6042246,249.114256
6453.143556,614.0811527,254.7521697
6454.0176,645.7643533,259.145744
6454.754816,677.5781891,262.5007042
6455.310563,709.4894494,264.7909067
6455.897008,739.4620947,265.8899979
6456.888328,771.4442172,265.8733928
6458.30113,803.3786813,264.4597641
6460.020723,835.2084406,261.6723364
6461.779373,866.8970638,257.5987996
6462.988389,897.4511369,252.5156671
6463.630733,928.7794204,246.0392205
6464.236757,959.8020857,238.2238873
6465.189025,990.4495831,229.0788903
6466.534838,1020.643093,218.5734304
6467.900228,1050.318318,206.6859898
6468.841328,1079.415714,193.4100053
6469.211987,1107.026427,179.3263884
6468.87409,1135.027344,163.8436032
6467.882808,1162.534967,147.5271412
6466.662534,1189.332065,130.0849877
6465.327882,1215.295686,111.431788
6464.070111,1239.662067,92.31222149
6463.578608,1263.988489,71.53521013
6464.145552,1287.362631,49.69288854
6465.019557,1309.905728,26.99973605
6465.558582,1331.597387,3.484332875
6465.856195,1351.606388,-20.18892782
6466.230438,1371.254184,-45.44124875
6466.73034,1389.885523,-71.45080035
6467.298481,1406.962345,-97.31476146
6467.744856,1423.215239,-123.7076976
6467.954307,1439.267518,-151.3882177
6467.934758,1454.597504,-179.4762321
6468.030925,1468.077689,-205.1521947
6470.476573,1512.408214,-292.5127836
6473.29412,1552.913423,-375.0667131
6474.521035,1594.554617,-460.4437812
6474.09378,1636.237633,-546.9194207
6473.248878,1676.740944,-631.7410941
6472.453008,1717.338217,-717.625256
6471.363828,1759.394262,-803.9102518
6469.656127,1802.479146,-888.5603688
6469.374272,1846.252858,-972.8641975
6469.692607,1891.142473,-1057.717552
6469.126603,1935.097805,-1140.804839
6468.690971,1979.899913,-1225.707738
6466.262259,2023.558441,-1310.041137
6463.866577,2067.892081,-1394.019579
6462.357811,2113.062898,-1477.578595
6461.117983,2158.614963,-1562.071875
6460.603978,2203.330763,-1645.887505
6459.260997,2247.258392,-1730.110087
6456.948161,2290.144882,-1814.84525
6453.982969,2332.494154,-1900.948245
6452.140013,2375.566601,-1986.7182
6451.402159,2418.190632,-2071.614214
6450.034308,2459.868692,-2156.972338
6447.804427,2501.465065,-2242.352078
6446.505846,2545.085275,-2327.850096
6446.223976,2589.552879,-2411.799345
6445.113088,2633.246372,-2496.146607
6443.687098,2677.678348,-2580.09938
6441.760393,2724.049077,-2664.134529
6438.453216,2769.547429,-2747.462863
6433.78037,2814.585185,-2832.11287
6428.328175,2857.959372,-2916.455201
6422.191605,2900.960878,-3002.065835
6420.329336,2913.038388,-3026.142061
6416.152072,2939.380693,-3078.769368
