TVD,Northing,Easting
0,0,0
139.9972678,-0.082200063,0.752992124
302.98715,-0.444534913,2.529814352
492.9770622,-0.881431261,4.431959048
683.9658902,-1.465113488,6.399028105
874.9516319,-2.358501815,8.554672445
1064.940866,-2.833100336,10.50620074
1254.933026,-3.175735073,12.18919694
1444.930001,-3.431407862,13.15461682
1635.928822,-3.056223711,13.68069591
1825.927455,-2.518406243,14.14200229
2016.925922,-1.884386738,13.87107872
2206.918352,-0.542321824,12.88153468
2396.904172,1.464008109,11.71786048
2587.887888,3.429786563,10.20207278
2777.861494,5.45128217,7.790135597
2968.844242,7.304018512,6.236078808
3158.839033,8.592837708,5.719994471
3349.833159,9.725577431,4.741549559
3539.824674,11.10223865,3.604178907
3729.814412,12.84548258,2.695453827
3920.804551,14.76105551,2.4843453
4110.78378,17.45862675,3.109931276
4301.765664,19.74153835,4.247344068
4491.758662,21.13787951,4.035818993
4682.733765,22.59057959,1.384525774
4873.717991,23.34636758,-0.751878478
5063.712286,24.17355014,-1.879068276
5254.700849,25.18897598,-3.689608677
5404.693257,25.3430741,-5.178860931
5509.685366,25.34449059,-6.455556209
5604.674649,25.27563277,-7.876808222
5700.663476,25.1047604,-9.330676653
5795.647076,23.68436046,-9.702501672
5890.605733,21.03855481,-8.790756685
5985.577239,18.97632453,-7.751217868
6081.56289,17.60890205,-6.820256108
6176.553755,16.64838248,-5.923411516
6271.546106,15.94755616,-4.945690648
6366.53976,15.53157662,-3.935718486
6462.536391,15.52870517,-3.148876417
6493.535794,15.5968528,-2.969308987
6525.527139,15.36306585,-2.33876962
6557.436158,14.16998573,-0.345112712
6589.106324,11.59290948,3.388597935
6619.418394,7.898826108,8.696969602
6650.247676,3.109482804,15.79330419
6680.592113,-2.679534091,24.12958608
6709.512561,-9.218018724,33.16909376
6738.808566,-16.83680453,43.53689768
6767.482809,-25.2850103,54.95002021
6794.563247,-34.04142818,67.22667292
6821.49724,-43.38495185,81.7441782
6843.175961,-51.43585504,95.66951639
6893.015022,-74.27197453,135.7905093
6913.911551,-86.58914193,156.651166
6933.437221,-99.58259793,178.4179668
6952.218939,-112.8014806,200.6996465
6970.285506,-126.1430406,223.4921027
6987.435873,-139.6639617,246.8790852
7003.676385,-153.464404,270.7474916
7019.028459,-167.7511001,294.9157757
7033.381122,-182.7255525,319.2798855
7046.181624,-197.7908446,343.1557722
7058.290101,-213.5071691,368.2607993
7069.095599,-228.6223952,393.0740219
7079.811633,-244.1339732,418.9304992
7089.816979,-259.1968761,444.1089161
7110.926545,-301.7933182,514.4982325
7120.209104,-334.4086177,567.5750704
7128.901367,-383.5874602,648.3822776
7136.30975,-433.0618794,727.9602399
7144.910505,-484.0964818,808.8132014
7151.073895,-533.7462639,888.3765234
7155.06863,-584.394438,968.6491063
7158.831418,-634.9281015,1049.00422
7160.497667,-685.8428553,1129.186297
7160.538682,-736.8942595,1208.114855
7159.7847,-789.6052197,1288.344408
7159.925632,-842.7332739,1367.095183
7162.840599,-895.9572265,1446.930455
7166.383497,-947.7128356,1525.317404
7169.008229,-999.1694735,1603.93654
7172.17458,-1049.658478,1684.344569
7173.741136,-1098.761444,1764.473532
7174.302423,-1149.267946,1846.107153
7175.977033,-1200.602889,1926.023458
7177.494537,-1251.902193,2004.776503
7178.36404,-1303.074955,2083.620807
7179.615877,-1353.957887,2163.830096
7181.563961,-1403.972797,2244.574512
7182.533934,-1454.88661,2324.770793
7184.141657,-1505.244859,2404.122306
7186.189262,-1556.232994,2484.24983
7187.846221,-1606.924152,2563.391481
7189.984944,-1657.352058,2643.874032
7191.442574,-1708.146929,2725.320894
7192.221899,-1756.824373,2805.728567
7193.829647,-1805.201354,2886.305329
7195.413014,-1855.233293,2967.045653
7198.015761,-1904.848516,3048.009404
7201.132389,-1952.749784,3129.98359
7203.2978,-1999.032278,3211.770918
7203.347536,-2045.950966,3294.362735
7202.858258,-2077.676241,3348.784661
7205.712349,-2126.147936,3429.264879
7209.615946,-2175.509336,3510.33868
7213.146906,-2223.869676,3592.029841
7215.467851,-2271.1733,3674.376755
7216.437815,-2317.647303,3757.226286
7215.600558,-2364.175716,3840.03761
7212.956026,-2412.755796,3921.628246
7212.441989,-2464.405748,4001.344464
7213.138367,-2517.375854,4080.202056
7214.763129,-2570.365126,4159.028884
7216.551305,-2624.013227,4236.189136
7218.267394,-2677.925693,4314.382878
7218.308839,-2730.261327,4393.648639
7216.816693,-2782.458658,4473.005684
7219.154059,-2834.277875,4551.385059
7224.539871,-2886.226231,4630.740002
7230.551043,-2938.486073,4711.044233
7234.503707,-2988.740926,4790.372911
7236.634139,-3038.528233,4871.253573
7238.905468,-3088.391451,4952.083638
7241.176817,-3138.684038,5032.64679
7245.020973,-3189.356865,5114.086988
7248.876083,-3224.849827,5171.960883
