TVD,Northing,Easting
5364.12,-31.15,-62.57
5407.093567,-31.93592002,-63.85599889
5438.080984,-31.99774364,-64.67795385
5470.94985,-30.41861577,-66.9236583
5501.380918,-26.27276388,-71.00952644
5531.976394,-18.60652588,-76.30665851
5561.337794,-7.545530896,-82.49813094
5588.213033,6.340286233,-89.19768187
5613.16328,23.08200079,-96.75405069
5636.4857,43.0268645,-105.7555084
5656.37746,64.6682537,-115.5444805
5673.206988,88.39670125,-126.1958691
5686.732579,113.8565498,-137.5415132
5696.560849,139.7246882,-149.0837069
5703.117185,166.3835958,-161.141905
5707.21458,193.9876044,-174.6209865
5709.770048,221.9553209,-189.9499989
5711.056986,249.5581892,-206.0832117
5711.606125,276.2658192,-221.8120649
5712.038954,303.9031893,-237.9361662
5713.464834,386.120535,-285.5096709
5715.015179,467.1390106,-333.147553
5716.959152,547.7077418,-381.5294215
5717.871033,628.9639279,-430.7302835
5716.793318,710.1320263,-480.0812682
5715.382443,790.6542808,-528.5596059
5714.225842,871.4280486,-576.6244858
5713.294548,950.481109,-623.6747973
5711.90183,1032.022265,-672.3988919
5710.099285,1110.15194,-719.0197425
5707.502593,1189.890903,-766.8086631
5704.540839,1269.58355,-814.6549678
5702.054027,1351.16515,-863.2680524
5699.169439,1433.065281,-911.318673
5695.52814,1514.630231,-957.8991794
5692.138137,1597.395284,-1004.411265
5689.460243,1678.794505,-1049.308941
5686.579589,1760.746528,-1093.177654
5683.4712,1843.851581,-1136.993966
5680.256217,1927.219235,-1180.300042
5676.686147,2009.792216,-1222.937379
5673.610577,2093.205293,-1266.165366
5670.903949,2176.677971,-1309.304199
5669.483807,2259.354317,-1351.857907
5670.697849,2342.46757,-1395.743276
5673.381283,2451.087749,-1455.494813
5674.268327,2534.267797,-1501.374748
5674.575507,2590.247629,-1532.392093
5674.343382,2672.847168,-1579.315149
5673.109819,2753.437137,-1625.712605
5672.444599,2807.993674,-1657.210836
5671.863762,2863.428184,-1689.19017
