TVD,Northing,Easting
0,0,0
184.9971588,0.83,0.3
278.7948316,1.33,0.07
372.5904498,1.93,-0.54
466.3847892,2.91,-0.85
560.1791574,3.88,-1.19
653.9738608,4.81,-1.53
747.7703585,5.59,-1.4
841.5644391,6.51,-0.91
935.3597583,7.38,-0.9
1029.155125,7.84,-1.69
1122.950537,7.94,-2.6
1216.748677,7.84,-3.17
1310.548389,7.69,-3.29
1404.348174,7.51,-3.2
1498.147935,7.3,-3.19
1591.947261,7.26,-3.49
1685.743518,7.47,-4.29
1779.535714,7.92,-5.4
1873.329791,8.29,-6.37
1967.127494,8.39,-7.02
2060.926029,8.45,-7.54
2154.724798,8.43,-8.01
2248.523301,8.4,-8.54
2342.320809,8.59,-9.19
2436.118049,8.95,-9.81
2529.915833,9.28,-10.37
2623.712687,9.7,-11.01
2717.5067,10.41,-11.78
2811.29734,11.42,-12.64
2905.081335,12.88,-13.55
2998.861146,14.53,-14.57
3092.643585,15.94,-15.71
3186.431787,17.17,-16.52
3280.223653,18.35,-16.9
3374.016715,19.47,-17.07
3467.810593,20.54,-17.03
3561.603898,21.66,-16.99
3655.396604,22.83,-17.06
3749.192704,23.65,-17.01
3842.991429,24.05,-16.74
3936.79039,24.41,-16.48
4030.589,24.85,-16.23
4124.387249,25.36,-15.98
4218.186288,25.77,-15.92
4311.985707,25.99,-16.15
4405.784848,26.01,-16.54
4499.583395,25.85,-17.03
4593.381186,25.91,-17.65
4687.176351,26.52,-18.37
4780.9694,27.45,-19.02
4874.760359,28.63,-19.57
4936.754295,29.43,-19.89
4982.746721,30.24,-20.05
5014.685985,31.82,-20.99
5045.628523,33.43,-21.56
5077.525046,33.03,-19.32
5109.166017,30.81,-15.1
5138.828492,28.41,-11.32
5169.563689,26.06,-8.03
5200.302066,23.73,-4.75
5231.996495,21.27,-1.1
5262.530819,18.28,3.32
5291.766255,14.44,8.82
5321.554135,9.35,15.72
5351.76395,2.95,24.1
5380.417068,-4.33,33.41
5409.362282,-12.82,44.08
5436.791924,-21.85,55.35
5464.435624,-31.97,67.89
5489.704488,-42.11,80.48
5515.949438,-53.52,94.79
5540.567073,-65.22,109.56
5564.283124,-77.59,125.22
5587.151792,-90.66,141.56
5609.803046,-104.94,159.08
5630.756701,-119.46,176.71
5651.377911,-135.03,195.58
5670.486086,-150.59,214.39
5689.346108,-167.01,234.36
5707.274129,-183.73,254.92
5723.601471,-200.29,275.41
5738.858762,-217.21,296.44
5752.95512,-234.44,318
5766.237201,-252.58,340.78
5777.566703,-269.93,362.46
5788.074531,-288.17,385.22
5797.328499,-306.66,408.31
5805.450699,-326.02,432.45
5811.951008,-345.02,456.07
5817.394648,-364.81,480.62
5821.751198,-384.72,505.29
5824.94422,-403.45,528.51
5827.26845,-422.78,552.63
5828.540301,-439.6,573.71
5831.915736,-497.41,646.48
5835.81827,-554.74,719.6
5840.639538,-612.48,793.62
5844.915829,-670.91,868.4
5848.581657,-728.63,942.5
5851.631913,-786.92,1017.45
5854.936959,-844.69,1091.53
5859.455679,-901.66,1164.9
5863.885225,-958.28,1238.54
5868.525956,-1015.8,1314
5872.736615,-1072.34,1387.73
5874.75158,-1129.41,1459.85
5874.554706,-1188.94,1532.59
5874.131902,-1249.32,1605.93
5875.615917,-1308.09,1680.55
5876.887296,-1365.3,1755.11
5876.165,-1422.37,1828.54
5876.10819,-1479.97,1901.56
5877.970128,-1538.81,1974.83
5879.985102,-1596.49,2046.48
5882.101283,-1655.41,2119.69
5885.455612,-1714.11,2193.03
5887.677189,-1774.03,2266.71
5888.075122,-1834.75,2339.77
5887.476304,-1895.26,2411.7
5886.413135,-1954.92,2483.03
5884.936118,-2014.41,2554.49
5884.288112,-2074.92,2626.42
5884.5397,-2135,2697.41
5884.677668,-2195.58,2767.97
5885.675891,-2256.55,2838.19
5887.193396,-2318.09,2909.22
5888.130177,-2379.86,2981.39
5887.900493,-2440.72,3053.04
5887.022777,-2501.21,3124.98
5885.853869,-2561.88,3198.07
5885.008951,-2621.14,3271.03
5885.183046,-2680.44,3345.25
5885.712925,-2737.74,3417.23
5885.654893,-2796.67,3491.74
5885.285755,-2854.57,3565.79
5884.383437,-2912.24,3640.02
5882.679222,-2969.33,3713.41
5881.792193,-3027.72,3788.34
5882.331061,-3086.37,3863.07
5882.667384,-3144.6,3936.86
5882.183406,-3203.1,4010.44
5881.180289,-3262.8,4084.33
5880.326399,-3322.92,4157.88
5879.514309,-3382.54,4230.55
5878.890367,-3417.47,4273.03
