TVD,Northing,Easting
500,0.1,1.26
546.9995559,0.30187369,1.288910648
641.9987358,0.693022035,1.326617435
736.9979727,1.046767195,1.44082615
926.9949925,1.767280007,2.20866477
1115.991873,2.306523923,3.139176427
1304.990573,2.702393426,3.690006421
1494.990081,3.110725327,3.774430969
1683.989332,3.625968138,3.792085246
1873.98618,4.697755096,3.871426913
2063.982185,5.924479498,3.87665554
2253.980973,6.516039833,3.684134755
2442.979901,6.872631099,3.176555936
2632.978238,7.339694311,2.53583206
2822.976683,7.575796871,1.810677551
3011.976,7.757349059,1.402191263
3201.974462,8.228326427,0.891297767
3390.969398,8.560648666,-0.425913762
3580.96201,7.362745624,-1.257110164
3770.953569,5.615489156,-1.382172062
3959.951424,4.743628184,-1.563248373
4149.950076,4.400641712,-2.119387927
4339.94739,4.429977143,-3.12806836
4528.940723,4.824153174,-4.633684075
4718.924697,6.128069087,-6.698172666
4908.911706,7.74987069,-8.151414675
5097.904208,7.687493924,-7.096654015
5287.890185,6.692540537,-5.091859244
5341.888995,6.405400014,-4.909561279
5482.884764,5.364312193,-5.164189085
5576.881734,4.726632367,-5.567779323
5671.87818,4.040756799,-6.018424439
5766.873269,3.321835558,-6.658194172
5861.866963,2.607172569,-7.486723774
5956.860658,1.890337094,-8.313306858
5990.856234,1.531131636,-8.716475599
6022.821836,0.444024169,-9.623655903
6053.669722,-2.028120255,-11.35968811
6085.279823,-6.12585457,-14.1415674
6116.592678,-11.53627544,-17.8888985
6146.607659,-17.91212212,-22.28176808
6177.213532,-25.66161383,-27.48394603
6206.4284,-34.33841571,-33.14377703
6236.074938,-44.48835447,-39.61649386
6265.144557,-55.79626708,-46.75102123
6292.659193,-67.88868397,-54.33603379
6320.314665,-81.51228248,-62.90165483
6347.13873,-96.20386634,-72.30409795
6372.22204,-111.378977,-82.36952889
6397.138112,-127.8306969,-93.87189674
6420.208627,-144.5656146,-106.0547324
6442.713799,-162.8943161,-119.518058
6463.797024,-182.29997,-133.751942
6482.742682,-202.0798737,-148.2606052
6500.842816,-223.306692,-163.9320067
6517.063898,-244.4684437,-179.7385135
6532.338421,-266.928855,-196.6488837
6546.072829,-289.9745519,-214.0850894
6588.380624,-380.4009097,-289.0725248
6596.866004,-402.8924006,-310.1910071
6605.492844,-424.8485134,-331.8120411
6614.526319,-447.4376676,-352.5889215
6622.682063,-470.792655,-371.2587971
6629.735923,-495.9545813,-389.7233401
6635.292206,-521.7412414,-407.831089
6639.050419,-548.2382298,-425.3634655
6640.978001,-574.5996805,-441.5516272
6641.930284,-602.5139435,-457.1617943
6642.776588,-631.2410127,-471.2227123
6643.856016,-659.7989973,-483.2245998
6645.12376,-689.8737348,-494.072929
6646.277066,-720.4612889,-503.3922769
6647.25731,-751.4913261,-511.1346387
6648.131506,-782.9020932,-517.1606218
6648.829537,-813.6026552,-521.3796674
6649.35741,-845.4722279,-524.179068
6649.809906,-877.4459946,-525.2732725
6650.37812,-908.4295757,-524.6026783
6651.280266,-940.3097157,-522.0518309
6652.367833,-970.9912294,-517.7835289
6653.442998,-1002.381936,-511.681726
6654.423248,-1033.411879,-503.9393234
6655.277864,-1063.989145,-494.5558108
6655.833679,-1094.024115,-483.5406944
6655.944629,-1122.456547,-471.2014869
6655.676476,-1150.990292,-456.7286589
6655.369255,-1178.758064,-440.8323189
6655.545132,-1204.88749,-424.1604495
6656.371779,-1230.952107,-405.6203598
6657.737306,-1255.958425,-385.7085232
6659.2561,-1279.897832,-364.5322662
6660.294857,-1302.948901,-342.3649059
6660.621625,-1325.0455,-319.225849
6660.389801,-1346.021818,-295.0656163
6660.192274,-1365.121624,-270.6540689
6660.767568,-1383.596426,-244.5373986
6662.266636,-1401.177906,-217.8436302
6665.830249,-1433.460273,-167.3942189
6671.845001,-1484.163755,-87.28223584
6678.357789,-1534.798106,-5.982292118
6681.946035,-1584.730316,74.73847722
6681.970906,-1634.649823,155.5650469
6681.309082,-1684.808455,237.416493
6680.382149,-1733.500504,317.8166121
6679.494023,-1784.544718,399.1091743
6678.498503,-1834.681995,476.2400828
6678.208336,-1887.030545,555.5102837
6678.694233,-1940.962021,634.9276527
6680.202962,-1994.693559,713.2539871
