TVD,Northing,Easting
0,0,0
3,0,0
154.68,0.18,0.08
248.76,0.63,-0.21
342.83,1.38,-0.79
436.91,2.31,-1.18
530.98,3.44,-1.36
625.05,4.66,-1.31
719.12,5.93,-0.9
813.19,7.31,0.06
907.24,8.66,1.65
1001.31,9.64,3.26
1095.37,10.63,4.84
1189.43,11.6,6.11
1283.51,12.14,6.63
1377.59,12.71,7.01
1471.66,13.41,7.46
1565.74,14.18,7.88
1659.81,15,8.27
1753.89,15.84,8.25
1847.97,16.68,7.75
1942.04,17.41,7.5
2036.12,18.12,7.39
2130.2,18.83,7.23
2224.27,19.67,7
2318.35,20.64,6.58
2412.42,21.53,6.05
2506.5,22.41,5.54
2600.57,23.43,5.33
2694.64,24.45,5.55
2788.72,25.4,5.76
2882.79,26.45,5.89
2976.86,27.65,5.91
3070.94,28.77,6.02
3165.01,29.76,5.97
3259.09,30.6,5.43
3353.17,31,5.05
3447.24,31.19,4.72
3541.32,31.28,4.3
3635.4,31.55,3.48
3729.47,32.01,2.71
3823.55,32.58,2.35
3917.62,33.57,1.69
4011.69,34.7,0.4
4105.75,35.7,-1.11
4199.82,36.65,-2.41
4293.89,37.69,-3.37
4387.96,38.53,-3.97
4482.04,39.16,-4.54
4576.11,39.75,-5.14
4670.19,40.52,-5.8
4764.26,41.52,-6.44
4858.33,42.53,-7.24
4952.4,43.33,-8.35
5046.47,43.85,-9.69
5166.46,48.44,-6.93
5198.21,51.59,-4.58
5229.68,56.36,-1.28
5259.73,62.42,3.25
5289.23,69.84,9.24
5319.09,78.68,16.58
5347.45,88.27,24.61
5359.16,92.62,28.21
5370.75,97.19,31.91
5380.18,101.09,35.02
5389.54,105.1,38.17
5398.82,109.28,41.38
5407.69,113.52,44.54
5416.46,117.96,47.76
5425.1,122.56,51.05
5433.65,127.3,54.41
5442.08,132.19,57.84
5450.38,137.25,61.35
5458.83,142.62,65.05
5467.13,148.12,68.85
5475.26,153.8,72.77
5482.99,159.44,76.68
5490.56,165.2,80.72
5497.96,171.09,84.88
5505.22,177.07,89.15
5512.34,183.15,93.54
5519.29,189.33,98.04
5526.1,195.59,102.64
5532.77,201.92,107.35
5539.29,208.32,112.17
5545.69,214.78,117.08
5551.94,221.3,122.1
5558.04,227.89,127.22
5564.01,234.53,132.4
5569.85,241.26,137.66
5575.54,248.05,142.97
5581.31,255.12,148.49
5586.94,262.26,154.06
5592.42,269.49,159.68
5597.6,276.56,165.14
5602.64,283.72,170.65
5607.53,290.95,176.17
5612.33,298.25,181.69
5617.03,305.62,187.21
5621.62,313.06,192.71
5626.11,320.57,198.21
5630.45,328.17,203.71
5634.66,335.84,209.2
5638.89,343.82,214.89
5642.95,351.88,220.55
5646.87,360.03,226.21
5650.55,367.97,231.7
5654.1,376,237.17
5657.5,384.09,242.61
5660.89,392.49,248.25
5664.12,400.96,253.86
5667.2,409.5,259.47
5670.03,417.81,264.92
5672.71,426.18,270.36
5675.25,434.6,275.78
5677.65,443.04,281.23
5679.88,451.54,286.68
5681.94,460.07,292.13
5683.93,468.9,297.78
5685.77,477.77,303.4
5687.47,486.67,309.03
5689,495.3,314.5
5690.39,503.95,319.99
5691.64,512.6,325.49
5692.8,521.53,331.23
5693.79,530.44,336.99
5694.64,539.34,342.81
5695.36,548.22,348.68
5695.93,557.06,354.61
5696.37,565.88,360.59
5696.76,576.94,368.21
5696.94,587.95,375.9
5697.01,598.89,383.68
5697.08,609.78,391.53
5697.16,620.6,399.48
5697.29,631.33,407.56
5697.47,641.9,415.84
5697.69,652.28,424.14
5697.94,662.61,432.48
5698.2,672.92,440.86
5698.48,683.2,449.27
5698.76,693.45,457.72
5699.07,703.67,466.2
5699.41,713.76,474.84
5699.78,723.8,483.75
5700.14,733.78,492.72
5700.5,743.72,501.75
5700.85,753.6,510.83
5701.2,763.44,519.96
5701.56,773.22,529.16
5701.88,782.83,538.53
5702.13,792.27,548.08
5702.38,801.64,557.69
5702.63,810.96,567.36
5702.85,820.22,577.08
5703.03,829.43,586.85
5703.15,838.58,596.68
5703.12,847.56,606.66
5702.97,856.46,616.91
5702.78,865.3,627.2
5702.58,874.08,637.54
5702.38,882.83,647.93
5702.18,891.51,658.35
5702,900.13,668.83
5701.77,908.58,679.45
5701.52,916.78,690.09
5701.28,924.91,700.77
5701.05,932.97,711.51
5700.82,940.96,722.29
5700.58,948.89,733.13
5700.34,956.73,744.03
5700.07,964.39,755.06
5699.76,971.95,766.32
5699.45,979.44,777.63
5699.13,986.87,788.98
5698.83,994.24,800.38
5698.56,1001.55,811.82
5698.34,1008.76,823.31
5698.14,1015.8,834.91
5697.99,1022.62,846.48
5697.86,1029.37,858.09
5697.76,1036.07,869.73
5697.66,1042.7,881.39
5697.57,1049.28,893.1
5697.48,1055.78,904.85
5697.36,1062.13,916.69
5697.19,1068.33,928.6
5697.01,1074.51,940.52
5696.83,1080.67,952.45
5696.64,1086.8,964.39
5696.47,1092.92,976.34
5696.29,1099.03,988.3
