TVD,Northing,Easting
496.98,0.95,-2.54
641.9652937,0.931579995,-4.599316541
830.9458811,1.135460159,-7.294262097
1020.932524,1.556465331,-9.503364027
1210.919117,1.792021222,-11.73712754
1305.911281,1.909060896,-12.9481998
1494.896406,2.599069707,-15.21429645
1684.882655,3.740380648,-17.18396117
1779.877962,4.342407603,-17.90147228
1874.874624,4.893596262,-18.47466535
2064.867258,6.030349504,-19.70064819
2253.863213,6.875194087,-20.57024603
2348.862869,6.947266935,-20.76134049
2443.862711,6.885232951,-20.90526167
2633.86232,6.702102414,-21.19231096
2823.861662,6.346883021,-21.53244762
2918.86029,6.073042785,-21.93653194
3012.857344,5.771004238,-22.61078514
3202.849115,4.98518173,-24.17374619
3392.835957,3.464018335,-25.80404954
3581.814563,1.873223081,-28.12549948
3771.802752,0.507308078,-29.39405479
3961.795634,-1.043060325,-29.69116658
4151.788146,-2.068883122,-30.95703675
4340.776639,-2.298915125,-33.00135121
4530.757922,-2.609866055,-35.64871504
4719.730299,-3.195814631,-38.81073365
4909.717705,-3.825826734,-40.57978087
5099.717232,-3.690773189,-40.5888326
5288.714748,-2.730863358,-40.63428518
5418.713038,-2.069650541,-40.66135015
5578.710844,-1.329841998,-40.36568667
5673.709062,-0.84383324,-40.05451392
5768.706436,-0.155486889,-39.95024364
5863.704093,0.430807097,-40.17749243
5957.701931,0.842345349,-40.65937784
5992.701075,0.990671563,-40.85191457
6024.694732,1.457790276,-41.21263353
6055.635396,3.16664039,-41.9052377
6087.431503,6.590739434,-42.94946037
6118.040414,11.29073868,-44.30578504
6149.351043,17.66206974,-45.98152889
6180.307481,25.53978085,-47.84532829
6209.926024,34.43661541,-49.95219082
6240.015693,44.99712651,-52.57043764
6269.513406,56.99327853,-55.69522928
6297.539537,69.81221342,-59.02630933
6325.8671,84.26494093,-62.55843145
6352.538589,99.66347799,-66.06105804
6379.08254,117.128613,-69.81262643
6404.486435,136.1986994,-73.63865143
6427.88418,156.1902268,-77.32241192
6450.659162,178.3092378,-81.28363376
6471.344976,201.0153636,-85.43787857
6491.370265,225.535104,-90.07970361
6510.057281,251.0065006,-95.15369961
6526.793726,276.5762077,-100.3364695
6542.436454,303.9371921,-105.8412211
6555.856034,331.3503122,-111.2400119
6568.222198,360.3544621,-116.6877872
6597.936652,452.8712689,-135.1741284
6604.343861,481.3461292,-142.089888
6609.863568,510.5873468,-150.7622198
6614.809745,540.4150857,-161.2320418
6619.055368,568.8198383,-172.8888064
6622.881094,597.5442428,-186.4552146
6626.240381,624.7518812,-200.9221613
6629.755345,652.0951255,-217.163237
6633.772507,678.4961285,-234.7858514
6637.924397,703.0679397,-253.2183134
6641.958207,727.3767191,-273.6276147
6644.926747,750.0885455,-294.5102206
6646.26102,773.040613,-316.7606028
6645.808646,795.4021816,-339.6390822
6643.935766,816.820873,-363.3341853
6641.12133,837.1442542,-387.8867968
6638.181854,855.6842375,-412.5532655
6635.829537,873.5887362,-438.9651421
6634.494796,890.1217777,-466.3246887
6633.453098,904.5044842,-493.7599714
6632.204738,917.4901075,-522.9742334
6631.750183,928.3272983,-552.0068527
6632.395325,937.8990297,-582.5310386
6633.289081,945.8094593,-613.5200493
6633.941034,952.1895734,-643.8484688
6635.369423,969.0711867,-735.2899264
6636.455511,986.5855322,-828.6515257
6637.226504,1005.792826,-921.686183
6637.735095,1024.597339,-1013.78418
6637.138207,1042.943173,-1106.992205
6635.173539,1060.789381,-1200.27975
6634.485463,1079.166883,-1293.476448
6635.654367,1098.462669,-1386.488766
6636.939331,1117.506439,-1479.551377
6638.245952,1135.178071,-1570.846728
6638.153801,1151.987606,-1665.358157
6636.835555,1166.273232,-1759.263677
6635.517324,1180.468789,-1853.183371
6633.718408,1195.581037,-1946.955693
6632.15139,1212.017135,-2040.502828
6630.886411,1230.407199,-2134.716382
6630.828376,1249.808721,-2227.707785
6631.798329,1270.256022,-2320.475849
6632.088489,1290.112838,-2413.376487
6631.698925,1308.550282,-2504.528567
