TVD,Northing,Easting
0,0,0
5700,0,0
5799.09,-11.5,0.38
5893.83,-43.27,1.42
5964.82,-69.1,2.27
5987.99,-76.91,2.09
6085.15,-97.16,-7.96
6181.85,-97.83,-32.43
6272.35,-78.89,-69.87
6351.27,-41.47,-118.04
6379.77,-20.77,-140.78
6417.09,9.78,-173.1
6418.34,10.8,-174.19
6471.81,67.06,-233.72
6504.73,131.74,-302.15
6514.01,197.09,-371.3
6513.92,199.97,-374.34
6511.93,268.64,-447.01
6509.94,337.32,-519.67
6507.95,406,-592.33
6505.95,474.67,-664.99
6503.96,543.35,-737.65
6501.97,612.02,-810.31
6499.98,680.7,-882.97
6497.99,749.38,-955.63
6496,818.05,-1028.3
6494,886.73,-1100.96
6492.01,955.4,-1173.62
6490.02,1024.08,-1246.28
6489.91,1027.76,-1250.17
6488.82,1090.52,-1320.98
6488.8,1093.49,-1324.56
6488.57,1154.19,-1398.09
6488.33,1217.85,-1475.21
6488.08,1281.51,-1552.32
6487.84,1345.18,-1629.44
6487.59,1408.84,-1706.56
6487.35,1472.5,-1783.67
6487.1,1536.17,-1860.79
6486.86,1599.83,-1937.91
6486.62,1663.49,-2015.02
6486.37,1727.16,-2092.14
6486.13,1790.82,-2169.26
6485.88,1854.48,-2246.37
6485.64,1918.15,-2323.49
6485.39,1981.81,-2400.61
6485.15,2045.47,-2477.72
6484.9,2109.13,-2554.84
6484.66,2172.8,-2631.95
6484.42,2236.46,-2709.07
6484.17,2300.12,-2786.19
6483.93,2363.79,-2863.3
6483.68,2427.45,-2940.42
6483.44,2491.11,-3017.54
6483.19,2554.78,-3094.65
6482.95,2618.44,-3171.77
6482.71,2682.1,-3248.89
6482.46,2745.77,-3326
6482.22,2809.43,-3403.12
6481.97,2873.09,-3480.24
6481.73,2936.76,-3557.35
6481.48,3000.42,-3634.47
6481.24,3064.08,-3711.59
6481,3127.74,-3788.7
6480.75,3191.41,-3865.82
6480.51,3255.07,-3942.93
6480.26,3318.73,-4020.05
6480.02,3382.4,-4097.17
6479.77,3446.06,-4174.28
6479.53,3509.72,-4251.4
6479.28,3573.39,-4328.52
6479.04,3637.05,-4405.63
6478.8,3700.71,-4482.75
6478.55,3764.38,-4559.87
6478.31,3828.04,-4636.98
6478.06,3891.7,-4714.1
6477.82,3955.37,-4791.22
6477.57,4019.03,-4868.33
6477.33,4082.69,-4945.45
6477.09,4146.35,-5022.57
6476.84,4210.02,-5099.68
6476.6,4273.68,-5176.8
6476.35,4337.34,-5253.91
6476.11,4401.01,-5331.03
6475.86,4464.67,-5408.15
6475.62,4528.33,-5485.26
6475.38,4592,-5562.38
6475.13,4655.66,-5639.5
6474.89,4719.32,-5716.61
6474.64,4782.99,-5793.73
6474.4,4846.65,-5870.85
6474.15,4910.31,-5947.96
6473.91,4973.98,-6025.08
6473.67,5037.64,-6102.2
6473.42,5101.3,-6179.31
6473.18,5164.96,-6256.43
6472.93,5228.63,-6333.54
6472.69,5292.29,-6410.66
6472.44,5355.95,-6487.78
6472.2,5419.62,-6564.89
6471.95,5483.28,-6642.01
6471.71,5546.94,-6719.13
6471.47,5610.61,-6796.24
6471.22,5674.27,-6873.36
6470.98,5737.93,-6950.48
6470.73,5801.6,-7027.59
6470.49,5865.26,-7104.71
6470.24,5928.92,-7181.83
6470,5992.58,-7258.94
6469.76,6056.25,-7336.06
6469.51,6119.91,-7413.18
6469.27,6183.57,-7490.29
6469.02,6247.24,-7567.41
6468.78,6310.9,-7644.52
6468.53,6374.56,-7721.64
6468.29,6438.23,-7798.76
6468.05,6501.89,-7875.87
6467.8,6565.55,-7952.99
6467.56,6629.22,-8030.11
6467.31,6692.88,-8107.22
6467.07,6756.54,-8184.34
6466.82,6820.21,-8261.46
6466.58,6883.87,-8338.57
6466.33,6947.53,-8415.69
6466.09,7011.19,-8492.81
6465.85,7074.86,-8569.92
6465.6,7138.52,-8647.04
6465.36,7202.18,-8724.16
6465.11,7265.85,-8801.27
6464.87,7329.51,-8878.39
6464.62,7393.17,-8955.5
6464.38,7456.84,-9032.62
6464.14,7520.5,-9109.74
6463.89,7584.16,-9186.85
6463.65,7647.83,-9263.97
6463.4,7711.49,-9341.09
6463.16,7775.15,-9418.2
6462.91,7838.82,-9495.32
6462.67,7902.48,-9572.44
6462.49,7950,-9630
