TVD,Northing,Easting
0,0,0
177.4977471,-0.37,-0.68
271.4939763,-0.96,-1.27
365.4904716,-1.57,-1.8
459.4879123,-2.11,-2.21
553.4858374,-2.7,-2.41
647.48414,-3.25,-2.55
741.4830918,-3.62,-2.75
835.4822157,-3.64,-3.15
929.4802505,-3.3,-3.64
1023.476546,-2.64,-4.14
1117.47151,-1.71,-4.4
1211.466586,-0.76,-4.31
1305.463905,-0.07,-4.2
1399.461536,0.57,-4.37
1493.457664,1.33,-4.74
1587.454146,2.06,-5.11
1681.452362,2.54,-5.42
1775.45192,2.75,-5.59
1869.451805,2.87,-5.67
1963.451442,3.08,-5.81
2057.447503,3.84,-6.12
2151.425855,5.72,-6.74
2245.3796,8.52,-7.65
2339.330287,11.42,-8.58
2433.289147,14.05,-9.47
2527.254057,16.47,-10.34
2621.226647,18.48,-11.37
2715.205653,20.25,-12.25
2809.190973,21.81,-12.79
2903.180656,23.16,-13.12
2997.17287,24.36,-13.24
3091.16952,25.13,-13.2
3185.168852,25.38,-13
3279.167473,25.08,-12.63
3373.162568,24.3,-12.09
3467.157063,23.45,-11.54
3561.153348,22.75,-11.08
3655.150883,22.13,-10.81
3749.149226,21.6,-10.65
3843.146964,20.96,-10.69
3937.14376,20.2,-10.83
4031.140983,19.5,-11.01
4125.138749,18.93,-11.31
4219.135609,18.25,-11.65
4313.131039,17.4,-12.02
4407.124755,16.4,-12.44
4501.116049,15.24,-12.97
4595.107488,14.15,-13.62
4689.099879,13.24,-14.39
4783.093036,12.71,-15.38
4877.083821,12.77,-16.68
4971.068478,13.28,-18.29
5065.04165,14.48,-20.17
5139.507643,16.11,-21.71
5147.504658,16.31,-21.78
5177.462176,16.36,-20.41
5208.129216,14.99,-16.2
5239.104434,12.11,-8.77
5269.078455,7.42,1.36
5296.868851,0.76,13.34
5323.89647,-8.12,27.95
5348.154561,-18.22,44.37
5370.848345,-29.86,63.67
5390.175764,-41.73,84.78
5407.10764,-54.22,108.86
5420.309066,-67.09,133.76
5430.718435,-81.62,160.29
5439.122766,-96.53,186.13
5447.07787,-112.36,212.78
5453.38182,-128.04,238.76
5457.765257,-144.39,265.91
5460.829528,-160.77,293.22
5463.164568,-176.67,319.73
5464.585452,-192.95,347.24
5465.937443,-223.54,400
5467.07319,-270.7,482.46
5467.554028,-317.27,565.27
5467.835899,-363.35,648.34
5468.533876,-409.26,729.21
5470.73083,-455.45,812.19
5474.025482,-500.51,893.47
5477.388028,-547.19,974.99
5479.899854,-592.84,1058.26
5481.762027,-638.26,1140.53
5484.861643,-685,1220.87
5490.991772,-732.98,1302.63
5497.565001,-780.2,1383.63
5502.615813,-826.46,1465.31
5508.569251,-872.84,1545.69
5516.667219,-921.42,1626.92
5525.30211,-969.4,1708.46
5532.370633,-1014.58,1787.13
5538.750345,-1063.03,1868.59
5544.333338,-1112.34,1948.42
5548.154125,-1161.15,2029.83
5551.699798,-1208.49,2109.8
5557.028888,-1255.95,2189.6
5563.967969,-1305.55,2271.5
5571.727403,-1354.85,2351.15
5579.710027,-1404.05,2432.02
5584.789242,-1450.2,2510.28
5586.651186,-1497.34,2591.58
5586.902773,-1543.55,2672.29
5586.034161,-1574.53,2727.13
5584.731037,-1602.45,2776.81
