TVD,Northing,Easting
0,0,0
176.6374809,0.82,0.02
270.5552877,1.41,-0.14
364.4741181,1.65,-0.53
458.3931895,1.84,-0.9
552.3125514,1.97,-1.22
646.2320353,2.14,-1.46
740.1500145,2.59,-1.85
834.0658433,3.21,-2.48
927.9795308,3.74,-3.42
1021.889219,4.1,-4.76
1115.798033,4.45,-6.17
1209.708144,4.7,-7.5
1303.616513,4.82,-8.97
1397.522847,4.84,-10.57
1491.433785,4.71,-11.86
1585.34855,4.6,-12.85
1679.264142,4.48,-13.75
1773.180421,4.34,-14.57
1867.096172,4.13,-15.44
1961.011022,3.85,-16.38
2054.925029,3.78,-17.43
2148.839338,3.86,-18.46
2242.755885,4.11,-19.21
2336.666651,5.29,-19.08
2430.556911,7.36,-17.96
2524.44977,9.41,-17.08
2618.355808,11.01,-16.85
2712.267591,12.23,-16.96
2806.182184,13.11,-17.43
2900.097092,13.58,-18.27
2994.011716,13.68,-19.27
3087.926564,13.54,-20.24
3181.83956,13.26,-21.35
3275.749937,12.79,-22.61
3369.660197,12.24,-23.84
3463.572265,11.66,-24.91
3557.484957,11.07,-25.93
3651.398622,10.59,-26.91
3745.313923,10.3,-27.8
3839.230807,10.18,-28.55
3933.147651,10.2,-29.31
4027.057181,10.28,-30.69
4120.96294,10.26,-32.32
4214.871783,10.07,-33.75
4308.773986,9.78,-35.55
4402.66541,9.81,-37.85
4496.521391,10.62,-41.18
4590.320767,11.71,-45.8
4684.116257,12.33,-50.59
4777.947968,12.39,-54.65
4871.813651,11.87,-57.78
4965.70507,11.15,-59.97
5059.6078,10.43,-61.62
5153.513067,9.74,-63.13
5247.418083,8.98,-64.62
5341.313521,7.93,-66.49
5435.206811,7,-68.52
5529.105358,6.23,-70.37
5623.004943,5.49,-72.18
5641.992332,5.35,-72.84
5673.887922,5.29,-75.36
5704.459633,5.65,-80.39
5735.27608,6.63,-88.9
5763.620584,8.2,-98.59
5793.945539,10.15,-108.62
5823.527007,11.89,-117.72
5852.202318,13.43,-126.4
5881.739086,14.85,-135.71
5910.783723,16.11,-146.45
5939.175917,17.22,-158.84
5967.960341,18.28,-172.77
5995.301659,19.35,-187.34
6021.838878,20.54,-203.31
6047.537438,21.88,-220.59
6071.761944,23.3,-238.23
6096.854024,25.02,-258.01
6120.211575,26.82,-278.31
6142.575314,28.77,-299.68
6164.705994,31,-322.69
6184.480965,33.34,-345.12
6204.524363,36.17,-369.9
6222.910574,39.31,-394.66
6240.777917,42.85,-420.97
6257.261482,46.44,-448.15
6271.597466,50.05,-475.39
6284.82829,54.03,-504.25
6296.370016,58.13,-532.73
6306.855587,62.4,-562.66
6315.511309,66.41,-592.15
6323.192833,70.48,-622.94
6329.590196,74.25,-653.04
6334.86297,77.82,-684.4
6338.36913,81.2,-715.01
6340.230485,84.54,-746.77
6341.058195,87.65,-777.61
6343.185936,97.08,-873.12
6343.064207,106.63,-965.62
6341.595066,116.59,-1057.06
6341.065187,126.32,-1148.54
6340.687761,138.73,-1241.71
6340.566024,153.64,-1333.51
6341.36948,168.2,-1425.36
6341.137359,183.24,-1519.15
6339.127751,199.33,-1611.74
6338.307463,215.12,-1704.4
6337.208315,230.73,-1797.08
6334.506937,245.82,-1885.77
6330.644439,261.07,-1978.44
6327.544928,276.2,-2070.14
6326.380119,291.18,-2162.93
6324.713876,305.89,-2256.77
6322.475599,321.73,-2350.41
6321.113924,339.18,-2442.77
6321.925985,356.73,-2535.11
6324.624414,373.69,-2627.52
6327.805186,390.12,-2719.01
6329.894499,404.36,-2812.9
6329.451528,415.18,-2906.27
6327.934453,424.59,-3000.79
6326.890764,432.83,-3092.41
6325.722081,441.76,-3184.97
6324.213307,452.06,-3279.4
6323.775018,460.67,-3371.99
6324.521489,467.41,-3465.75
6324.308205,472.66,-3559.59
6322.3478,477.32,-3653.46
6320.838419,481.21,-3747.36
6317.178989,486.09,-3840.13
6312.381259,492.97,-3934.75
6311.585416,500.41,-4029.45
6313.467193,508.48,-4124.09
6313.434035,515.47,-4218.81
6312.062411,520.07,-4311.68
6309.434972,522.33,-4406.61
6303.595527,523.88,-4499.41
6296.921976,525.6,-4592.15
6289.567491,526.91,-4686.86
6279.806298,527.15,-4797.43
6274.873815,526.97,-4850.2
