TVD,Northing,Easting
0,0,0
45.46974861,-0.07,0.11
139.9675294,-0.53,0.56
234.4649286,-1.15,0.87
328.9618318,-1.91,0.94
423.4564594,-2.91,0.99
517.9499413,-4.02,1
612.4436726,-5.1,0.89
706.9375869,-6.13,0.62
801.4314312,-7.18,0.36
895.9253633,-8.25,0.34
990.4188977,-9.35,0.35
1084.915057,-10.18,0.4
1179.414609,-10.18,0.5
1273.911876,-9.51,0.71
1368.409015,-8.85,1.01
1462.90814,-8.67,1.34
1557.407558,-8.59,1.64
1651.907393,-8.6,1.69
1746.406481,-8.7,1.33
1840.903498,-8.27,0.75
1935.397665,-7.57,-0.02
2029.890167,-7.07,-1.1
2124.382276,-6.53,-2.19
2218.876685,-5.92,-3
2313.373289,-5.28,-3.49
2407.870143,-4.7,-3.98
2502.367131,-4.34,-4.64
2596.863745,-4.07,-5.39
2691.359852,-3.81,-6.21
2785.854915,-3.54,-7.14
2880.347964,-3.19,-8.23
2974.841287,-2.77,-9.27
3069.336364,-2.36,-10.14
3163.832951,-1.97,-10.84
3258.332206,-1.92,-11.13
3352.831438,-2.23,-10.94
3447.328249,-2.75,-10.38
3541.82315,-3.49,-9.73
3636.320715,-4.05,-9.42
3730.820522,-4.08,-9.31
3825.318021,-3.54,-8.94
3919.809972,-2.58,-8.18
4014.295696,-1.12,-7.45
4108.780131,0.54,-7.07
4203.262977,2.21,-7.59
4297.722383,4.37,-9.29
4392.153197,7.15,-11.59
4486.565738,10.27,-14.2
4580.977574,13.31,-16.93
4675.412521,15.85,-19.33
4769.870146,17.94,-21.23
4864.341776,19.67,-22.76
4958.824319,21.03,-23.95
5053.313115,22.16,-24.86
5147.806041,23.08,-25.57
5242.300823,23.8,-26.25
5336.794544,24.42,-27.14
5368.322318,24.61,-27.46
5401.314284,24.85,-28.12
5434.29913,24.97,-29.1
5465.220651,23.11,-29.01
5495.934127,19.08,-27.86
5527.645352,14.97,-26.64
5559.426127,11.42,-25.46
5590.235591,8.16,-24.41
5622.006771,4.54,-23.2
5652.603325,-0.1,-21.47
5681.898304,-6.01,-18.89
5712.71302,-13.79,-15.19
5742.962228,-23.25,-10.81
5771.583459,-34.14,-6.03
5800.313528,-47.13,-0.59
5826.529773,-60.6,4.98
5853.846196,-76.02,11.3
5879.613497,-92,17.75
5905.462894,-109.52,24.73
5929.779265,-127.38,31.85
5953.32957,-146.01,39.53
5976.884233,-165.86,48.21
5999.001701,-185.62,57.21
6021.102887,-206.67,66.81
6042.368266,-228.5,76.57
6062.234122,-250.34,86.03
6080.742226,-272.1,95.18
6099.452595,-296.11,105.05
6116.573043,-320.03,114.81
6132.746605,-344.46,124.93
6148.410803,-370.18,135.75
6162.483472,-395.68,146.36
6175.011615,-420.9,156.71
6187.101328,-448.28,168.02
6197.695101,-476.16,179.6
6206.30275,-502.7,190.63
6213.504518,-528.61,201.48
6220.028715,-556.55,213.22
6225.427534,-584.69,225.04
6229.763111,-612.98,236.93
6233.027548,-641.36,248.98
6235.273574,-670.67,261.62
6239.840865,-756.68,299.26
6243.147982,-843.51,337.65
6245.231388,-929.47,375.65
6247.394974,-1016.34,414.03
6249.995013,-1102.09,452.45
6252.879606,-1188.54,491.74
6254.697416,-1273.36,529.82
6256.434072,-1358.28,567.7
6258.132059,-1444.39,605.35
6259.12462,-1531.19,641.41
6259.12462,-1618.43,676.4
6257.738354,-1705.82,710.99
6256.826437,-1794.13,746
6256.826437,-1882.53,780.78
6257.753364,-1969.97,815.28
6258.401393,-2057.38,849.83
6257.892804,-2145.01,883.85
6256.987517,-2229.96,916.46
6256.908104,-2314.64,949.77
6258.084865,-2400.77,984.85
6259.553163,-2487.49,1021.08
6260.208096,-2574.7,1058.74
6259.899694,-2659.62,1096.66
6259.391107,-2745.27,1135.39
6258.80049,-2830.84,1174.29
6258.029762,-2914.45,1212.66
6256.955186,-2999.83,1251.96
6256.212396,-3050.69,1275.41
