TVD,Northing,Easting
0,0,0
146.9984887,-0.263418338,0.513658732
188.9969814,-0.425856597,0.829898734
335.9905138,-1.203870908,1.963840083
511.9815068,-2.441046563,3.242919262
701.9719341,-4.007939197,4.31500334
892.968199,-4.954113274,4.132373965
1082.965297,-5.575369104,3.349050555
1177.963721,-6.026048604,3.045898305
1368.962298,-6.403463419,2.465652622
1558.962153,-6.520855215,2.420001449
1749.958936,-6.535791336,3.434382187
1939.951049,-6.549609628,5.160574245
2130.946952,-6.502240507,6.36364184
2320.942196,-5.779099723,7.449960324
2510.937887,-4.84159792,8.205059061
2605.937615,-4.664188071,8.275915687
2796.936311,-5.235352613,8.563091431
2986.934811,-5.905007948,8.467546903
3081.933996,-5.795117999,8.120034815
3272.930433,-5.05566076,7.217889679
3463.927475,-4.277329572,6.503009739
3653.92454,-4.182337364,5.558572495
3748.922007,-4.314097498,4.8837982
3939.915433,-4.064093222,3.328259278
4129.903978,-3.021578775,1.554708322
4320.898481,-1.928436138,1.064025212
4511.896291,-1.216569646,1.608555665
4701.892971,-0.244013576,2.147946379
4797.889268,0.437836666,2.634376784
4987.88628,0.52446627,2.98669718
5178.884504,0.251715792,2.637244424
5273.882359,0.879123693,2.600112221
5416.877404,2.038696956,2.852516102
5511.876152,2.43261315,2.791601849
5607.874865,2.467413435,2.298725102
5701.871441,2.628469224,1.525111913
5797.866465,2.997898527,0.622637602
5892.861721,3.344914754,-0.258509325
5987.856884,3.683519236,-1.153393446
6082.850851,4.081462735,-2.142947336
6177.844893,4.449772277,-3.137118984
6273.841333,4.908801205,-3.81528586
6336.831779,5.621976872,-4.584439464
6368.790008,6.506272106,-5.884985121
6400.622832,8.036037157,-8.723647061
6432.234373,10.17920799,-13.18245104
6462.579689,12.84785332,-18.91454116
6493.537963,16.18850968,-26.27606724
6524.042827,20.0600632,-35.12189503
6554.071571,24.30479421,-45.32487481
6582.642495,28.65106033,-56.53246634
6611.418173,33.43074255,-69.67825481
6639.4621,38.61568883,-84.18731924
6667.082164,44.16849093,-99.36232994
6693.422928,49.85503651,-114.6825187
6719.695145,56.06556623,-131.853029
6744.695778,62.5723675,-150.7272132
6767.730774,69.186076,-170.3852856
6790.369422,76.34822814,-191.8319394
6811.73302,83.78197035,-214.4605733
6831.799793,91.39444735,-238.19166
6850.618337,99.23262108,-262.8537718
6867.597891,107.0928323,-287.5665001
6883.900638,115.5732641,-313.7609319
