TVD,Northing,Easting
5362.16,41.68,-41
5391.117207,43.24555495,-41.12062229
5423.040212,45.25669503,-40.33702102
5453.977371,47.03668715,-39.73347803
5484.814042,48.66581108,-42.19144929
5517.449197,50.43161782,-46.75332167
5548.170529,52.03892769,-50.57361278
5579.917875,53.72136865,-54.2170156
5609.689114,55.30895308,-57.55649943
5640.462632,56.91532474,-60.9343343
5672.134757,58.49324473,-65.19623701
5702.479843,59.99498837,-71.31316824
5733.251233,61.5009076,-79.94100227
5761.564851,62.8684652,-89.75294117
5790.338336,64.23543233,-101.2024835
5818.578163,65.18360026,-113.9448657
5845.228041,65.54502234,-127.7075279
5871.922799,65.4704641,-143.4587266
5898.541254,64.92204731,-161.2043121
5923.515881,63.61546258,-179.5170447
5946.841261,61.53982043,-198.2625446
5969.081528,59.08893754,-218.2401388
5991.571692,56.38383374,-240.8374136
6012.264752,53.68499125,-263.7580617
6031.843084,50.76476717,-287.6108531
6050.129925,47.6834115,-312.4473883
6067.059506,44.61012276,-338.2297579
6082.684447,41.39241903,-364.806495
6096.915204,37.9456475,-392.1261135
6109.561797,34.44387275,-420.2068503
6120.505195,30.88171275,-448.9863371
6129.743287,27.26617202,-478.3518727
6137.472977,23.6049975,-508.1458648
6143.540563,19.89218324,-537.2868962
6148.286372,15.7262038,-568.6529579
6151.192766,11.75176282,-598.2435297
6153.486254,7.571871539,-629.8863116
6155.594617,3.702019199,-659.5608549
6157.631767,-0.493968626,-691.2187184
6158.683829,-4.56972818,-721.929071
6158.757132,-8.301066484,-751.6954478
6158.619164,-12.04138008,-782.4686232
6158.143387,-23.08156061,-875.8163699
6157.687422,-34.04984517,-970.1796828
6156.348401,-44.78597743,-1062.545407
6153.97881,-55.97916856,-1154.83806
6152.250248,-68.1481448,-1247.021735
6151.265898,-81.09155776,-1340.120763
6149.715357,-92.28439506,-1433.429873
6147.702806,-101.3978353,-1525.960088
6146.119677,-110.2100509,-1619.532259
6146.515757,-118.739489,-1708.114502
6149.967297,-132.556033,-1831.292454
6151.006057,-140.4541762,-1892.775929
6150.283509,-152.5734066,-1983.969336
6147.514938,-164.0719455,-2078.227657
6144.865761,-174.6352151,-2171.592574
6143.638828,-184.9189707,-2266.026004
6141.998321,-194.7512032,-2359.494857
6137.801061,-204.9624002,-2450.823105
6131.580897,-215.772405,-2542.982936
6125.997925,-225.9792101,-2636.258437
6122.947036,-234.9748306,-2729.771309
6122.947036,-240.9770931,-2805.530123
6123.627865,-244.2471212,-2852.411285
