TVD,Northing,Easting
0,0,0
154.2588088,0.15,0.5
246.8327415,0.4,1.51
339.4044103,1.03,2.54
431.9793557,1.9,2.91
524.5580118,2.24,2.73
617.1374043,2.39,2.7
709.7166479,2.69,2.85
802.2962141,2.96,2.86
894.8719811,3.8,2.82
987.436452,5.41,2.35
1079.995228,7.13,1.37
1172.55389,8.68,0.13
1265.113574,10.16,-1.13
1357.678099,11.5,-2.15
1450.245686,12.74,-3.02
1542.812974,13.86,-4.07
1635.380842,14.8,-5.23
1727.949056,15.52,-6.52
1820.515192,16.06,-8.02
1913.083529,16.28,-9.47
2005.649426,16.49,-11.05
2098.209869,17,-12.89
2190.776442,17.49,-14.37
2283.348526,17.9,-15.51
2375.921616,18.33,-16.56
2468.49592,18.71,-17.51
2561.069258,18.93,-18.59
2653.640006,19.05,-19.89
2746.210175,19.21,-21.23
2838.779877,19.32,-22.61
2931.35029,19.44,-23.94
3023.924591,19.62,-24.94
3116.497682,19.93,-26.01
3209.066639,20.4,-27.36
3301.637512,20.93,-28.54
3394.20979,21.51,-29.59
3486.783622,22.01,-30.53
3579.358925,22.51,-31.32
3671.929737,23.45,-32.19
3764.490073,25.22,-32.83
3857.042437,27.46,-33.11
3949.595395,29.68,-33.35
4042.152128,31.76,-33.42
4134.711992,33.69,-33.4
4227.275332,35.42,-33.66
4319.843234,36.84,-34.11
4412.413666,37.94,-34.82
4504.981742,39,-35.86
4597.555613,39.68,-36.6
4690.13377,39.97,-36.31
4782.701936,41.06,-35.39
4875.239292,43.44,-36.38
4967.727258,46.46,-39.2
5060.17743,49.68,-42.86
5143.022618,52.74,-46.89
5168.974672,53.85,-48.01
5200.693108,55.16,-51.76
5230.769212,56.64,-59.08
5261.087676,59.19,-68.97
5289.635993,62.87,-80.46
5317.10059,68,-93.86
5342.249333,74.4,-108.89
5367.255483,82.51,-127.11
5390.277902,91.73,-147.31
5410.546005,101.75,-168.51
5429.167195,113.21,-191.86
5444.72549,125.58,-215.63
5457.305003,139.2,-239.2
5467.63277,155.06,-263.73
5474.792799,171.46,-286.54
5480.43413,191.52,-310.81
5484.4001,213.12,-332.67
5486.995905,236.11,-351.73
5488.188128,262.18,-370.24
5487.999626,287.32,-386.62
5487.244926,313.64,-402.97
5485.490029,391.13,-450.65
5483.477494,470.17,-499.6
5480.287093,549.67,-549.67
5476.506458,629.17,-599.67
5473.127554,708.98,-649.22
5469.855179,788.46,-699.3
5465.984422,867.46,-750.1
5461.960248,945.53,-800.48
5457.907477,1025.08,-852.25
5453.685959,1102.02,-902.51
5448.987211,1181.33,-954.59
5444.652884,1260.27,-1007.26
5440.855742,1337.7,-1058.64
5438.203232,1417.11,-1110.71
5435.749288,1497.62,-1161.08
5435.027041,1576.82,-1209.79
5436.667649,1655.65,-1260.96
5437.536044,1732.53,-1313.27
5437.117688,1809.39,-1367.39
5436.087004,1885.15,-1421.32
5435.710008,1962.95,-1477.56
5435.336945,2039.22,-1534.19
5434.55784,2113.75,-1589.82
5434.9309,2190.21,-1646.19
5436.47283,2267.03,-1702.06
5438.442114,2340.48,-1755.74
5441.376399,2416.92,-1812.08
5443.532082,2463.57,-1846.47
