TVD,Northing,Easting
6530.55,72.09,-23.1
6615.702286,74.35933869,-21.76039808
6649.537614,77.55541127,-21.95476407
6683.883792,84.13212549,-23.00201457
6714.812542,92.20193935,-24.47547372
6745.581377,100.8319645,-26.14911973
6775.372189,109.1376614,-28.25905166
6805.939471,118.0285797,-31.48756195
6836.157197,127.7640041,-35.4895233
6866.05717,138.363373,-39.68296403
6894.677875,149.5770818,-43.68154537
6922.750114,162.1122706,-47.62939844
6951.063818,176.4130127,-51.83370583
6978.138884,190.9258039,-55.99483039
7006.021861,206.0202077,-60.31888226
7033.665271,221.4558067,-64.95651843
7059.681683,237.5059569,-70.07456849
7084.630177,254.9609672,-75.87453943
7109.874587,275.0543641,-82.76642919
7132.791143,296.118122,-90.1616965
7152.244489,316.4275331,-97.22532065
7173.668748,341.427064,-105.6952076
7192.534806,365.8931047,-114.0188656
7208.613898,388.6727612,-121.9842505
7226.669724,416.8468645,-132.2260488
7241.277031,442.3911076,-141.9682028
7253.715112,466.7557102,-151.5864502
7267.172567,496.6853479,-163.7449757
7278.486287,524.3766606,-175.1102456
7288.159227,548.7248125,-184.9895641
7299.568318,579.549816,-197.0079128
7308.736743,608.3652155,-207.4678051
7315.275078,632.1812652,-215.5908705
7323.472571,666.5839125,-226.4557448
7329.474169,696.7910546,-235.1361559
7332.228761,712.9919204,-239.4876462
7348.001856,808.2865588,-265.3692567
7352.837124,838.3051298,-275.3079606
7357.006676,866.4798421,-287.5220561
7361.072979,894.3210963,-302.7395787
7365.191524,919.8263132,-319.8543781
7369.519632,944.666561,-339.5468407
7372.860697,967.3617261,-360.3835044
7374.225596,989.6741425,-383.2653946
7373.846775,1010.230746,-406.4593728
7372.981205,1030.134862,-430.2096278
7370.545173,1090.360222,-502.3406719
7369.585453,1150.273651,-574.7635928
7367.428445,1210.201442,-647.1396886
7363.798162,1270.391363,-720.546951
7362.592261,1330.84634,-792.5044859
7360.566476,1392.852873,-863.1101356
7356.480513,1455.063422,-934.7890273
7353.265461,1515.316856,-1006.864339
7351.198415,1574.201827,-1080.102704
7349.861022,1634.40248,-1152.268062
7349.21299,1696.784955,-1222.580536
7349.262732,1759.857871,-1293.62127
7349.681088,1822.370243,-1363.82062
7348.024328,1885.434244,-1433.492874
7344.924662,1947.566741,-1502.619568
7344.037604,2009.717017,-1574.456651
7341.50348,2071.221535,-1645.473384
7337.264074,2133.436279,-1715.806841
7334.253624,2195.251869,-1785.223739
7332.487946,2258.9905,-1855.640913
7332.955523,2321.715573,-1925.647358
7332.455166,2384.162623,-1995.896749
7330.527583,2446.68695,-2066.060225
7328.599979,2509.431049,-2136.026581
7327.953359,2572.739943,-2206.846302
7330.397612,2633.950818,-2278.135578
7331.22602,2695.338831,-2349.291345
7329.0873,2758.352422,-2420.352648
7326.930088,2820.732747,-2490.638008
7324.559302,2883.977947,-2561.485824
7322.416926,2946.118114,-2630.644968
7320.510281,3009.795791,-2701.118448
7318.853352,3072.885133,-2770.78177
7317.551801,3136.248834,-2841.55074
7317.002202,3198.791216,-2911.722093
7315.80461,3261.931814,-2981.344385
7313.75148,3325.002952,-3049.657995
7311.654192,3389.970372,-3118.938177
7310.365744,3451.864143,-3189.63975
7310.136056,3511.445827,-3262.343687
7310.455972,3571.438742,-3334.708236
7309.43888,3631.708084,-3406.82806
7306.90445,3692.427686,-3478.540222
7305.198314,3753.228205,-3550.208385
7305.190112,3813.798981,-3622.087556
7304.082845,3874.21033,-3694.082998
7301.089247,3934.431601,-3766.19636
7298.759899,3994.955792,-3839.383561
7297.422847,4054.238596,-3912.318136
7297.188275,4114.150311,-3987.327964
7295.231884,4174.41629,-4060.724152
7291.580724,4234.626346,-4131.508245
7288.646428,4296.060619,-4203.91068
7286.669643,4356.826419,-4275.601264
7283.78514,4418.14632,-4348.099191
7281.390231,4478.268013,-4420.311059
7278.355959,4538.034384,-4492.787688
7273.10874,4597.776701,-4565.170773
7268.641938,4658.066415,-4638.45135
7265.152507,4718.286589,-4711.84289
7261.895046,4778.748703,-4785.046029
7259.131032,4838.823336,-4857.290727
7257.334676,4899.164943,-4929.343372
7256.366733,4959.947152,-5001.040636
7256.084863,5021.701059,-5073.230283
7256.26533,5082.923494,-5144.558884
7255.666453,5142.8484,-5216.969739
7254.223993,5202.194253,-5291.13827
7251.829012,5260.876217,-5364.529496
7248.71237,5320.525763,-5438.401055
7246.497761,5380.078526,-5511.095577
7244.988293,5439.081806,-5582.965693
7244.150984,5499.276001,-5656.45629
7242.682697,5558.046094,-5729.800005
7240.845342,5615.912905,-5803.852912
7238.847172,5675.884074,-5877.490437
7236.27173,5736.684254,-5949.13288
7234.543176,5796.452783,-6020.362269
7232.606611,5893.924861,-6136.978922
