TVD,Northing,Easting
4037.36,29.69,-97.77
4064.35096,30.36474052,-97.78314219
4096.271157,29.01647817,-96.49316358
4126.732591,24.33214533,-93.31729539
4156.191811,16.24562804,-88.21193685
4184.969612,4.110443017,-81.34897252
4211.686576,-11.55130529,-73.38666175
4235.134056,-29.8844726,-64.79914864
4256.379202,-51.79616416,-55.26266378
4273.619862,-75.43824166,-45.10108018
4287.210778,-100.6527209,-33.31299696
4298.166555,-127.4108507,-19.62255418
4307.53014,-154.4209826,-5.245495517
4315.733387,-181.6584,9.405407944
4322.339608,-208.1815705,24.02419694
4327.984358,-235.4491818,39.78744896
4332.871616,-262.5505239,56.08469875
4337.098179,-289.6052452,72.64128856
4340.252315,-315.785127,88.93716462
4342.409297,-341.9122024,105.4796539
4344.17328,-368.853697,122.656503
4345.719849,-393.9971639,138.9474972
4347.369517,-420.5933829,156.6648157
4350.67636,-496.6352106,208.3333361
4351.348996,-574.3682744,261.1804839
4352.343796,-652.8221602,314.7381588
4354.366489,-730.7897252,368.9775167
4355.021393,-808.5910872,423.4849711
4357.731445,-886.1542319,478.2398366
4363.721367,-963.4181036,533.1890166
4369.515123,-1041.624342,588.562087
4375.60571,-1117.975164,643.0524644
4383.183239,-1194.629918,698.6532994
4392.200852,-1269.96412,754.1432582
4401.37215,-1346.041571,810.2935357
4410.576431,-1422.155584,866.3888097
4421.291251,-1496.490089,922.9127288
4430.180822,-1571.316387,980.7437566
4433.371666,-1648.020306,1038.354396
4433.910565,-1725.289979,1093.612911
4437.493948,-1802.29436,1147.381584
4444.123709,-1880.610658,1202.504894
4451.478153,-1957.728505,1257.491962
4455.790466,-2033.624341,1312.745936
4455.533472,-2110.175856,1368.999189
4454.871654,-2187.542515,1425.830653
4454.697556,-2264.349892,1481.736954
4456.976902,-2341.115944,1537.633278
4462.735139,-2417.128398,1594.321766
4470.50923,-2493.583943,1651.851744
4478.007625,-2569.552034,1706.689991
4482.995967,-2647.728369,1760.42867
4485.250664,-2726.545205,1813.411161
4485.424759,-2805.658028,1866.003455
4485.856013,-2882.924153,1921.238828
4485.284017,-2957.864405,1979.609631
4482.946902,-3033.024463,2039.287644
4483.109224,-3106.844028,2095.829202
4485.119691,-3184.215775,2152.622823
4488.600705,-3261.276414,2208.058475
4494.077568,-3338.666135,2262.883862
4498.064007,-3416.615957,2317.029248
4499.431844,-3494.991845,2370.694413
4499.776378,-3571.89184,2424.750661
4499.809889,-3649.743789,2480.919917
4502.606424,-3724.860562,2537.327728
4508.59669,-3799.042811,2596.366607
4515.170546,-3870.798555,2656.725616
4522.177993,-3941.836345,2719.409182
4529.460206,-4014.102772,2782.174858
4537.83957,-4085.756069,2843.979462
4544.753136,-4138.951802,2892.003351
4550.034207,-4179.275938,2929.031372
