TVD,Northing,Easting
6083.93,63.21,-94.09
6118.926636,63.5610134,-94.42447186
6150.923365,63.89264287,-94.73937539
6181.921219,64.15305356,-94.99072866
6213.919429,64.39827948,-95.22251868
6245.917196,64.47825313,-95.57354788
6276.891552,63.59824696,-96.33068622
6308.730946,60.87460773,-97.88975802
6339.294486,56.27924562,-100.2073899
6370.411065,49.62779002,-103.5437691
6400.994719,41.36611881,-108.0233158
6430.081941,32.18607688,-113.5407427
6459.489701,21.60808641,-120.3984876
6487.26038,10.15402226,-128.0367889
6515.190403,-2.854522608,-136.6699482
6542.381435,-16.94364859,-145.9408263
6567.819578,-31.74412806,-155.6658502
6592.975585,-48.28131297,-166.5015352
6616.202714,-65.37563576,-177.8599869
6639.091606,-83.83488469,-190.4771524
6660.923555,-103.106348,-203.7347383
6680.807801,-122.8188635,-217.0293508
6699.74875,-144.3215307,-231.2594083
6717.083581,-166.8331845,-245.9721928
6732.79352,-189.2887194,-260.4596547
6748.068945,-213.007408,-275.5573962
6762.110637,-237.3140636,-290.9143539
6774.123936,-261.424954,-306.2436955
6809.309452,-355.9643919,-376.2769131
6815.69454,-379.1187418,-397.4095276
6820.994366,-400.1169559,-419.5797786
6825.406892,-419.5555015,-443.3115178
6829.171763,-438.0706751,-469.1322835
6832.350607,-455.2329683,-495.9487341
6834.956013,-470.5095996,-522.7924317
6837.155359,-484.7317114,-551.3686185
6838.76916,-497.3194409,-580.7392122
6839.82474,-508.35378,-610.7544294
6840.352332,-517.6422436,-640.3219759
6840.475234,-525.6587112,-671.2971093
6840.452886,-531.8375715,-702.6895039
6840.50429,-536.3632587,-733.3559002
6840.731581,-539.5924458,-764.182904
6841.080754,-541.0995211,-796.1402174
6841.575115,-540.79805,-828.1315276
6842.202865,-538.8387315,-859.0589077
6842.956914,-535.1565997,-890.8344438
6843.530553,-529.9776446,-921.3886467
6843.642281,-522.8591147,-952.582239
6843.377096,-514.2795193,-982.3655903
6842.958128,-503.7263215,-1012.568371
6842.75982,-491.6214584,-1042.186003
6842.903227,-478.4850489,-1070.261151
6843.28307,-463.5532429,-1098.557957
6843.74111,-447.3271506,-1126.131883
6844.025205,-430.406947,-1152.102232
6844.194764,-413.9148454,-1175.955416
6845.181374,-358.2754066,-1252.945614
6846.201062,-301.5044,-1329.109768
6846.251327,-244.3345866,-1406.229497
6845.347691,-187.5232029,-1482.364609
6844.502092,-130.3597898,-1558.236795
6844.173971,-73.89443991,-1633.386933
6845.14189,-17.551166,-1708.620378
6847.413912,38.66830453,-1783.921077
6847.687471,94.98412781,-1860.417814
6844.678634,151.202288,-1936.935837
6842.117284,207.111978,-2013.69216
6841.122463,262.5049247,-2090.864838
6839.870664,317.9768218,-2167.976913
6838.187816,373.5524611,-2245.006106
6836.694926,428.8436199,-2321.010163
6835.513716,485.3412328,-2398.615688
6833.17614,540.9342493,-2475.612177
6829.902089,595.9194047,-2553.012493
6826.367561,651.191738,-2631.424163
6822.298262,706.0716007,-2708.862112
6818.783993,760.8826613,-2786.374989
6816.592942,814.1434408,-2862.580807
6814.777474,868.1946229,-2940.6843
6812.787942,921.9913727,-3018.959059
6810.566343,975.5869273,-3097.365417
6807.358631,1029.056644,-3175.822563
6804.709435,1082.411008,-3253.163709
6803.714603,1136.325258,-3331.375315
6802.603731,1189.842537,-3409.858154
6800.498169,1243.33675,-3488.336532
6798.201971,1296.897028,-3566.764687
6796.477677,1350.962671,-3644.859918
6794.264375,1405.64022,-3722.514213
6793.360818,1460.833685,-3799.821155
6794.720383,1516.068985,-3877.10116
6796.005341,1571.183417,-3954.46867
6795.74564,1627.499663,-4032.209416
6793.777051,1684.388313,-4109.512442
6792.085925,1740.459713,-4186.180479
6790.054985,1796.17152,-4263.10084
6786.764394,1851.662018,-4340.139454
6783.556622,1906.655059,-4417.536614
6780.348887,1961.106823,-4495.316217
6776.847835,2015.961923,-4574.022329
6773.383223,2069.761802,-4652.243094
6769.790078,2123.607785,-4731.63889
6766.066865,2176.021808,-4809.58036
6761.873321,2228.570264,-4888.612236
6757.199473,2280.733371,-4967.872111
6752.103352,2332.413334,-5047.421819
6746.593937,2384.296411,-5128.005792
6742.646933,2417.682379,-5180.099674
6738.789913,2448.271738,-5228.041457
