TVD,Northing,Easting
0,0,0
99.99977611,0.16,0.08
199.9994356,0.36,0.23
299.998976,0.17,0.13
399.997618,-0.16,-0.27
499.996119,-0.29,-0.8
599.9943814,-0.29,-1.39
699.9936077,-0.04,-1.48
799.9918996,0.37,-1.06
899.990252,0.86,-0.78
999.986738,1.67,-0.86
1099.981947,2.57,-1.24
1199.977284,3.28,-1.88
1299.972273,3.88,-2.68
1399.967999,4.33,-3.49
1499.963639,4.74,-4.33
1599.958877,5.23,-5.17
1699.956569,5.73,-5.55
1799.95576,6.12,-5.58
1899.954887,6.53,-5.66
1999.953771,7,-5.6
2099.951336,7.68,-5.57
2199.945139,8.77,-5.75
2299.935749,10.1,-6.08
2399.926366,11.41,-6.47
2499.919299,12.53,-6.85
2599.913183,13.54,-7.3
2699.906756,14.51,-7.89
2799.900617,15.42,-8.52
2899.892443,16.23,-9.49
2999.882288,17.14,-10.58
3099.873296,18.09,-11.52
3199.863326,18.73,-12.77
3299.848221,19.29,-14.41
3399.833605,20.02,-15.95
3499.823199,21.07,-16.91
3599.814497,22.27,-17.44
3699.809527,23.16,-17.89
3799.806103,23.8,-18.4
3899.800122,24.37,-19.32
3999.788547,25,-20.7
4099.76916,25.89,-22.45
4199.739901,27.1,-24.54
4290.707492,28.28,-26.66
4382.675006,29.21,-28.92
4474.64415,29.85,-31.21
4566.616275,30.66,-33.32
4658.593662,31.62,-35.12
4750.575922,32.36,-36.77
4842.560333,33.03,-38.32
4934.545179,33.71,-39.84
5026.524578,34.33,-41.68
5118.499062,34.67,-43.81
5210.47985,34.87,-45.68
5302.470881,35.45,-46.78
5394.466099,36.33,-46.83
5486.456865,37.16,-45.86
5547.451179,37.54,-45.14
5638.42687,39.11,-45.96
5670.303604,40.94,-47.92
5701.787725,44.53,-52.28
5732.555242,50.06,-59.06
5761.32672,57.41,-67.9
5789.60197,66.9,-79.46
5814.576419,77.16,-92.51
5838.649085,88.86,-108.13
5860.708987,101.63,-125.75
5879.88678,115.04,-144.5
5897.714322,130.63,-166
5911.739488,146.4,-187.3
5924.523666,163.91,-210.83
5935.308411,180.49,-233.39
5945.395843,197.44,-257.3
5954.358026,214.09,-281.86
5962.383231,231.11,-307.74
5968.77489,247.72,-333.12
5973.827268,265.28,-359.39
5977.521819,282.55,-384.86
5980.118353,299.91,-410.41
5981.811286,316.83,-435.12
5983.020544,352.56,-486.99
5982.093755,402.73,-561.7
5981.107219,454.5,-641.35
5980.729882,505.68,-720.19
5981.219618,556.01,-797.21
5979.677757,607.8,-874.42
5973.906682,661.78,-951.14
5966.423911,715.73,-1026.53
5959.11763,768.88,-1101.27
5951.587077,823.31,-1177.53
5943.917526,878.3,-1253.39
5935.978244,933.48,-1329.07
5927.907951,989.29,-1404.28
5918.816014,1046.33,-1477.15
5910.984988,1102.98,-1550.47
5905.418264,1158.05,-1626.44
5899.229736,1213.56,-1703.29
5892.9444,1267.29,-1778.93
5887.261664,1317.62,-1854.53
5880.72085,1367.58,-1933.88
5873.342456,1415.27,-2012.21
5865.967242,1463.94,-2092.29
5858.771646,1512.04,-2172.73
5851.603929,1559.77,-2252.21
5844.242516,1608.62,-2331.01
5836.791949,1656.82,-2410.19
5829.171411,1704.43,-2490.89
5819.332651,1761.19,-2588.1
5814.801022,1786.35,-2631.07
