TVD,Northing,Easting
0,0,0
146.9985551,0.46689001,0.317179018
241.9962541,1.048224271,0.626530537
336.9944217,1.550349915,0.92979079
431.9923307,2.026526952,1.342275898
506.9904583,2.420200412,1.696907093
601.9884697,2.862126823,2.122415318
791.9862517,3.38578963,2.860810688
981.9855772,3.570271557,3.30250421
1172.985359,3.517258409,3.124078876
1362.979841,3.296789096,1.775026806
1553.966812,3.202325572,-0.452371514
1743.954224,3.133356626,-2.637144793
1933.941615,2.939785832,-4.817131113
2123.929584,3.063417313,-6.94175549
2314.918759,3.514990308,-8.924424392
2504.910344,3.749220039,-10.69033476
2694.897073,4.050101779,-12.8828355
2885.882217,4.427299506,-15.21608652
3075.875083,4.235461387,-16.83181055
3266.869171,3.914046814,-18.29259154
3455.866989,3.96124548,-19.09856345
3646.866217,4.286887175,-19.48916426
3836.864848,4.506462045,-20.16031909
4026.863168,4.42359943,-20.95110308
4217.860061,5.030158034,-21.74583834
4407.849571,6.165718909,-23.3005954
4598.832983,7.008639993,-25.67125949
4788.820193,7.817002616,-27.71796726
4978.803735,8.969541287,-29.92059044
5074.792959,9.473089309,-31.26180558
5246.765708,10.02879638,-34.25711382
5408.7293,10.50819917,-37.65711551
5504.723546,10.69075319,-38.23352825
5598.719305,11.10265228,-37.46113598
5788.709094,12.94136041,-37.10253125
5883.700612,14.17010159,-37.41702652
5978.69812,14.59180422,-37.50894397
6073.697526,14.36411323,-37.63522326
6168.692926,14.63566787,-38.47940753
6263.690047,14.85207557,-39.00008271
6295.689198,14.79459597,-38.7872882
6326.688231,14.74771882,-38.85444633
6358.645151,14.8894283,-40.38935448
6389.427713,15.35571628,-43.96954549
6420.885143,16.13324815,-49.7563102
6451.972394,17.13393776,-57.26529194
6482.665291,18.40716086,-66.21715034
6512.87371,20.01663955,-76.63974936
6541.563261,21.97931469,-88.20823171
6570.463949,24.59256056,-101.6850945
6598.489779,28.00972497,-116.7356835
6624.7202,32.10131477,-132.7349213
6650.836834,36.96740543,-150.5673348
6675.934635,42.31816426,-169.6783549
6700.091103,47.98220539,-189.8835753
6722.685957,53.6214331,-210.3421275
6745.033031,59.58810014,-232.4510176
6766.318871,65.7199989,-255.541316
6786.520509,71.84964187,-279.5854589
6804.864249,77.80665649,-303.8505912
6822.53199,84.30138741,-329.7251916
6838.756184,91.2820377,-356.4030884
6853.321809,98.51010118,-383.9590251
6865.765258,105.6198215,-411.4416133
6876.826403,113.0961436,-440.5187109
6886.293516,120.7908943,-470.098481
6889.496331,123.7792196,-481.2703017
6915.139305,160.186043,-614.8912125
6923.030472,184.694501,-706.3291783
6927.20419,208.2448528,-797.2290014
6929.906462,231.8206339,-889.2172363
6931.760184,255.0095117,-980.2906281
6930.873171,278.006144,-1072.456383
6928.58526,300.4589211,-1164.736397
6926.579114,321.9211718,-1257.257559
6924.938548,341.6540884,-1349.147051
6923.993401,362.1816709,-1441.893858
6923.763715,383.686481,-1533.400475
6924.277722,404.4499101,-1626.100595
6924.277722,426.181874,-1718.573785
6923.050718,448.4292281,-1810.920957
6922.068691,468.0094444,-1901.828881
6921.34719,489.9887402,-1994.23152
6920.272606,514.228866,-2085.045464
6919.509735,537.9859735,-2175.990077
6919.559477,561.964613,-2267.913937
6918.639281,586.526294,-2359.675762
6916.807238,611.557523,-2451.300203
6915.757271,636.4548687,-2541.936504
6915.46711,661.5225782,-2633.568631
6914.91992,687.5392255,-2724.931217
6914.099616,715.1306936,-2814.786004
6913.958676,744.4631084,-2905.14236
6912.743822,773.0219355,-2996.776551
6910.340586,799.3408357,-3086.984636
6908.698659,826.9392189,-3178.91637
6907.993202,854.6722088,-3268.729076
6907.902002,881.6605966,-3359.811173
6906.807726,906.757993,-3451.425796
6904.937523,931.7703535,-3542.016104
6903.362429,957.4418714,-3633.467921
6902.276429,982.9873547,-3724.961489
6900.808112,1009.507147,-3815.126787
6898.918014,1036.554103,-3906.17354
6898.852391,1062.849464,-3996.418143
