TVD,Northing,Easting
0,0,0
197.9993717,0.12304702,-0.414072514
297.9980365,0.255362162,-0.911487066
392.9965104,0.268907016,-1.445276902
488.9946819,0.070213781,-2.000706114
583.9932024,-0.099627957,-2.496010394
678.9918881,-0.167498492,-2.98875873
773.9901677,-0.271577557,-3.550772275
869.9883799,-0.367822066,-4.128283322
964.986895,-0.456913088,-4.650109879
1155.980793,-0.526477763,-6.135292542
1250.974866,-0.459376834,-7.19408928
1346.972275,-0.763862316,-7.6609521
1441.966636,-1.573920426,-7.069072686
1536.957259,-2.487594089,-6.096354195
1632.948367,-3.372292093,-5.135094491
1727.943425,-4.050816547,-4.474934658
1822.94102,-4.537447855,-4.010835703
1918.937974,-5.165652023,-3.59613933
2013.93224,-6.139719098,-3.244791594
2108.926372,-7.042092986,-2.720183471
2203.921728,-7.616164722,-1.98275497
2299.918039,-8.14182956,-1.342787368
2394.91683,-8.579513055,-1.249101532
2488.916563,-8.756204577,-1.318512233
2584.916469,-8.689570277,-1.397814164
2679.916344,-8.577468485,-1.461430079
2774.916179,-8.462228208,-1.331484776
2869.915397,-8.118771563,-1.20184386
2965.913555,-7.526941526,-1.153269774
3060.912316,-7.052710398,-1.190260746
3155.910249,-6.452593795,-1.157958863
3251.904085,-5.373312383,-1.138853549
3346.894228,-4.019823726,-1.328293769
3441.889718,-3.223764687,-1.176800063
3536.885913,-3.005167488,-0.368631915
3632.879748,-2.652486306,0.659954071
3727.874446,-2.279930746,1.591288667
3822.869573,-1.737141004,2.375521633
3917.864075,-1.090392046,3.162969958
4013.854997,-0.278978326,4.19123448
4107.84807,0.349832899,5.104029041
4202.8448,0.57379128,5.859009848
4297.842168,0.606397437,6.552653417
4393.840647,0.625072937,7.081299137
4488.838201,1.068121762,7.579994012
4583.835645,0.872591071,8.012081988
4678.825988,-0.444599071,8.293296785
4774.810039,-2.187335279,8.394980566
4869.799525,-3.554541817,8.556229643
4964.796809,-4.112296634,8.975509786
5059.795238,-4.342078483,9.470637799
5155.794815,-4.366821611,9.67597216
5250.794536,-4.148330696,9.683064101
5345.79166,-3.47538503,9.527603251
5384.789005,-3.040853013,9.394021697
5507.782767,-1.831585543,9.147496173
5602.778556,-0.942758322,9.07095911
5697.772335,0.140755641,9.012471232
5793.763724,0.942173601,9.831211282
5888.745907,1.425885077,11.60539674
5983.730567,0.74104397,12.96559306
6079.708432,-1.115489145,13.85944241
6174.690601,-2.65248585,14.86250817
6206.657675,-3.343424419,16.0443755
6237.495389,-4.407511488,18.96905574
6269.050327,-5.754837837,24.07696844
6300.199004,-7.397229439,31.1987612
6330.843465,-9.603870224,40.12873558
6359.947618,-12.48937624,50.39142614
6389.297411,-16.16897243,62.58876832
6417.989133,-20.34519447,76.12381842
6446.038503,-25.17649443,90.74207921
6472.685151,-30.48424611,105.6664735
6499.6084,-36.82874155,121.7485736
6525.561281,-44.50610603,138.8112821
6550.237698,-53.24956858,157.2020007
6572.680159,-62.45728922,176.4925577
6594.109725,-72.779827,197.886306
6613.605098,-84.02657023,220.621739
6631.31114,-96.06878464,244.3953554
6647.497521,-108.7051634,268.9326124
6661.793535,-121.3188486,293.372902
6675.118226,-134.4878886,319.3113293
6687.050327,-147.7251637,345.8863649
6697.326053,-160.691884,372.0992184
6706.665385,-174.1650028,399.5786438
6715.090521,-187.3957793,427.469532
6722.861765,-200.277753,455.7115434
6729.473424,-212.3983802,483.4644188
6735.565599,-224.6225221,512.4031386
6756.414646,-280.2662264,640.2262671
6764.265805,-323.9513212,726.4239176
6770.07913,-372.0971548,806.935994
6778.467498,-424.5562596,885.6759654
6788.026939,-479.7036968,962.4349596
6796.865485,-536.1459249,1037.078207
6805.28597,-595.031651,1111.146935
6813.425963,-655.8188832,1183.693316
6821.623408,-718.3586985,1254.730685
6830.126157,-781.4311798,1325.260952
6839.094823,-843.6592138,1395.140978
6848.076379,-906.3630242,1465.94011
6856.636934,-968.9258531,1536.916196
6859.224834,-994.4453658,1566.289195
6860.231398,-1030.505862,1609.112748
6858.863552,-1091.162924,1682.21348
6857.542915,-1151.307914,1754.440172
6857.091748,-1211.237526,1826.856897
6857.116619,-1271.53685,1900.266495
6857.174651,-1331.913012,1973.612904
6856.917648,-1392.830999,2046.508774
6856.461682,-1454.129749,2119.08458
6855.980838,-1515.870094,2191.283877
6855.595456,-1576.889594,2260.132716
6855.796521,-1641.849984,2330.813753
6856.247686,-1705.836823,2399.671797
6856.620749,-1770.358835,2469.398039
6856.907855,-1834.063155,2538.518424
6857.137543,-1897.149402,2608.20276
6857.510612,-1959.935714,2679.495073
6857.568644,-2022.085854,2751.344453
6857.424741,-2085.082061,2825.103534
6857.400132,-2145.880271,2896.794323
6857.458164,-2207.173324,2969.376233
6857.342099,-2267.919744,3042.415863
6857.309287,-2327.654062,3114.995452
6857.39219,-2388.119806,3188.268063
6858.112649,-2449.368283,3262.186475
6859.663034,-2530.73039,3358.380294
6861.2406,-2616.546868,3457.344808
6862.12427,-2697.541923,3548.571643
6861.927396,-2760.901725,3618.008144
6862.441396,-2825.785875,3687.393446
6863.425749,-2890.866958,3755.211936
6864.434701,-2956.372905,3822.62025
6867.336455,-3086.693591,3960.840704
6868.878484,-3149.737655,4031.886356
6870.151893,-3211.598498,4105.283542
6871.096973,-3272.054895,4178.557853
6872.29904,-3332.374968,4251.940462
6873.733252,-3391.778312,4326.061427
6874.78324,-3450.476169,4399.472571
6875.341917,-3511.690105,4474.715773
6875.748141,-3571.674497,4548.381955
6876.056545,-3644.240369,4636.301915
6876.237976,-3694.11419,4694.965663
6877.025458,-3755.830647,4765.862325
6877.904216,-3818.378286,4837.360265
6878.415248,-3881.7563,4909.463867
6879.526132,-3944.283153,4980.975752
6881.126088,-4006.462158,5052.782478
6882.910414,-4069.147834,5125.468606
6884.969215,-4130.224931,5196.892301
6887.046713,-4192.135637,5270.231607
6888.555486,-4252.791473,5343.330877
6889.550311,-4313.54103,5416.361311
6890.731521,-4375.416922,5489.75027
6891.887603,-4437.733708,5562.765427
6892.716632,-4500.075376,5634.443402
6893.579513,-4563.634071,5706.38458
6894.735608,-4627.840446,5777.743089
6896.111759,-4692.136758,5847.664804
6897.186345,-4755.625528,5916.974948
6897.931942,-4820.09634,5988.10129
6898.711071,-4883.949197,6059.780749
6900.009838,-4964.591157,6152.646862
6900.704138,-5009.477166,6203.721534
6901.931157,-5073.900379,6273.524201
6903.793128,-5138.794893,6341.503668
6905.655164,-5203.104508,6410.034442
6907.338013,-5267.531693,6479.82907
6908.962928,-5333.022094,6548.624778
6910.742893,-5399.018155,6615.537163
6912.823603,-5466.241503,6682.631578
6914.743012,-5532.515089,6749.264744
6916.51704,-5599.207921,6816.895346
6918.514856,-5666.056806,6884.365476
6920.910518,-5732.580377,6952.143094
6922.792355,-5799.552699,7019.490296
6924.400073,-5866.737396,7085.213564
6926.335659,-5954.66899,7175.415317
6927.017376,-5997.212292,7221.875724
6928.244317,-6060.712551,7292.52379
6929.597793,-6123.69519,7362.289244
6930.791568,-6187.638419,7432.537314
6931.678623,-6251.669705,7502.709695
6932.822663,-6316.242083,7572.380536
6933.875515,-6381.384439,7641.519987
6934.696248,-6447.027682,7710.187723
6935.617768,-6513.693693,7779.258575
