TVD,Northing,Easting
0,0,0
143,-0.39,-0.27
238,-0.64,-0.44
334,-0.94,-0.54
429,-1.49,-0.82
487.99,-1.76,-0.97
582.99,-2.16,-0.88
772.99,-3.19,-0.19
962.99,-4.08,0.37
1153.98,-4,1.14
1343.98,-3.98,1.52
1533.98,-4.57,1.12
1724.98,-5.23,0.59
1914.97,-5.69,-0.92
2105.95,-6.33,-3.42
2295.94,-7.36,-5.72
2486.92,-7.09,-7.83
2676.91,-5.71,-10.02
2866.9,-4.37,-10.83
3056.9,-3.37,-10.61
3247.89,-1.79,-10.91
3437.86,1.14,-11.58
3627.83,4.63,-10.9
3818.8,6.87,-8.74
4008.79,8.29,-7.17
4103.78,9.71,-6.57
4293.74,12.14,-3.83
4483.71,12.54,-0.93
4674.71,12.63,0.29
4863.7,13.83,1.29
5053.7,14.77,1.92
5233.69,13.73,3.39
5345.66,12.75,5.63
5408.64,12.54,6.97
5504.63,12.78,8.53
5599.63,13.42,8.92
5694.62,14.27,8.15
5790.61,15.27,7.35
5885.6,16.46,6.86
5980.59,17.99,6.69
6076.47,21.52,4.08
6107.29,23.64,1.5
6138.83,26.53,-2.99
6170.01,30.15,-9.19
6200.76,34.63,-16.81
6230.08,39.8,-25.45
6259.78,45.79,-35.75
6288.84,52.23,-47.49
6317.25,59,-60.54
6344.08,66.2,-74.31
6371.69,74.98,-90.09
6396.63,84.31,-105.96
6421.2,94.96,-123.46
6444.49,106.44,-142.15
6466.4,118.49,-162.11
6486.84,130.87,-183.39
6505.66,143.58,-205.93
6522.78,156.74,-229.54
6538.02,169.84,-253.14
6552.3,183.78,-278.15
6565.07,198.3,-303.64
6576.06,212.33,-327.77
6596.83,245.92,-385.52
6617.88,291.39,-466.22
6635.28,336.44,-548.02
6649.28,382.11,-630.13
6660.18,428.27,-712.44
6668.1,474.69,-794.95
6673.15,521.33,-877.55
6676.71,567.65,-959.27
6681.38,614.14,-1043.13
6687.08,659.29,-1126.52
6693.18,704.01,-1210.11
6698.25,748.51,-1293.89
6702.37,792.25,-1376.99
6705.65,837.27,-1460.57
6708.65,882.48,-1544.06
6711.24,927.68,-1627.58
6712.52,972.95,-1711.08
6713.01,1018.62,-1794.38
6712.24,1065.14,-1877.21
6711.38,1110.61,-1960.61
6710.64,1155.52,-2045.45
6710.15,1200.89,-2128.91
6710.01,1247.14,-2210.75
6709.02,1294.06,-2292.19
6708.48,1342.64,-2373.82
6709.19,1391.51,-2455.29
6710.06,1440.45,-2537.87
6711.05,1487.76,-2619.09
6712.01,1534.99,-2701.51
6713.48,1582.06,-2785.17
6714.1,1628.91,-2866.65
6713.41,1677.67,-2949.34
6712.44,1725.4,-3031.48
6711.13,1772.69,-3113.86
6710.65,1819.75,-3196.38
6711.5,1866.16,-3279.27
6712.88,1911.36,-3361.67
6713.48,1957.01,-3444.99
6712.88,2001.89,-3528.71
6711.59,2045.66,-3611.89
6709.82,2088.77,-3696.52
6707.28,2133.16,-3780.45
6704.43,2180.3,-3862.88
6703.57,2226.85,-3945.69
6704.49,2272.47,-4029.01
6704.46,2317.9,-4112.44
6703.1,2362.56,-4195.14
6701.36,2406.97,-4279.11
6698.99,2450.16,-4362.56
6696.4,2494.57,-4446.5
6694.17,2539.39,-4530.23
6691.52,2583.98,-4614.07
6689.47,2627.64,-4698.41
6687.86,2671.42,-4781.57
6685.92,2717.62,-4864.56
6684.44,2763.34,-4947.82
6681.73,2809.79,-5030.63
6677.85,2857.73,-5112.56
6674.16,2905.03,-5193.71
6670.37,2952.65,-5275.82
6666.17,3000.34,-5357.88
6663.64,3047.9,-5440.07
6663.04,3095.28,-5521.25
6662.3,3143.86,-5604.05
6661.48,3190.95,-5685.4
6661.35,3217.48,-5732.43
6661.55,3245.13,-5782.28
