TVD,Northing,Easting
5759.51,-10.2,-56.42
5851.491756,-10.47536218,-58.19648904
5882.422774,-9.093425334,-59.39509405
5911.910556,-4.689322165,-62.50379052
5939.446463,2.529057958,-67.92398911
5968.183439,13.82837876,-76.21933848
5992.41947,27.34688744,-84.56863249
6015.936231,45.26153048,-93.80656762
6036.406193,66.20058632,-103.9054438
6053.415339,89.30072039,-115.5831014
6067.559979,114.5314205,-129.2356726
6078.816742,138.8742434,-142.6735372
6106.928469,216.5436886,-187.4158046
6122.005116,294.9781162,-234.8568084
6126.417625,374.0237171,-283.6201694
6126.718164,478.4051521,-348.6803884
6126.68544,584.6979043,-414.4563385
6126.97133,638.6328885,-447.011253
6126.602194,719.3234602,-495.2270763
6126.650364,798.0739155,-542.788644
6127.519875,878.5468461,-591.3617573
6128.483284,957.5500629,-638.4945218
6129.639886,1038.553686,-686.1712231
6131.222995,1119.717535,-733.5615661
6132.412411,1200.623112,-781.3995534
6134.076151,1305.236546,-846.0603487
6134.796344,1358.136218,-880.2631229
6135.649501,1435.860679,-933.1142135
6135.961215,1512.206018,-987.9436658
6134.394944,1586.968165,-1043.234429
6133.483037,1663.437248,-1099.591632
6133.909594,1739.445402,-1154.895904
6134.450993,1815.380608,-1210.299267
6134.86638,1883.927581,-1260.559987
