TVD,Northing,Easting
0,0,0
200,0.04,0.43
400,0.89,0.54
599.99,1.43,-0.63
799.98,1.21,-2.33
999.97,1.88,-4.35
1199.96,3.21,-6.61
1399.95,3.07,-7.94
1599.93,1.99,-9.9
1799.92,1.33,-11.71
1999.92,0.18,-12.28
2199.91,-0.02,-13.46
2399.91,-0.23,-14.62
2599.9,-1.5,-15.77
2799.89,-1.67,-17.26
2999.88,-1.33,-19.36
3199.87,-1.98,-21.26
3399.86,-4.33,-21.42
3599.83,-7.18,-22.31
3799.81,-8.2,-24.92
3999.8,-7.81,-27.06
4199.79,-8,-28.64
4399.75,-8.55,-32.43
4599.68,-8.11,-37.6
4799.64,-7.17,-41.41
4999.62,-6.92,-44.41
5199.61,-7.3,-46.55
5399.59,-8.32,-48.95
5425.59,-8.52,-49.36
5439.58,-8.42,-49.32
5471.57,-7.7,-48.6
5499.55,-7.64,-47.59
5549.32,-10.34,-43.88
5598.53,-16.62,-37.74
5646.79,-26.44,-29.22
5693.75,-39.71,-18.39
5739.04,-56.34,-5.33
5782.32,-76.2,9.86
5823.27,-99.13,27.06
5861.56,-124.98,46.15
5879.67,-138.97,56.39
5890.44,-147.6,62.83
5932.65,-181.13,88.47
5975.18,-214.91,114.3
6006.01,-239.99,132.22
6074.08,-296.62,169.98
6144.79,-355.44,209.22
6215.5,-414.27,248.45
6278.65,-466.81,283.49
6286.14,-473.16,287.72
6319.22,-504.42,308.39
6348.91,-538.06,330.42
6374.98,-573.83,353.63
6397.24,-611.46,377.86
6415.52,-650.66,402.9
6429.68,-691.14,428.59
6439.6,-732.58,454.71
6445.22,-774.67,481.07
6446.56,-802.84,498.62
6447.3,-859.55,533.88
6448.42,-944.47,586.68
6449.54,-1029.39,639.47
6450.65,-1114.31,692.27
6451.77,-1199.23,745.07
6452.89,-1284.15,797.86
6454.01,-1369.07,850.66
6455.12,-1453.99,903.46
6456.24,-1538.91,956.25
6457.36,-1623.83,1009.05
6458.47,-1708.74,1061.85
6459.59,-1793.66,1114.64
6460.71,-1878.58,1167.44
6461.82,-1963.5,1220.24
6462.94,-2048.42,1273.03
6464.06,-2133.34,1325.83
6465.17,-2218.26,1378.63
6466.29,-2303.18,1431.42
6467.41,-2388.1,1484.22
6468.53,-2473.02,1537.02
6469.64,-2557.94,1589.81
6470.76,-2642.85,1642.61
6471.88,-2727.77,1695.41
6472.99,-2812.69,1748.2
6474.11,-2897.61,1801
6475.23,-2982.53,1853.8
6476.34,-3067.45,1906.59
6477.46,-3152.37,1959.39
6478.58,-3237.29,2012.19
6479.7,-3322.21,2064.98
6480.81,-3407.13,2117.78
6481.93,-3492.05,2170.58
6483.05,-3576.97,2223.37
6484.16,-3661.88,2276.17
6485.28,-3746.8,2328.97
6486.4,-3831.72,2381.76
6487.51,-3916.64,2434.56
6488.63,-4001.56,2487.36
6489.75,-4086.48,2540.15
6490.87,-4171.4,2592.95
6491.98,-4256.32,2645.75
6493.1,-4341.24,2698.54
6494.19,-4424,2750
