TVD,Northing,Easting
0,0,0
175.9922718,-0.701397629,1.244272461
243.9820696,-1.441169268,2.153212046
338.9668142,-2.800152239,3.173151176
509.9482464,-4.929823363,4.494815988
700.939931,-6.520534428,5.209271657
890.9365935,-7.470576692,4.755615793
1080.926332,-7.978939492,2.902546545
1175.91896,-7.952931935,1.728204774
1366.907415,-7.525988776,-0.327688407
1556.891171,-7.797195476,-2.757021283
1652.887001,-8.330966254,-3.103052396
1842.878248,-8.877832862,-1.408333722
2032.86901,-8.27795798,0.339774115
2223.858703,-6.808775001,1.647527016
2414.851864,-5.328629991,2.199067951
2604.850603,-5.272817467,2.481329611
2794.846691,-6.307853476,2.089231945
2985.836144,-7.682352721,0.64084259
3175.830162,-8.766151826,-0.263475312
3366.827914,-9.407685954,-0.882329776
3556.825006,-9.876055463,-1.803173169
3746.823935,-9.939673519,-2.426117456
3937.818346,-9.129945356,-3.493296532
4032.812841,-8.450533926,-4.253145201
4222.798862,-6.382585446,-5.054870904
4317.794998,-5.812912734,-4.793383483
4508.791993,-6.658063312,-4.441133144
4699.776153,-8.316575863,-6.103581898
4794.767293,-9.062617451,-7.117251763
4984.74709,-10.76788233,-9.172248016
5046.739394,-11.30078849,-9.959495442
5225.730814,-11.8078702,-11.6294907
5415.727724,-12.58522184,-11.91869655
5606.719442,-14.24041052,-11.47145158
5701.709855,-15.56929432,-11.65911672
5796.694819,-17.23427377,-11.92677798
5828.679099,-17.98212142,-11.36632814
5860.581937,-19.14306947,-9.237681895
5891.283157,-20.8519065,-5.339191143
5922.658129,-23.25248025,0.455372075
5953.65579,-26.26535569,7.793866743
5984.208901,-29.81375306,16.60781955
6013.30114,-33.64696178,26.59506457
6042.766774,-37.90241263,38.32029581
6071.636324,-42.44313503,51.34952234
6098.994245,-47.09918656,65.15953711
6126.806852,-52.04832896,80.19118421
6154.424085,-57.05647494,95.55983386
6181.530691,-62.33972516,111.7186548
6206.834878,-68.02731942,128.6905861
6231.785703,-74.54717276,147.6282956
6255.561718,-81.50157105,167.8790534
6278.062943,-88.65015369,189.4719885
6298.403406,-95.67764224,211.7771307
6317.816413,-103.0844297,236.1071449
6335.680338,-110.7113347,261.5320687
6352.119286,-118.49789,287.8556871
6366.7383,-126.2454959,314.0676494
6380.498424,-134.4178825,341.7750824
6392.869274,-142.7323559,370.0878202
6404.114849,-151.2410599,398.81212
6414.414294,-159.5378386,426.8489541
6424.041202,-168.0991293,456.137353
6432.087624,-176.8616777,485.8397352
6438.471565,-185.5732285,514.8951901
6443.763733,-194.5726204,545.1417595
6447.696489,-203.5755638,575.5935683
6450.329502,-212.664769,606.1604488
6451.711246,-221.318616,634.8502731
6454.284626,-250.7542566,731.4312797
6457.401171,-278.3239294,822.2876323
6459.336792,-305.3434308,912.2915102
6459.845374,-332.3389545,1002.329386
6462.01075,-359.5551734,1092.275328
6463.270759,-386.9215359,1183.232794
6463.229744,-413.4771444,1273.402908
6464.657005,-440.0766371,1363.548004
6468.380087,-466.6657825,1453.628186
6470.891437,-493.5867205,1544.685796
6471.539464,-520.4404371,1634.764762
6474.747063,-546.9122972,1725.939772
6477.182849,-573.1337951,1816.164087
6477.412535,-599.4296366,1906.410336
6477.921131,-624.612682,1996.971898
6478.343942,-650.0078686,2088.512945
6479.820406,-675.2192907,2179.0537
6481.436545,-701.8633335,2269.174347
6482.808056,-729.7016543,2357.897788
6485.801657,-756.8879404,2447.829182
6488.031639,-785.3502583,2538.428829
6489.333174,-814.9481362,2628.69004
6492.228348,-843.65379,2718.151072
6494.155807,-872.5450869,2807.572972
6495.429918,-902.0197103,2895.765929
6495.569358,-931.4922974,2985.013512
6494.085471,-960.4504951,3075.478903
6494.549721,-989.9241309,3165.787126
6496.52652,-1020.047054,3254.807183
6499.610304,-1050.214771,3343.780128
6502.464493,-1079.6769,3432.996256
6505.318671,-1108.952217,3522.274034
6506.745804,-1138.047861,3611.635852
6506.604869,-1166.582742,3702.24723
6507.982917,-1194.227121,3792.078778
6510.536025,-1221.865476,3882.933179
6514.349343,-1248.823372,3972.90244
6517.334606,-1276.063626,4062.813664
6519.672224,-1303.06654,4152.818409
6521.140437,-1330.143876,4242.814175
6521.229714,-1358.588276,4331.355029
6523.268921,-1389.077356,4421.30238
6525.335934,-1420.678054,4509.802041
6527.19292,-1454.799486,4598.437834
6529.900162,-1487.463211,4686.527168
6533.199082,-1518.889101,4776.11572
6536.143542,-1549.770237,4864.845266
6537.152485,-1579.57141,4953.989176
6537.658191,-1609.612642,5044.112607
6539.216682,-1639.403757,5133.252266
6540.609466,-1668.321783,5223.728696
6541.770087,-1695.435936,5314.768166
6543.148238,-1722.962024,5404.633297
6545.444781,-1751.812654,5494.063343
6546.978302,-1780.547022,5584.591336
6547.667328,-1808.54556,5674.318802
6548.081825,-1836.485572,5765.111141
6546.334598,-1862.634625,5855.380891
6545.276416,-1888.660021,5945.695326
6546.793873,-1915.258705,6035.837163
6548.377364,-1943.329262,6126.573249
6550.192772,-1972.497884,6216.961417
6551.726427,-1999.854057,6307.91502
6553.041083,-2024.992741,6397.438372
6553.959876,-2051.95252,6487.469787
6553.081116,-2081.094893,6577.885116
6554.382563,-2110.186432,6668.304822
6554.562999,-2139.104093,6757.728852
6553.775492,-2168.528263,6848.04569
6552.856845,-2198.054815,6937.27378
6549.881036,-2227.475376,7027.552981
6549.142816,-2256.363701,7116.99264
6550.611527,-2288.412412,7205.333738
6553.367378,-2322.205964,7293.002018
6557.130569,-2353.953512,7382.456079
6558.714113,-2382.04427,7473.177341
6559.874768,-2406.55626,7564.944355
6560.884009,-2432.270109,7655.331072
6560.560681,-2461.901962,7745.589539
6560.659118,-2491.580655,7834.780996
6560.426988,-2520.724026,7925.199402
6559.737929,-2548.511808,8014.994943
6558.718237,-2575.714126,8106.011144
6558.718237,-2602.835119,8196.010487
6560.744208,-2630.334861,8285.87386
6563.670234,-2658.271233,8376.626108
6566.3145,-2686.34462,8467.344636
6568.538029,-2713.271148,8556.333123
6569.038385,-2740.006074,8646.444339
6566.808531,-2766.669536,8737.596462
6564.860503,-2793.191196,8828.795332
6564.310892,-2818.926906,8919.20114
6563.564769,-2843.930012,9010.848405
6564.534696,-2869.720695,9102.265657
6566.788057,-2896.423585,9194.448116
6568.215339,-2921.754365,9284.959288
6569.480319,-2947.051619,9377.557472
6570.591214,-2971.228942,9469.421937
6570.864823,-2996.518795,9560.986265
6570.345415,-3023.631191,9653.076616
6569.614967,-3050.789135,9742.017365
6569.888541,-3080.176051,9832.353757
6571.586514,-3109.078179,9921.783035
6573.136327,-3138.588225,10013.12051
6575.042962,-3168.182914,10103.37195
6577.479025,-3196.595918,10192.94117
6580.005281,-3223.966846,10282.83193
6582.851304,-3250.934926,10372.83536
