TVD,Northing,Easting
5399.55,22.33,-26.36
5512.52,21.96,-28.97
5542.42,23.83,-30.19
5574.78,29.68,-32.63
5605.2,39.01,-35.84
5633.25,51.56,-39.75
5659.24,67.68,-44.69
5681.78,86.54,-50.53
5702.58,109.68,-57.91
5719.22,134.5,-66.08
5732.01,161.23,-75.09
5740.35,188.46,-84.42
5744.73,218.45,-94.62
5745.32,246.07,-103.39
5744.37,276.78,-112.35
5739.09,366.41,-140.13
5731.8,454.18,-170
5725.91,541.81,-200.57
5721.42,630.25,-232.08
5718.51,712.71,-262.66
5715.5,800.78,-295.38
5710.56,888.97,-327.54
5704.1,974.89,-359.77
5695.66,1090.54,-400.75
5692.03,1179.6,-430.59
5690.44,1239.08,-451.29
5687.58,1327.7,-482.49
5684.5,1415.83,-515.05
5681.1,1503.24,-549.45
5676.6,1589.74,-583.3
5670.82,1676.2,-617.07
5664.36,1763.05,-652.44
5659.5,1847.53,-685.88
5656.16,1933.3,-718.98
5652.93,2018.07,-754.58
5649.41,2105.31,-792.01
5644.31,2192.02,-827.93
5637.26,2276.33,-864.08
5629.44,2363.41,-901.22
5623.63,2450.99,-937.56
5621.29,2537.26,-974.78
5620.46,2622.43,-1012.13
5618.18,2709.18,-1050.78
5614.26,2792.64,-1089.29
5609.46,2877.85,-1128.68
5603.93,2962.28,-1167.28
5597.7,3046.71,-1205.78
5593.26,3103.85,-1231.94
5589.08,3156.4,-1256.13
