TVD,Northing,Easting
0,0,0
177.8385554,-0.2,0.59
271.9475341,-0.5,0.73
366.0554852,-0.88,0.24
460.1597261,-1.17,-0.73
554.2535969,-1.28,-2.46
648.3406028,-1.07,-4.52
742.4346636,-0.99,-6.23
836.5346477,-1.38,-7.55
930.6364674,-1.85,-8.69
1024.741012,-2.22,-9.63
1118.84704,-2.42,-10.47
1212.952467,-2.57,-11.39
1307.055459,-2.56,-12.52
1401.155141,-2.43,-13.91
1495.254056,-2.48,-15.35
1589.349952,-2.67,-16.97
1683.438464,-3.14,-18.92
1777.523692,-3.73,-20.99
1871.619626,-4.18,-22.53
1965.7259,-4.27,-23.33
2059.834452,-3.89,-23.63
2153.942973,-3.48,-23.34
2248.051582,-3.23,-22.9
2342.159825,-2.85,-22.47
2436.268817,-2.57,-22.22
2530.378809,-2.57,-22.23
2624.488802,-2.58,-22.25
2718.598518,-2.59,-22.45
2812.706419,-2.75,-23.04
2906.813053,-3.03,-23.79
3000.919845,-3.19,-24.54
3095.026192,-3.23,-25.37
3189.131289,-3.39,-26.31
3283.235953,-3.61,-27.29
3377.342851,-3.64,-28.04
3471.450941,-3.56,-28.64
3565.559424,-3.53,-29.17
3659.667905,-3.54,-29.7
3753.776598,-3.48,-30.19
3847.885025,-3.37,-30.72
3941.992957,-3.34,-31.34
4036.101404,-3.4,-31.87
4130.210355,-3.52,-32.3
4224.319622,-3.57,-32.66
4318.427605,-3.37,-33.23
4412.534274,-2.88,-33.84
4506.641113,-2.3,-34.34
4600.746683,-1.58,-34.9
4694.851936,-0.78,-35.39
4788.959202,-0.1,-35.61
4883.066411,0.61,-35.73
4977.172306,1.47,-35.89
5071.278056,2.36,-36
5165.38559,3.03,-36.08
5259.495191,3.2,-36.21
5353.604913,3,-36.3
5447.71286,3.26,-36.71
5549.663004,2.21,-39.32
5560.646029,2.03,-39.89
5592.497461,3.42,-42.48
5621.013424,7.39,-45.85
5651.834564,14.56,-50.54
5680.342487,22.66,-55.19
5709.891451,30.9,-59.66
5740.567154,38.89,-64.03
5770.389179,46.26,-68.19
5801.267541,53.46,-72.51
5832.232043,60.28,-76.84
5862.222712,66.9,-81.04
5891.937745,74.52,-85.49
5922.04217,84,-90.74
5949.691791,94.14,-96.43
5978.662493,105.95,-103.16
6005.256882,118,-110.03
6032.954084,131.97,-117.89
6059.133683,146.54,-125.83
6085.427896,162.67,-134.33
6110.030247,179.37,-143.09
6134.364358,197.71,-152.85
6156.836877,216.53,-162.91
6178.929619,236.87,-173.97
6200.081967,257.87,-185.6
6219.620966,278.97,-197.18
6238.621947,301.53,-209.58
6255.750552,324.07,-222.21
6272.084023,347.92,-235.92
6286.619763,371.5,-249.83
6300.129044,396.36,-264.77
6311.516476,421.09,-279.58
6321.220912,446.48,-294.48
6329.16163,471.55,-308.91
6336.122465,498.74,-324.29
6341.053761,525.43,-339.25
6343.722333,553.21,-354.88
6344.214616,580.26,-370.01
6343.083724,632.72,-399.1
6340.098058,714.14,-445.97
6337.712019,794.85,-492.1
6335.894204,876.5,-536.58
6333.755482,960.03,-581.79
6332.287202,1042.86,-626.21
6330.482666,1125.85,-670.32
6328.088775,1208.11,-713.63
6325.618412,1291.66,-758.78
6323.281251,1372.46,-804.76
6320.090136,1454.76,-852.09
6315.449413,1537.2,-899.07
6311.963978,1619.11,-945.06
6310.315245,1701.19,-990.83
6309.478544,1782.92,-1037.26
6308.988772,1863.41,-1081.82
6309.254058,1947.2,-1126.58
6309.295073,2030.36,-1170.39
6308.351733,2113.59,-1214.07
6306.047169,2195.83,-1257.43
6302.676447,2278.99,-1301.13
6299.738434,2359.96,-1344.7
6298.61044,2441.35,-1389.67
6298.151061,2524.05,-1434.34
6294.280606,2606.88,-1478.59
6288.132647,2689.02,-1523.89
6281.58021,2771.63,-1570.34
6276.898589,2853.42,-1616.41
6275.298665,2936.28,-1662.85
6273.231654,3018.81,-1707.77
6269.139418,3102.39,-1750.6
6264.893673,3184.25,-1792.37
6261.620923,3263.04,-1837.72
6256.324728,3341.61,-1889.03
6250.572459,3396.06,-1925.88
6244.511722,3451.34,-1963.24
