TVD,Northing,Easting
5508.44,17.5,-47.64
5517.436157,17.66655857,-47.84056598
5549.304396,19.2518336,-50.08324263
5584.125296,21.42136151,-52.7613612
5679.959106,25.68114728,-56.46143329
5711.915354,26.91683514,-57.58768142
5742.852887,28.3530489,-58.90941818
5774.663967,30.64872075,-61.44765638
5806.168815,33.71478997,-66.08545395
5837.115982,37.56794641,-73.21025506
5867.222299,42.82935388,-82.6553573
5895.634828,49.60646768,-93.02558699
5924.443631,57.70183615,-104.3577425
5952.355281,66.951846,-116.9564458
5979.297575,77.41120573,-130.6904381
6004.863841,88.35621882,-144.3822301
6030.047764,99.84521011,-158.3378103
6055.050222,112.3003645,-173.9279802
6078.396814,125.4365624,-191.4181338
6100.990777,138.5925526,-209.8687759
6123.257555,152.0183786,-228.5192639
6143.590251,165.8872744,-247.3540722
6162.99402,180.6767386,-268.0544257
6181.597893,195.1660246,-289.6851244
6198.906378,209.1936412,-312.6386899
6213.803293,222.7967694,-336.1715347
6228.111352,237.1144376,-360.9555539
6240.854508,251.8464898,-386.3313285
6251.696157,266.8314671,-412.4416658
6261.746513,281.7592534,-438.9018349
6270.295949,297.2647391,-465.5437296
6276.680479,313.4833968,-492.3756558
6281.62607,329.1681903,-518.6518527
6285.395564,345.9405431,-546.8138711
6288.569025,396.1501294,-627.3498129
6286.784698,448.2223969,-707.9800957
6284.960923,500.4666199,-787.30293
6282.532153,553.1728147,-866.3026743
6279.70558,605.9078129,-945.2709213
6277.989398,657.18371,-1025.218508
6275.618696,706.7967967,-1106.195435
6272.653529,757.0533786,-1187.934107
6270.688857,806.8000798,-1268.843691
6267.773947,856.3848444,-1350.99237
6264.549628,905.554245,-1432.212408
6263.196204,954.6978096,-1512.328931
6263.388189,983.430794,-1559.226085
6263.81099,1013.186922,-1607.840792
