TVD,Northing,Easting
0,0,0
84.99325733,0.93,-0.06
178.9553049,3.56,-0.32
272.8760001,7.36,-0.93
366.7953663,11.17,-1.66
460.7546335,13.86,-2.19
554.7317046,15.9,-2.59
648.713242,17.73,-2.92
742.7016301,19.18,-3.16
836.6971622,20.07,-3.27
930.6954997,20.63,-3.33
1024.694489,21.06,-3.4
1118.692375,21.66,-3.5
1212.685944,22.74,-3.7
1306.676553,24.04,-3.98
1400.667162,25.32,-4.31
1494.65773,26.56,-4.81
1588.648065,27.66,-5.57
1682.638787,28.64,-6.46
1776.630732,29.52,-7.32
1870.624387,30.27,-8.11
1964.619886,30.88,-8.79
2058.616587,31.38,-9.41
2152.614059,31.76,-9.98
2246.604727,31.23,-11.03
2340.569937,28.89,-11.03
2434.493515,25.52,-9.3
2528.402224,21.92,-7.26
2622.327573,18.76,-5.28
2716.291927,16.67,-3.79
2810.273934,15.19,-2.7
2904.261117,13.91,-1.83
2998.25387,13.51,-0.84
3092.248133,14.25,-0.24
3186.240541,15.43,-0.38
3280.23085,16.71,-0.8
3374.219636,17.87,-1.66
3468.207012,18.57,-3.01
3562.193408,19.02,-4.54
3656.180081,19.54,-6.04
3750.166354,20.19,-7.51
3844.151483,21.02,-8.96
3938.135849,21.94,-10.41
4032.119762,22.87,-11.88
4126.10244,23.86,-13.38
4220.083176,24.98,-14.92
4314.062391,26.15,-16.52
4408.040558,27.29,-18.19
4502.020638,28.43,-19.75
4596.005013,29.58,-21.01
4689.990551,30.77,-22.15
4783.974462,32.06,-23.33
4877.939474,33.73,-25.22
4968.856489,35.76,-28.5
4990.815158,35.67,-29.79
5022.743486,35.43,-31.87
5053.689732,34.29,-31.8
5084.149918,30.68,-27.56
5112.501349,26.04,-19.02
5140.9208,19.35,-5.99
5166.235997,10.52,9.53
5188.965538,0.88,28.22
5207.422454,-7.88,48.77
5224.243658,-17.14,74.33
5236.275545,-25.02,100.63
5245.959023,-31.84,130.34
5253.986598,-36.65,159.89
5261.670085,-40.01,190.77
5268.869429,-42.1,219.82
5277.181132,-44.03,250.66
5285.622773,-45.58,281.48
5293.108434,-45.76,311.56
5299.556443,-44.52,342.87
5304.581313,-42.71,374.42
5308.00354,-40.55,406.16
5313.416175,-32.71,496.65
5318.212811,-23.56,590.08
5323.574713,-13.93,683.43
5328.936623,-4.35,776.79
5333.92507,5.24,871.17
5339.426803,14.17,965.59
5344.447864,22.57,1058.07
5350.032053,30.86,1152.53
5356.687253,38.21,1246
5361.319355,45.77,1338.58
5364.025962,54.06,1432.17
5364.918671,62.63,1524.77
5363.608882,71.14,1619.38
5359.721822,78.76,1712.98
5357.811022,85.49,1806.7
5358.930188,92.14,1901.46
5358.314989,98.78,1995.22
5357.029485,102.81,2053.07
