TVD,Northing,Easting
0,0,0
199.9974615,0.872169161,0.029237614
399.9900318,2.563681153,-0.241850112
599.9824809,4.248819983,-0.65139653
799.9751616,5.930609052,-0.451301863
999.9702643,6.997384815,-0.977840465
1199.962772,7.743556934,-2.532087968
1399.950796,9.188293742,-4.151684553
1599.933684,11.00376686,-6.034290442
1799.921857,12.18790013,-7.828362807
1999.904098,13.24318694,-10.22288779
2199.865483,14.65242835,-13.88017289
2399.818045,15.69868437,-18.10473531
2599.787156,16.55974368,-21.4689913
2799.770052,17.65636052,-23.84228758
2999.746583,18.99606964,-26.58580302
3199.70066,21.91308963,-29.60948739
3399.642925,25.87864441,-32.31119626
3599.59537,29.34179987,-34.96041546
3799.564297,32.09220424,-37.10637983
3999.527654,35.74020723,-37.43716638
4199.448087,41.08159756,-35.69887324
4399.380087,45.40840281,-32.87286597
4599.341479,48.3744335,-30.31160846
4799.317981,49.22080418,-27.61166206
4999.289905,46.51470516,-26.30173021
5099.261051,44.1614236,-26.76459016
5199.221315,41.55572121,-27.80576904
5299.168043,38.90600569,-29.69787084
5341.142458,37.8000259,-30.65979287
5419.112269,35.82800188,-31.00633632
5509.557751,34.06742038,-29.88184207
5602.490802,33.92353183,-30.26185721
5632.454415,34.19997543,-30.81386926
5663.486444,34.54387002,-31.42214325
5695.224611,35.12356794,-32.06385233
5725.433521,35.80531417,-32.50997201
5755.37836,36.32288304,-32.64398355
5815.525985,36.40304127,-32.26420091
5908.787291,37.097148,-31.64526643
5999.804103,40.14161549,-31.87534052
6061.686636,44.34298958,-32.88723626
6092.664294,47.28760604,-33.77313423
6122.675017,50.78712726,-34.9754341
6153.47257,56.29292413,-37.10838237
6183.954891,64.9126844,-40.52640176
6213.002445,76.29203884,-44.8873837
6239.848243,89.68543082,-49.96126573
6268.482285,107.4608784,-56.69001949
6290.86998,124.2077175,-62.81788999
6313.889021,144.4009239,-69.64815924
6334.831135,165.3605293,-76.43108091
6355.064111,188.1656836,-83.92877662
6373.709154,212.3569777,-92.00308965
6389.859533,238.3652753,-100.6811226
6402.15728,264.936678,-109.7830846
6411.272438,291.9220535,-119.2967246
6418.463157,320.3369479,-129.4070881
6423.988478,348.9082214,-139.7586178
6428.301367,377.4717922,-150.3816981
6431.022369,406.7223461,-161.7547266
6431.673828,435.5048373,-173.5330439
6431.531143,463.9241128,-185.5348937
6431.938184,546.3624676,-220.8850399
6431.301923,632.8443211,-256.310018
6430.900303,717.9749609,-291.2595489
6432.797615,803.8255837,-328.8024426
6435.048245,888.7621936,-366.0693343
6437.324598,976.0702604,-403.9776065
6439.175594,1059.633696,-440.0608409
6440.846218,1145.412954,-476.9499909
6442.114198,1232.818717,-514.0695268
6442.208782,1316.303873,-548.5307685
6441.699168,1403.59079,-583.9210834
6441.844734,1489.249132,-619.2793817
6442.359002,1576.845136,-656.1733332
6444.226395,1663.566798,-694.1328396
6447.588642,1748.768386,-731.4539827
6451.874091,1834.107523,-767.3711911
6457.87284,1920.841929,-803.7062944
6465.110885,2006.9735,-839.066907
6472.766342,2093.4411,-872.7965412
6479.068839,2180.634177,-904.9196685
6485.188477,2268.509525,-936.4700506
6492.319769,2356.387414,-967.8656772
6499.864603,2445.474853,-999.6845943
6506.137666,2533.845143,-1031.212337
6509.523834,2620.515077,-1062.441361
6511.233622,2708.344193,-1095.183307
6512.318936,2795.125031,-1129.954703
6513.08782,2882.507159,-1166.552239
6513.578416,2975.257653,-1204.961269
6513.992061,3063.022742,-1240.79541
6513.934328,3150.488388,-1276.59637
6513.868699,3227.387524,-1309.28565
6512.226581,3313.376033,-1345.06221
6508.439529,3402.064409,-1379.426553
6505.371446,3495.541524,-1415.318602
6503.823364,3581.032339,-1449.054694
6502.743751,3668.925092,-1483.587994
6502.032063,3756.16943,-1517.866545
6502.305353,3836.737589,-1550.663795
6503.170885,3923.124912,-1586.605679
6503.696385,3986.302913,-1612.891206
