TVD,Northing,Easting
0.00 ,0.00 ,0.00 
174.99 ,-0.06 ,1.54 
334.97 ,0.00 ,4.38 
429.95 ,0.08 ,6.07 
511.94 ,0.04 ,7.21 
701.94 ,-0.43 ,8.49 
891.93 ,-0.87 ,9.41 
986.93 ,-0.89 ,10.11 
1177.92 ,-1.11 ,11.99 
1272.92 ,-1.28 ,13.10 
1463.90 ,-1.17 ,15.09 
1654.90 ,-0.73 ,16.61 
1844.89 ,0.13 ,17.74 
2034.89 ,1.12 ,18.18 
2225.89 ,1.46 ,17.97 
2417.88 ,0.99 ,16.65 
2607.87 ,0.59 ,14.43 
2798.85 ,0.67 ,12.05 
2988.85 ,0.95 ,11.03 
3179.85 ,1.39 ,11.17 
3369.85 ,1.79 ,11.01 
3560.85 ,1.84 ,10.72 
3750.85 ,1.92 ,10.17 
3941.84 ,3.22 ,10.36 
4131.83 ,4.88 ,11.17 
4321.83 ,5.71 ,12.07 
4416.83 ,5.85 ,12.71 
4512.82 ,6.15 ,13.25 
4702.82 ,7.67 ,13.73 
4892.81 ,9.19 ,14.33 
5056.81 ,9.67 ,15.14 
5156.81 ,9.66 ,15.42 
5219.81 ,9.78 ,15.58 
5315.80 ,10.25 ,15.77 
5410.80 ,10.86 ,15.76 
5506.80 ,11.44 ,15.70 
5696.80 ,12.58 ,15.29 
5791.79 ,13.11 ,15.02 
5886.79 ,13.72 ,14.93 
5982.79 ,14.66 ,14.99 
6077.78 ,15.76 ,15.24 
6172.77 ,17.16 ,15.89 
6235.75 ,18.16 ,16.95 
6267.70 ,18.36 ,18.60 
6299.49 ,17.91 ,22.23 
6329.94 ,16.89 ,27.90 
6360.89 ,15.48 ,35.87 
6391.34 ,13.67 ,45.54 
6420.33 ,11.35 ,56.25 
6449.62 ,8.14 ,68.73 
6478.11 ,4.04 ,82.71 
6494.61 ,1.16 ,91.67 
6531.85 ,-7.17 ,113.56 
6558.12 ,-14.86 ,130.13 
6583.70 ,-23.80 ,147.14 
6608.47 ,-33.57 ,164.88 
6631.55 ,-43.59 ,182.99 
6654.22 ,-54.60 ,202.70 
6675.74 ,-66.70 ,223.06 
6695.59 ,-79.75 ,242.96 
6715.12 ,-94.39 ,263.66 
6733.32 ,-109.65 ,285.09 
6749.41 ,-124.47 ,307.05 
6764.42 ,-139.72 ,330.84 
6777.94 ,-155.05 ,355.46 
6790.13 ,-170.36 ,380.77 
6800.19 ,-185.09 ,406.11 
6808.36 ,-199.69 ,432.21 
6827.90 ,-243.44 ,521.04 
6840.59 ,-278.75 ,608.30 
6850.58 ,-309.42 ,697.65 
6857.36 ,-335.46 ,788.73 
6858.61 ,-358.43 ,879.85 
6857.09 ,-381.60 ,970.94 
6858.48 ,-403.67 ,1063.31 
6859.94 ,-423.86 ,1154.07 
6859.34 ,-444.01 ,1245.89 
6858.50 ,-465.21 ,1338.48 
6858.68 ,-488.24 ,1429.61 
6859.92 ,-511.00 ,1520.81 
6861.31 ,-532.40 ,1613.35 
6863.26 ,-555.19 ,1705.55 
6865.67 ,-580.68 ,1797.04 
6866.92 ,-606.48 ,1888.45 
6866.37 ,-631.43 ,1979.08 
6864.92 ,-656.00 ,2070.83 
6862.72 ,-679.75 ,2161.76 
6861.08 ,-703.10 ,2251.76 
6861.26 ,-727.11 ,2343.68 
6861.95 ,-751.01 ,2434.58 
6862.18 ,-775.50 ,2526.37 
6864.55 ,-799.42 ,2618.27 
6867.69 ,-821.48 ,2709.59 
6869.11 ,-842.40 ,2801.22 
6868.60 ,-862.64 ,2894.03 
6866.09 ,-882.07 ,2986.99 
6863.25 ,-902.20 ,3079.79 
6861.74 ,-923.03 ,3171.43 
6860.62 ,-942.52 ,3264.40 
6859.19 ,-961.58 ,3356.43 
6859.47 ,-982.32 ,3448.11 
6860.63 ,-1002.71 ,3540.89 
6860.72 ,-1020.67 ,3634.17 
6860.08 ,-1038.39 ,3726.48 
6860.13 ,-1059.38 ,3819.13 
