TVD,Northing,Easting
7041.17,-316.97,331.87
7058.753502,-379.857343,387.8102112
7063.520417,-403.6887727,407.0345213
7066.787976,-426.5863832,422.8047187
7069.923605,-455.5710561,440.2887314
7072.749234,-483.6981236,455.2789559
7075.333452,-508.8149618,467.3777772
7078.566358,-539.9227138,480.7042229
7081.664581,-569.7874258,491.7634439
7084.542651,-597.2450944,500.6347572
7088.152599,-630.6330861,510.4931119
7091.436028,-660.2467076,519.0518423
7094.421259,-687.0649201,526.5244992
7097.730675,-720.912772,534.7779292
7099.954882,-752.2334676,540.9278017
7101.508338,-779.8751909,545.1007729
7106.775241,-874.9930303,556.9652078
7112.716752,-969.3844912,565.7891562
7119.740204,-1062.885321,572.4338506
7124.711489,-1157.467088,579.6619966
7127.803465,-1251.092858,587.433357
7131.835741,-1343.643939,595.6200491
7136.261184,-1438.192359,603.7423476
7140.099115,-1531.786568,611.5688051
7144.453345,-1625.402514,618.813649
7148.464501,-1720.057818,625.773241
7152.154842,-1813.667676,633.4526808
7155.097445,-1908.11188,643.1719081
7157.467792,-2001.366212,654.7127953
7160.04318,-2094.633944,666.1065762
7161.913342,-2187.968028,677.1120742
7164.816776,-2281.190756,688.814392
7169.072741,-2374.188167,701.8094916
7173.449119,-2468.331372,713.6933377
7177.86074,-2561.650393,724.0697392
7181.706556,-2656.073439,733.7098274
7185.200221,-2749.595794,742.4676086
7190.76679,-2842.907461,752.3489343
7194.809244,-2936.293072,762.188363
7197.056697,-3029.717618,772.3126572
7197.205904,-3124.133913,782.7029284
7194.958052,-3216.590424,792.4857776
7193.847013,-3311.227692,800.5988181
7194.798527,-3405.023004,806.6889322
7198.080822,-3499.70376,813.6996917
7200.262437,-3593.367694,821.2274098
7199.228885,-3687.031593,829.0760707
7198.31018,-3780.660759,837.3416606
7198.41682,-3874.337495,845.1255967
7199.794857,-3968.085141,851.8127598
7202.737457,-4062.863725,857.5847794
7206.299417,-4155.663524,862.5213826
7210.284917,-4249.450941,867.4201775
7214.843979,-4343.193495,872.6529849
7217.81377,-4435.9028,879.2019329
7218.658673,-4529.548382,887.3125179
7220.3894,-4623.180817,895.4219858
7223.679968,-4717.760725,903.7049106
7225.886251,-4811.345326,912.1888694
7226.476887,-4905.036283,919.7599936
7225.614683,-4999.880464,924.9798113
7223.102968,-5094.741799,929.4367636
7221.246027,-5189.535872,935.3758963
7219.252855,-5283.256842,942.3158465
7215.995353,-5377.864064,950.2933883
7213.13907,-5470.406527,959.041291
7211.696624,-5564.941335,968.3105175
7211.130618,-5658.482931,977.5647737
7211.335693,-5751.999899,987.0721226
7210.162773,-5845.45679,997.0267323
7206.44965,-5939.777883,1007.731482
7202.636131,-6032.920248,1019.795672
7199.560333,-6126.12668,1031.561944
7197.54248,-6219.405894,1042.9823
7196.344787,-6312.738747,1054.070244
7196.262758,-6406.274308,1063.381599
7195.360408,-6499.975864,1070.682317
7192.774137,-6594.739194,1076.86023
7191.158203,-6688.445604,1084.078878
7191.084899,-6758.152375,1090.465631
7191.381598,-6783.021371,1093.00269
7194.199817,-6877.449056,1103.002419
7198.588812,-6969.8462,1112.61598
7202.250319,-7042.417641,1119.610166
7204.995009,-7099.118103,1124.760334
