TVD,Northing,Easting
5654.49,43.34,23.37
5681.470856,43.76537109,22.56259669
5713.197744,47.07402356,20.3550137
5744.156648,54.24228416,16.77207756
5773.855985,65.14762707,12.12948804
5801.790333,79.73877938,6.711985536
5826.75404,96.85489641,0.112393981
5849.918799,117.0064047,-8.819428052
5869.499967,138.6484889,-19.21183083
5886.679765,162.8985284,-31.03149102
5900.826508,188.6901147,-43.59019496
5912.683742,215.5743386,-56.25314985
5923.077426,242.2034234,-68.24554526
5932.589512,270.1311825,-80.62627769
5940.142358,298.6049413,-93.10735316
5945.41716,327.4668981,-105.8619007
5948.848414,355.4892587,-118.6625255
5950.798865,384.3246666,-132.3859398
5952.145711,440.9472976,-159.972086
5951.294713,522.9237896,-201.6957995
5949.817743,604.7774952,-245.8065725
5950.50583,688.1513308,-291.339012
5952.323648,772.4501708,-337.2334377
5954.360589,854.4213857,-381.1123141
5956.242367,938.5634499,-425.1755475
5956.897293,1023.128081,-468.4493707
5956.325263,1108.185833,-510.7557023
5956.068264,1193.358973,-552.8323951
5956.18555,1279.324781,-595.5623103
5956.359647,1364.176164,-638.2845096
5956.643699,1447.142252,-680.3028051
5957.414689,1531.923747,-723.1568837
5958.898592,1616.618856,-766.1623299
5959.751681,1700.40185,-808.7690288
5959.842875,1785.141219,-851.7132835
5960.240547,1868.004003,-893.93398
5960.759957,1953.29831,-937.9859364
5961.497791,2037.365439,-982.2251535
5962.409713,2121.330884,-1026.654427
5963.205574,2205.359235,-1070.966923
5963.064636,2289.760351,-1114.566917
5960.903459,2375.424679,-1157.839083
5957.480291,2460.041512,-1200.888412
5954.148249,2544.343161,-1244.558274
5952.241556,2629.031133,-1287.550467
5951.619787,2714.217514,-1329.596715
5952.282998,2799.616021,-1371.202296
5954.173066,2885.215739,-1412.361864
5956.262055,2970.743307,-1453.661475
5954.869647,3056.599189,-1494.245875
5950.055028,3142.594519,-1534.327929
5945.62702,3227.619985,-1574.165812
5942.109096,3314.021548,-1615.850741
5938.467889,3398.362973,-1657.187731
5933.446289,3483.6832,-1698.662981
5927.828749,3568.849967,-1740.376537
5921.905019,3653.971059,-1782.141428
5915.757138,3738.114496,-1823.590726
5909.240944,3822.177868,-1865.14656
5902.728188,3908.093984,-1907.478397
5897.571458,3977.128068,-1941.193334
5893.63667,4029.164558,-1966.505805
