TVD,Northing,Easting
0,0,0
146.9973133,-0.434845592,-0.63507597
242.9915059,-1.039349026,-1.500338731
337.9834413,-1.740304709,-2.517277725
432.9734787,-2.538932471,-3.637326
512.9650863,-3.252619428,-4.550146692
703.9587951,-3.711278014,-5.693358692
892.9582028,-3.414153805,-5.904590281
988.9579988,-3.567101057,-6.027102296
1178.957327,-3.92479593,-6.372825922
1368.956304,-4.481325769,-6.484225535
1558.954763,-5.23365499,-6.398551212
1749.954059,-5.665550783,-6.620142985
1939.953338,-5.462143717,-7.056567014
2129.950468,-5.075229026,-7.993958738
2224.947638,-4.839051879,-8.684521678
2414.942879,-4.036564904,-9.74155474
2605.938966,-2.955327958,-10.29630378
2796.933977,-1.686941929,-10.83637189
2986.931487,-0.819599255,-10.84729876
3176.929637,-0.065337932,-10.74882064
3367.928083,0.268360477,-11.30640353
3557.927593,0.114152111,-11.30910805
3747.911529,0.018949758,-9.026763119
3938.898909,0.306483056,-7.276778691
4128.89612,1.217335795,-7.75327448
4318.893744,2.068212145,-8.161817098
4508.890556,2.793656517,-7.527610546
4699.881167,3.209519044,-5.696551591
4889.86049,2.059768039,-3.250049204
5079.845232,0.818693868,-1.369023706
5269.841879,1.272985964,-0.386539412
5397.838107,1.991508577,0.28338148
5506.833134,2.730158562,1.009086855
5601.828004,3.385890152,1.745672037
5696.822084,4.158573777,2.46410201
5792.81093,5.34733559,3.306193883
5887.801246,5.594504588,4.456821955
5982.788184,4.759386368,5.791846281
6077.778593,4.252531038,7.033234789
6172.769705,4.449615941,8.291593176
6267.762732,4.452628442,9.373278792
6362.759813,4.083607777,9.989699558
6426.75832,3.843195351,10.33870823
6458.735023,2.858331562,10.87114435
6489.588133,0.184163285,12.12067717
6521.160415,-4.536273271,14.25018886
6552.365689,-10.99519494,17.12453541
6583.151674,-18.95443734,20.68019128
6612.471104,-28.13284581,24.78733583
6642.093916,-39.21139752,29.6319837
6670.945638,-51.94535072,35.0265525
6698.254773,-65.48694213,40.66235376
6726.143118,-79.97845237,46.6814373
6753.688395,-95.0169293,52.92674865
6780.367738,-111.3764457,59.57385066
6804.934641,-128.933068,66.55893812
6828.906598,-148.6399617,74.3468964
6851.546556,-169.6346176,82.73456798
6872.220862,-191.0077682,91.48313935
6892.300731,-213.9445871,101.2024987
6911.053453,-237.6855418,111.6166486
6928.291439,-262.3277786,122.5388058
6943.462854,-287.0103116,133.5554046
6957.556569,-313.2042695,145.3439252
6970.079154,-340.0609737,157.4136221
6981.069811,-367.502184,169.65929
6989.963518,-394.7382231,181.4794206
6994.05735,-409.9431854,187.8848861
7016.516877,-510.2989393,226.8664427
7030.798737,-599.6025311,255.8510903
7041.057636,-689.7873999,280.2672636
7047.500885,-781.3236227,300.5295651
7050.295013,-875.030354,315.8151606
7053.494573,-970.1414787,328.4297474
7058.00523,-1062.320048,339.9030952
7063.064482,-1155.34438,352.3975915
7068.532886,-1248.05604,366.9075131
7072.76408,-1340.716437,382.1228572
7075.557596,-1434.242802,398.5467889
7078.119126,-1527.39072,417.0244139
7081.522819,-1619.563484,435.1252376
7085.615027,-1711.760662,452.9715847
7088.60885,-1804.068446,470.4462944
7090.774301,-1896.550197,487.1280587
7092.82198,-1990.125081,503.3753287
7094.618444,-2082.726726,519.4120599
7096.898407,-2176.432158,534.8244148
7099.293534,-2269.305532,549.1191307
7102.606767,-2362.01814,564.2433792
7106.883301,-2455.537262,580.3803759
7110.106537,-2547.760382,598.2735026
7113.344554,-2639.207179,614.8431941
7116.651719,-2732.904725,630.1616604
7119.90923,-2826.664005,645.1041056
7122.624028,-2919.497431,659.6000947
7125.019098,-3012.394593,673.7408683
7128.085981,-3106.386089,687.2015346
7130.062766,-3199.500137,699.9067682
7132.597092,-3292.663335,712.1305152
7136.738357,-3385.664218,725.1512556
7140.83048,-3478.454637,739.607244
7144.373478,-3570.97436,755.8295748
7148.46756,-3664.292273,773.1419032
7153.485464,-3756.527459,790.5615757
7158.085517,-3848.717506,808.3312639
7161.566638,-3941.949482,826.2342778
7164.371664,-4034.235668,843.8805458
7168.324919,-4127.460828,861.7147743
7173.15618,-4220.499285,880.2973262
7177.387528,-4312.375337,899.7089501
7180.700866,-4404.288859,919.1199885
7182.718693,-4496.468881,937.4054213
7183.829608,-4589.619196,956.0187133
7184.928833,-4681.381156,976.3702285
7186.627,-4773.320673,995.8372742
7189.412177,-4866.463344,1014.313665
7192.217452,-4958.788927,1031.725085
7195.071702,-5051.280856,1048.241905
7197.119171,-5144.61426,1065.818462
7197.677,-5236.736521,1084.493982
7197.176559,-5329.007766,1102.388032
7196.712281,-5422.835478,1117.223623
7198.196228,-5517.003778,1129.654702
7200.35344,-5610.315946,1140.798018
7202.550914,-5678.715686,1149.590324
