TVD,Northing,Easting
5631.75,9.13,-31.03
5654.739708,9.743052358,-31.3155061
5686.677034,11.49403366,-32.19336532
5717.641003,12.2772707,-31.87894162
5748.356296,9.985638368,-28.59614749
5779.189393,4.306603046,-22.32281858
5808.514661,-4.845574757,-13.46482096
5835.706802,-17.27765987,-2.140023812
5859.497845,-32.05819453,11.08869768
5880.320632,-49.32660271,26.1767452
5897.250937,-67.86461772,42.55689908
5910.724124,-87.3655033,60.90838533
5921.76745,-108.5944829,82.13516708
5930.399843,-129.319382,103.5076763
5937.488339,-150.1715233,125.3177998
5943.193017,-171.8059267,148.1918945
5947.820684,-193.3632054,171.3826759
5951.587868,-214.3302982,193.9020446
5954.429774,-236.6132198,216.6870046
5956.410166,-257.9969129,237.6347468
5958.364774,-280.1505335,259.2309288
5960.365277,-302.2170791,280.911867
5961.674951,-367.2809719,344.4600493
5960.797353,-434.6125454,410.0287805
5963.364563,-501.5748251,475.9473334
5967.145143,-568.5485095,541.7967332
5971.007696,-635.9209081,607.2334286
5975.449616,-704.1766584,673.1587164
5982.092858,-772.0105309,739.3313587
5989.852432,-839.2436445,804.5643915
5997.941713,-906.291348,868.5024672
6004.768401,-974.0830196,933.2520896
6010.46206,-1040.905985,997.6807727
6016.706504,-1107.580382,1062.213818
6021.527638,-1174.964773,1127.571007
6026.127704,-1241.761493,1193.544536
6032.599062,-1306.490934,1260.001719
6038.464997,-1372.845146,1327.722774
6042.197247,-1438.736088,1393.246775
6043.623035,-1506.307591,1459.997525
6043.101184,-1572.127824,1524.273671
6042.562316,-1640.302485,1590.431868
6041.984266,-1706.491592,1654.327624
6041.442868,-1774.244978,1719.482626
6041.04092,-1842.084135,1784.549404
6041.04092,-1910.247907,1850.720137
6040.524748,-1975.068136,1914.585789
6038.638181,-2041.806046,1980.755358
6036.38256,-2108.44023,2047.018423
6034.004888,-2174.116325,2112.820696
6031.733631,-2239.419034,2176.147431
6029.98648,-2308.366383,2240.01571
6028.933636,-2378.234942,2304.375762
6028.520692,-2445.052131,2366.151753
6028.799596,-2513.686534,2430.378683
6030.153051,-2581.762358,2495.183714
6031.661821,-2650.205822,2561.048343
6032.773666,-2717.45909,2625.272067
6035.029244,-2785.566649,2690.01668
6038.769596,-2852.775929,2754.187195
6043.336916,-2920.427409,2819.289566
6046.78827,-2986.685671,2883.017578
6048.612023,-3055.452014,2948.53722
6050.819635,-3121.81729,3012.212504
6053.86251,-3188.623695,3076.839461
6057.145472,-3254.710534,3140.759173
6060.510638,-3323.177192,3206.531092
6063.453228,-3391.854707,3272.10344
6066.618996,-3459.786197,3336.997489
6069.246647,-3528.314472,3402.736757
6070.621212,-3591.645922,3463.820511
6071.434684,-3634.054315,3504.831076
