TVD,Northing,Easting
0,0,0
198.9978622,0.43985853,0.666827197
390.9954641,0.57383146,1.477396689
485.9944747,0.230897246,1.7352848
581.9935803,0.228562086,2.079155993
676.9930291,0.482196874,2.231940163
771.9919085,0.472904626,2.620423517
866.9896393,0.154689995,3.16470291
961.9890485,-0.09752765,3.308157205
1057.989,-0.178086253,3.285163873
1152.988793,-0.373603956,3.270263785
1247.988376,-0.37354315,3.488778025
1342.987157,-0.290962204,3.954273
1438.986598,-0.155233143,4.164155331
1533.986264,-0.001773747,4.28221835
1628.985423,-0.04246693,4.678024294
1723.984978,-0.207257784,4.802789955
1818.984811,-0.28311853,4.719504474
1914.984557,-0.166356638,4.892124294
2009.984037,-0.247089242,5.176136623
2104.98341,-0.404015657,5.476080557
2199.982237,-0.631735673,5.242148318
2294.973426,-1.310384904,4.16386728
2389.96359,-2.160419465,3.109466728
2485.953983,-3.10289162,2.144780812
2580.947607,-3.286568902,1.210624024
2675.939639,-2.333978516,0.441861918
2770.928985,-1.250424882,-0.477546192
2866.917337,-0.096896696,-1.42515346
2961.91251,0.707354618,-1.721720801
3056.911981,0.854014609,-1.462187057
3151.911431,0.739120428,-1.164600019
3247.911037,0.682700987,-0.91406777
3342.910109,0.871819816,-0.563946921
3437.90588,1.393753193,0.147668398
3533.900417,2.022128391,0.952032787
3628.895308,2.73528684,1.619847762
3723.889645,3.507241624,2.305671944
3818.883559,4.275083466,3.05334729
3913.878928,5.107227028,3.429678931
4009.874308,6.034066229,3.550123468
4104.869179,7.00895745,3.680044029
4199.866111,7.765374056,3.760985459
4295.86373,8.345118212,3.498630916
4390.861647,8.759740804,3.040174309
4485.858634,9.252095681,2.495188459
4580.854804,9.761806228,1.821054286
4676.853195,10.19155384,1.49135115
4771.852377,10.41327641,1.216269245
4866.851992,10.48450066,0.992725404
4962.851705,10.43208552,1.147060305
5057.849617,9.87457841,1.390141658
5152.845204,9.108131032,1.857846735
5269.82911,8.144498431,3.49416033
5413.77794,6.429657184,6.905260337
5508.754526,5.093946813,8.403997816
5603.749385,4.156801971,8.361744103
5698.745999,3.73530468,7.697390041
5794.738032,3.645344612,6.482963691
5889.724471,3.84567105,4.89272001
5984.707619,4.329448138,3.172705649
6015.699568,4.89103592,2.822668334
6047.638094,6.724063901,3.27209522
6079.370246,10.47221499,4.868455023
6110.742783,16.13179025,7.582143593
6141.696202,23.35488108,11.25413934
6171.25789,31.60593754,15.5953909
6201.279421,41.27137188,20.98762619
6230.815432,51.84976842,27.2813325
6259.893111,63.23409722,34.26507085
6288.366842,75.60707057,42.00725154
6315.18496,88.64878079,50.46107112
6341.913212,103.2112266,60.32090706
6367.650748,118.8378851,71.14627536
6392.448439,135.4916199,82.61501121
6415.558252,152.5922721,94.20611063
6438.27087,171.2536027,106.8383651
6459.668138,190.8862365,120.272597
6479.900241,211.245515,134.4146397
6498.337785,231.5745917,148.8218358
6516.000171,253.3596498,164.2233009
6532.048167,276.1415845,179.9416781
6546.269423,299.9792921,195.8522476
6558.265576,323.9787254,211.3699765
6564.988796,339.8518628,221.507501
6593.688324,427.5676695,271.4287226
6601.671815,456.2716243,285.6159633
6609.530249,483.6915999,300.1056664
6615.979996,510.6214902,316.1249612
6619.778747,537.5758688,332.9268141
6621.230367,564.2378241,350.5515361
6621.808456,590.2236207,369.2139032
6622.376618,614.6442605,388.2968357
6623.097133,638.9855598,409.0531381
6623.951697,662.3841514,430.8612373
6624.863407,684.0371977,453.0227443
6625.854758,705.3146469,476.8998835
6626.62037,724.9315377,500.8885052
6627.159371,744.1811224,526.4428993
6627.648105,762.4177554,552.7308725
6628.262483,779.6826214,579.6649603
6628.974602,795.9693662,607.1988414
6629.775358,810.7460341,634.4366562
6630.861517,825.0555719,663.0368888
6632.226717,838.5717713,692.0091239
6633.753663,851.5673679,721.2113982
6635.222101,864.0160371,750.6530192
6636.514981,875.1731658,779.5449274
6637.9194,885.4775962,809.8050405
6639.468802,894.5737243,840.4441718
6641.006985,902.7166703,871.3514875
6642.486607,909.9723497,902.4816835
6643.812809,916.2121593,933.8375963
6644.698,921.3672765,965.4052201
6645.091765,925.4992709,997.1333971
6645.312399,928.5410664,1028.985808
6645.59377,930.3658999,1059.929204
6646.018284,931.0220171,1091.917254
6646.604719,930.5640197,1121.906882
6647.348652,929.1609414,1152.864965
6648.258974,926.6959609,1184.755366
6649.333958,923.2781341,1216.553179
6650.61869,919.0668592,1247.237401
6652.2323,913.5835881,1278.720569
6653.767771,906.8837911,1309.971589
6655.082688,899.4659965,1341.072077
6656.514806,891.6431571,1372.067507
6658.069864,883.2370065,1401.863545
6659.711461,873.2511361,1432.217995
6661.227433,861.9376534,1462.110501
6662.416943,849.4026644,1491.526476
6663.338473,835.6656855,1520.410808
6664.039482,820.6452412,1548.654064
6664.433268,804.3775034,1576.205099
6664.472364,787.4178933,1603.340877
6664.464248,770.76852,1629.490263
6666.516558,718.1833307,1709.773034
6668.945328,665.9693433,1789.095647
6669.600258,614.6550786,1869.041198
6669.826457,562.4477888,1949.602575
6671.194318,509.4281921,2028.415137
6673.958732,456.3265142,2108.33937
6677.348891,404.0379085,2187.579281
6681.469427,350.7247812,2267.30762
6685.033654,297.1887904,2345.699407
6688.142037,243.1369305,2423.760019
6690.621632,188.1150405,2502.382582
6692.244712,134.0454165,2578.031664
6694.955273,79.56513261,2655.808442
6696.999177,24.58529723,2734.473537
6696.974306,-29.9312205,2812.273377
6696.834854,-83.18642964,2889.731228
6697.46317,-136.8328225,2969.340167
6698.50494,-188.7662989,3047.684193
6698.795114,-242.0313073,3126.341432
6698.173342,-296.0706789,3204.471568
6697.551572,-349.6660867,3282.907099
6698.447934,-404.0708159,3361.992648
6700.155636,-458.1431767,3440.083096
6702.660178,-512.2143124,3519.362951
6706.771065,-564.3976568,3598.63835
6709.828547,-617.5624598,3678.505242
6712.133027,-671.1565041,3756.909286
6714.835315,-724.1206745,3835.728324
6717.371866,-776.4459507,3914.97838
6720.948558,-830.3227984,3994.346236
6725.387115,-885.2379262,4072.962876
6729.895392,-938.8422157,4151.264517
6734.298823,-991.2261088,4229.190662
6738.492367,-1043.74701,4308.240968
6743.489196,-1096.75403,4386.916579
6749.282965,-1150.864363,4466.00194
6754.047853,-1204.672555,4544.146774
6756.791519,-1259.192656,4621.893758
6759.700925,-1314.533511,4699.051152
6763.720544,-1370.08814,4776.008784
6766.426155,-1425.209304,4854.555345
6767.992953,-1479.072031,4932.794388
6769.978299,-1533.345492,5011.954973
6772.566655,-1587.479561,5091.193675
6773.536567,-1641.833239,5169.093056
6772.193585,-1696.798426,5246.565365
6771.240481,-1769.638713,5350.592169
6771.471388,-1805.615971,5402.308494
6771.530031,-1860.679203,5480.946938
6771.530031,-1969.259747,5638.079223
6771.530031,-2075.427844,5796.851005
6771.181838,-2127.355694,5876.401898
6771.064552,-2179.640881,5956.914026
6771.462487,-2231.644969,6036.414886
6772.026225,-2283.995047,6115.687468
6772.635816,-2355.587304,6220.578777
6773.009142,-2390.979619,6271.482676
6773.846894,-2445.690211,6350.362367
6774.581489,-2480.862904,6400.195153
6775.406999,-2512.774522,6444.983178
