TVD,Northing,Easting
0,0,0
145.9999259,-0.02540126,0.12485124
241.9993979,0.085996534,0.403450305
336.9989973,0.200169202,0.619355688
490.9979444,0.469767751,1.041367637
681.9896709,1.828068824,2.125003533
871.9764931,3.78433346,3.20926469
1061.962504,5.873753128,4.179430078
1251.938769,8.409418265,5.743275758
1442.929586,9.445866302,6.656052834
1632.926771,8.512399663,6.225543539
1822.924449,7.620190539,6.052824987
2013.923673,7.689477324,6.367981255
2203.922616,7.725614293,6.14614322
2393.920362,7.264119263,5.362938364
2583.917823,6.804186933,4.515730239
2678.916907,6.599765753,4.179696763
2773.916719,6.467426524,4.221617979
2869.91612,6.514041326,4.51693998
3059.905594,8.060939558,5.640598128
3250.893442,9.831335852,6.77025859
3439.891504,10.19770433,7.433525065
3630.884809,10.06672611,8.944972367
3820.880429,10.08148455,9.990212427
4011.877401,10.70584216,9.250676113
4106.870038,11.17802716,8.20145536
4201.863418,11.36446351,7.12436598
4392.839102,12.79160179,4.626953873
4487.82653,13.66721288,3.439249851
4582.824921,13.91338574,2.953429021
4772.819666,14.53981584,1.731834817
4935.813689,14.62036563,0.424424875
5123.795014,12.23041732,0.204282305
5219.784415,10.92281544,0.60773636
5314.782179,10.2891186,0.709044678
5409.779325,9.613034686,0.436069834
5504.775308,8.960423191,-0.139531941
5600.771273,8.391465403,-0.810281493
5695.769055,8.083887476,-1.367561641
5790.767571,8.101887151,-1.893606174
5885.765887,8.433779845,-2.330948906
5981.762984,9.024592785,-2.779551144
6044.757807,9.625064515,-3.30375925
6076.732647,10.36842075,-4.248935887
6108.587191,11.96702498,-6.765692594
6140.13961,14.64681471,-11.32146326
6171.311827,18.38094659,-17.49904536
6201.249023,22.95175194,-24.11614672
6231.767694,28.85391811,-31.69609105
6261.591897,36.08090134,-40.74416155
6290.515028,44.58471785,-51.45349202
6317.537368,54.02189921,-63.34313144
6344.353761,64.92530385,-76.96902491
6370.122271,76.83009832,-91.73455674
6394.937956,89.61950028,-107.3691214
6419.03112,103.0527899,-123.5867018
6441.779493,116.5183714,-139.7765233
6464.523915,130.8977706,-157.0917583
6486.068947,145.7695908,-175.4825188
6506.002055,161.0285115,-195.3180381
6523.965208,175.9771879,-215.6818195
6541.251239,191.5878088,-237.6199378
6557.081997,207.5373886,-260.3954941
6570.999911,223.3859885,-283.1096545
6583.737538,240.4346057,-306.9991267
6594.728826,258.4962741,-331.0129979
6604.153355,277.4466593,-355.009193
6611.717117,297.0425268,-379.1414678
6615.57991,310.2175134,-395.0299139
6626.420731,366.1502413,-460.745693
6631.643829,406.2133564,-509.0792389
6637.749395,464.5886739,-583.7708963
6640.542709,522.6952127,-658.8703892
6642.482491,580.9151683,-733.9135219
6643.593327,638.5628271,-809.4092254
6642.532193,696.0484809,-885.0341231
6640.816191,753.851634,-960.4055091
6639.813079,811.2644766,-1036.085355
6639.293591,870.4415658,-1111.665355
6639.01172,930.3164361,-1185.420246
6638.845913,989.4807075,-1259.746654
6637.022135,1049.039131,-1333.730229
6634.848545,1108.5346,-1406.471384
6632.510916,1167.874305,-1480.618677
6629.518531,1225.972275,-1555.721092
6627.332129,1283.355302,-1632.65042
6625.474738,1341.608565,-1707.655553
6624.073694,1401.244312,-1781.589479
6622.821785,1461.394434,-1855.104898
6621.395902,1522.515655,-1927.817393
6620.309873,1582.836105,-2001.200479
6618.253972,1643.47002,-2074.299686
6615.170473,1704.50858,-2147.029718
6611.912985,1764.65046,-2220.495603
6609.823978,1825.207248,-2293.656665
6609.27682,1886.480307,-2366.253448
6609.218177,1948.046396,-2439.911787
6608.594748,2007.575259,-2512.654732
6607.208479,2066.35437,-2585.996825
6606.039528,2124.705833,-2660.952612
6605.754682,2183.68836,-2736.691688
6606.218938,2243.001534,-2810.899001
6606.824128,2302.210463,-2885.188333
6608.142274,2360.521588,-2960.17312
6608.399271,2418.985576,-3035.043926
6606.581449,2478.749153,-3110.150106
6604.011761,2537.482747,-3184.773737
6602.193945,2597.126727,-3259.971527
6601.257133,2656.054131,-3334.479523
6599.732473,2714.653614,-3410.503827
6598.306536,2773.192282,-3485.308621
6597.162501,2832.534239,-3559.485558
6595.388485,2891.81161,-3633.701176
6590.321013,2971.105393,-3731.482185
6587.995136,3010.824095,-3779.02689
6587.123886,3073.231042,-3851.966986
6587.430633,3134.795136,-3924.317334
6587.853438,3195.668564,-3997.25038
6588.367447,3255.767471,-4070.820854
6587.944634,3316.08895,-4144.205278
6586.145728,3376.87542,-4217.189332
6583.741761,3437.786523,-4290.051225
6581.253866,3499.363637,-4363.657553
6577.656816,3559.270845,-4437.293926
6573.811268,3618.612068,-4511.377177
6571.498152,3676.504176,-4585.395901
6569.011349,3734.283588,-4660.763589
6566.068709,3791.613222,-4736.457048
6562.901915,3850.005173,-4811.316682
6559.279813,3909.249103,-4885.490282
6555.466442,3967.054249,-4959.517435
6551.521378,4025.177739,-5034.557881
6548.12294,4083.997896,-5109.076762
6544.807503,4143.540251,-5183.026664
6541.43407,4202.842309,-5257.167019
6538.499764,4261.965923,-5331.46896
6535.167726,4320.639244,-5406.109758
6533.261185,4379.177332,-5480.900343
6531.495533,4437.984778,-5555.483908
6528.036303,4497.049576,-5631.083382
6524.559004,4554.409414,-5705.472602
6520.794803,4611.469822,-5780.077472
6517.063204,4669.223789,-5854.145388
6514.352668,4728.474014,-5928.353621
6511.990405,4788.733086,-6003.046942
6509.337821,4848.391763,-6076.929985
6507.951559,4906.403949,-6150.876021
6507.404399,4964.110021,-6226.338768
6506.401289,5021.629489,-6301.939626
6504.942254,5079.204674,-6377.490495
6502.965466,5136.024364,-6452.347663
6500.395788,5193.360891,-6528.050232
6497.055485,5250.497749,-6603.873344
6494.63497,5308.242872,-6679.263807
6493.756205,5366.466332,-6754.325052
6492.446379,5424.686342,-6829.381895
6490.332524,5483.211904,-6904.1835
6487.646804,5542.112414,-6978.670979
6485.449932,5600.27386,-7053.747422
6483.999184,5657.220887,-7129.773213
6482.407515,5714.266002,-7205.722562
6480.724669,5771.442685,-7281.571034
6478.527929,5828.287963,-7357.654479
6476.787069,5885.277506,-7433.640109
6475.64303,5942.940889,-7509.128943
6473.423109,6000.637878,-7585.82036
6471.725202,6056.744468,-7661.216429
6471.410165,6113.318409,-7737.532357
6471.070259,6169.819131,-7813.902644
6471.269227,6226.312927,-7890.277486
6471.093302,6282.840596,-7967.867358
6469.534794,6338.303394,-8043.744893
6467.410387,6393.859003,-8119.540912
6464.474191,6449.288961,-8195.401273
6460.646655,6505.766176,-8272.936092
6458.193097,6561.295578,-8349.972283
6457.131957,6616.755341,-8427.095898
6455.532,6672.170226,-8504.242247
6453.252387,6727.300761,-8581.57522
6450.45886,6781.616605,-8659.464033
6447.350528,6834.786848,-8738.12913
6443.811352,6887.156522,-8817.311007
6440.156014,6940.129061,-8896.082893
6435.962484,6994.510566,-8973.863514
6433.822422,7026.420266,-9018.607313
