TVD,Northing,Easting
5855.34,1.69,-39.14
5884.338619,1.433764547,-39.10132643
5915.326869,1.130887206,-39.77273099
5946.264126,1.033551695,-41.71595836
5978.063356,2.613471286,-44.7686037
6009.357335,7.349153057,-49.36089793
6039.977978,14.33980333,-55.4619176
6068.60899,21.09883264,-61.3321614
6098.267349,27.91056051,-67.24246665
6128.460644,36.29817178,-73.69502271
6157.030754,46.28436639,-80.38028108
6184.950641,57.73681781,-87.46392379
6212.310184,70.24743391,-94.93507025
6239.964058,84.14470984,-103.0598144
6266.036647,98.75478983,-111.2780252
6292.041881,115.1378769,-120.1725516
6316.33612,132.1781474,-129.1297301
6339.856964,150.0536525,-138.5183153
6362.592186,168.4780505,-148.7391028
6384.991863,188.1205498,-160.4078284
6405.707675,207.7375139,-172.5291551
6425.484994,227.9817427,-185.173178
6444.156841,248.9183545,-198.3582066
6462.347525,271.2177133,-212.3482101
6478.982317,293.4919226,-226.0598861
6495.041621,317.1915955,-240.3522908
6509.438688,340.8170767,-254.3308882
6522.717827,365.0156899,-268.4369984
6534.431502,388.8659903,-282.3578986
6545.550783,414.7479595,-297.5336268
6555.286886,440.1047602,-312.473208
6564.129805,465.6337664,-327.670855
6571.488514,490.4571276,-342.8188907
6577.722365,517.0854688,-359.4260847
6582.091562,542.2412406,-375.1726896
6585.221337,568.4054735,-391.4963646
6586.820584,595.5851198,-408.3024127
6587.175221,622.8891913,-424.9852311
6587.071462,647.6984712,-440.0013896
6586.008319,727.1913536,-488.2578277
6585.262206,808.3055625,-537.7021629
6585.573926,888.2460719,-587.1515497
6586.807497,966.6560099,-637.1426122
6586.374,1043.655808,-687.4722464
6584.611168,1119.330203,-737.9790705
6584.270307,1196.274998,-790.2118316
6584.494147,1274.463029,-844.1702843
6583.739341,1351.569909,-896.1503183
6581.956931,1431.800284,-946.9875258
6581.070989,1511.2616,-997.1918833
6580.185084,1590.002449,-1048.52237
6579.610869,1668.068987,-1100.872288
6579.996411,1745.526805,-1154.127481
6579.673089,1823.501816,-1208.392187
6578.577471,1899.265197,-1262.314038
6576.85943,1974.33099,-1315.473483
6576.227826,2051.50477,-1369.130636
6576.854046,2126.9109,-1421.832573
6578.785484,2204.453445,-1476.674707
6582.457213,2281.470685,-1532.170153
6586.090303,2357.71543,-1587.028138
6587.109907,2435.625806,-1641.358694
6583.664358,2511.287427,-1691.781808
6577.406446,2589.109986,-1740.439893
6570.151102,2670.552505,-1788.806623
6564.119895,2751.99346,-1837.336728
6560.609885,2832.237658,-1886.164398
6559.782124,2911.509292,-1934.780225
6559.98938,2992.387953,-1984.614976
6558.977989,3073.183556,-2034.573803
6556.561702,3151.141958,-2083.36324
6554.400521,3232.367277,-2134.483825
6553.670099,3310.812726,-2184.430235
6553.383343,3355.337033,-2213.179215
