TVD,Northing,Easting
0,0,0
99.99968269,0.183630022,-0.117797866
199.9988654,0.376662123,-0.453558778
299.996758,0.152396666,-1.040007616
399.9954907,0.136737093,-1.416795072
488.9948804,0.248970324,-1.650629727
679.9902348,-0.572117547,-2.663664679
773.989115,-0.835845933,-2.649427781
869.9840117,-0.654845224,-1.703187412
965.9750007,-0.387162031,-0.415719397
1059.971588,0.005698871,0.179752271
1155.969176,0.537604327,-0.19389871
1250.964421,1.248903653,-0.814190256
1343.960466,1.881055075,-1.377305377
1439.958287,2.438953672,-1.51570298
1534.953194,3.342104622,-1.144877465
1629.945569,4.331732411,-0.481682599
1723.94062,4.81425647,0.321561242
1818.938498,4.770791581,0.948020998
1914.936686,4.414205076,1.403803278
2009.933628,3.86687549,1.923396567
2104.928603,3.307063921,2.722182511
2200.921641,2.648733777,3.669873435
2295.918371,2.116711503,4.159776926
2390.918057,2.081978245,3.996999429
2485.916012,2.162122792,3.404552697
2581.91198,2.304852474,2.545084558
2677.905946,2.537399593,1.502389607
2774.897553,2.854341661,0.272138998
2868.891533,3.607689635,-0.407620603
2963.886575,4.561811111,-0.582128578
3058.880727,5.575192685,-0.856742446
3153.878369,6.064427567,-1.114757795
3249.876834,5.57339243,-1.239010541
3343.874415,5.019812234,-1.571200891
3439.870582,4.860628249,-2.396121534
3534.867691,4.641079454,-3.050005408
3630.866716,4.332329974,-3.343266573
3725.864553,3.941081316,-3.831037788
3821.862489,3.431733448,-4.149465817
3916.859835,3.51580527,-3.59326012
4009.856024,3.828600105,-2.853550967
4104.854823,3.789475922,-2.382884074
4198.852827,3.494114515,-1.854420446
4294.850855,3.164261976,-1.341095216
4390.848684,2.858681925,-0.777360136
4484.845167,2.415382396,-0.096986115
4580.840817,2.05563186,0.738817499
4676.837981,1.841992399,1.434091329
4771.83636,1.675389169,1.962420567
4867.835031,1.529748952,2.442239871
4962.834453,1.338026181,2.704187556
5058.834308,1.225395747,2.690249828
5154.833815,1.300019308,2.400264751
5250.832838,1.549700854,2.053722643
5282.832451,1.687009295,1.978466711
5409.831909,1.9998273,1.931035524
5504.83097,1.653244441,1.850337054
5600.826415,0.764888937,1.576714082
5694.819106,-0.333119586,1.172513563
5790.810158,-0.955032914,1.973781378
5885.784988,-1.14759254,4.150354829
5952.768501,-1.325572033,5.624222455
5984.751183,-1.168335437,6.636043492
6015.678431,-0.406000573,8.572133993
6047.469266,1.18904903,11.82940182
6079.060792,3.55976092,16.32190424
6110.371452,6.763337513,22.07991149
6140.310528,10.88104124,28.96622615
6170.679074,16.29578933,37.45922993
6199.469969,22.60158449,47.05290953
6228.421097,30.13152517,58.40244495
6256.467632,38.65768508,71.22250692
6283.518146,48.01643448,85.51858369
6308.716485,57.61817269,100.8017703
6332.819862,67.71099981,117.4713405
6356.433474,78.8128087,135.9867264
6378.078072,90.15503926,155.0561388
6399.359999,102.3427207,175.6088187
6419.031083,114.7004065,196.1317989
6438.16669,127.8393422,218.1536607
6456.04312,141.2237883,241.0689843
6472.359782,154.3612116,263.9182662
6487.474238,167.812985,287.3986081
6501.293441,182.3602234,312.3188422
6512.430164,196.6518295,336.222683
6535.805767,240.4799881,403.8737137
6542.242872,258.4522591,429.5540514
6548.205627,277.1959179,456.0512818
6553.304941,294.0285598,481.5724173
6557.590638,309.8474053,509.0487742
6560.762244,323.4896414,536.6968744
6563.707735,335.7820826,566.0900315
6566.609589,346.1343226,595.1622223
6569.473702,354.9645313,624.7360604
6572.419479,362.2802187,655.7431439
6575.283148,367.960722,686.0823786
6578.18411,372.5275025,717.6176726
6581.013461,375.1693807,748.3701592
6584.023015,375.9783927,780.2133753
6587.157445,375.0394328,812.0422327
6589.951239,372.7134539,842.8256742
6592.133721,368.8391436,874.5108518
6593.391717,363.2987601,904.9790015
6593.849008,355.892926,935.0728817
6594.069672,346.503769,965.659339
6594.608133,335.7571482,994.7271656
6595.463096,323.4096495,1023.144953
6596.250695,309.0973757,1051.750584
6596.691985,293.3356136,1079.592276
6596.710925,276.8613266,1105.849444
6596.423242,258.6537999,1132.159188
6596.03089,239.7196901,1156.696902
6595.89402,218.7651625,1180.874615
6596.343732,196.4197428,1203.768976
6597.187254,172.7169248,1225.242691
6598.220812,148.4955512,1244.554263
6599.432736,122.4039398,1263.035057
6600.614969,96.20177896,1279.55135
6601.575663,68.25694565,1295.105055
6602.254687,40.56783985,1309.025152
6602.899719,11.79153038,1323.007488
6604.61773,-70.67414005,1363.755617
6606.282864,-154.6819981,1405.896999
6607.64597,-218.5096454,1436.958927
6610.188712,-303.0702857,1477.927986
6611.904672,-387.735478,1520.974241
6613.119414,-472.5200888,1565.978972
6613.03739,-555.3696558,1610.365308
6611.354555,-639.3018348,1654.833275
6610.788544,-722.0255569,1699.46859
6611.379349,-805.8678956,1741.93082
6612.772075,-891.8100598,1782.390452
6614.57663,-976.7393735,1822.636143
6615.330584,-1063.261802,1864.211569
6614.442562,-1149.815292,1905.727511
6613.074695,-1235.946978,1945.781646
6611.159733,-1322.576543,1984.723643
6609.02101,-1409.542397,2022.898983
6607.609844,-1494.670498,2062.71279
6607.037813,-1579.820231,2104.833394
6607.153878,-1664.886096,2147.125241
6606.089981,-1750.926939,2189.677469
6603.928736,-1837.53407,2231.033257
6603.350694,-1924.578722,2271.511898
6603.493118,-2011.325515,2312.628118
6604.180068,-2097.458972,2355.011013
6604.263841,-2183.592517,2397.393967
6604.062783,-2270.024387,2439.167451
6603.225078,-2356.439343,2480.96061
6601.549672,-2442.705429,2523.044697
6599.410922,-2527.578991,2565.657007
6595.867989,-2612.969497,2609.381745
6592.784542,-2697.694056,2652.244172
6590.927653,-2782.412517,2695.187149
6590.164777,-2866.078345,2738.028765
6589.476673,-2950.84845,2780.904963
6589.099685,-3036.887806,2823.484328
6589.158329,-3123.313792,2865.273587
6589.443169,-3209.859833,2906.813812
6590.869032,-3295.372005,2948.170458
6593.387102,-3380.331495,2988.312536
6596.55289,-3465.71309,3027.502529
6599.603222,-3551.934209,3067.269376
6602.449239,-3637.060097,3107.036619
6604.983873,-3721.583201,3148.079165
6607.371221,-3806.310518,3190.980141
6610.728089,-3891.060314,3233.771807
6613.123193,-3974.398695,3277.174071
6614.631961,-4058.017413,3322.235769
6617.051584,-4140.69225,3366.900584
6620.209166,-4223.425706,3411.410746
6622.944613,-4306.84538,3456.779548
6625.593854,-4388.786187,3502.762453
6627.119534,-4471.022472,3548.252597
6627.177566,-4554.71082,3593.210558
6627.907628,-4637.535159,3637.657809
6628.777143,-4720.5438,3681.757118
6630.172994,-4802.961749,3724.816746
6632.286864,-4887.46538,3768.171157
6634.153199,-4952.539389,3801.199367
6635.83423,-5003.340736,3826.994662
