TVD,Northing,Easting
0,0,0
125.18,0.26,-0.36
218.39,0.62,-0.8
311.62,1.04,-1.13
404.84,1.71,-1.47
528.07,2.63,-1.94
621.3,3.2,-2.36
714.52,3.72,-2.81
807.75,4.32,-3.36
900.98,4.56,-3.76
994.21,4.25,-3.95
1087.43,3.74,-4.25
1180.66,3.09,-4.65
1273.89,2.49,-5.12
1367.12,1.94,-5.58
1460.34,1.4,-6.01
1553.57,0.77,-6.3
1646.8,0.03,-6.44
1740.02,-0.8,-6.57
1833.25,-1.54,-6.73
1926.48,-2.19,-6.93
2019.7,-2.86,-7.24
2112.93,-3.54,-7.63
2206.16,-4.3,-8.09
2299.38,-5.18,-8.41
2392.61,-6.23,-8.49
2485.83,-7.41,-8.51
2579.05,-8.63,-8.53
2672.27,-9.75,-8.76
2765.5,-10.72,-9.23
2858.72,-11.44,-9.87
2951.95,-11.97,-10.8
3045.17,-12.55,-11.88
3138.39,-13.14,-13.06
3231.61,-13.75,-14.4
3324.82,-14.4,-15.83
3418.04,-15.16,-17.4
3511.25,-15.99,-19.11
3604.46,-16.66,-20.76
3697.68,-16.82,-22.26
3790.9,-16.5,-23.52
3884.12,-15.94,-24.57
3977.34,-15.08,-25.61
4070.55,-13.71,-26.74
4163.76,-11.79,-27.84
4256.95,-9.25,-28.55
4350.13,-6.25,-28.75
4443.3,-2.93,-28.1
4536.44,0.93,-26.59
4629.57,4.95,-24.96
4722.71,8.55,-23.45
4815.89,11.43,-22.07
4909.09,13.38,-21
5002.31,14.5,-20.18
5095.54,15.24,-19.48
5188.76,15.83,-18.95
5281.99,16.04,-18.77
5375.22,15.65,-19.1
5468.44,14.89,-19.82
5561.67,13.95,-20.59
5591.16,14.09,-21.23
5623.1,15.07,-22.76
5654.04,16.49,-24.03
5685,18.01,-24.66
5715.96,19.43,-25.33
5747.91,20.87,-26.4
5778.77,22.6,-28.75
5810.39,24.99,-32.99
5839.75,27.88,-38.39
5870.65,31.62,-45.82
5900.06,35.79,-54.67
5928.89,40.59,-65
5958.01,46.23,-77
5985.54,52.38,-89.84
6011.47,59.06,-103.36
6038.39,66.87,-118.79
6062.85,74.83,-134.23
6087.25,83.76,-151.13
6110.79,93.37,-168.86
6133.34,103.79,-187.41
6154.56,115.16,-206.92
6174.42,127.22,-227.45
6191.95,138.85,-247.4
6210.14,152.17,-270.1
6226.53,165.43,-292.82
6241.64,178.88,-316.31
6255.52,192.47,-340.47
6267.83,205.85,-364.33
6279.35,219.97,-389.4
6289.56,234.39,-414.87
6298.29,249.47,-441.7
6305.01,264.26,-468.1
6310.26,279.21,-494.75
6314.09,294.29,-521.55
6316.73,310.15,-549.22
6318.1,325.17,-575.15
6318.63,340.4,-600.99
6318.92,356.31,-627.59
6317.4,404.1,-706.18
6314.97,453.3,-785.06
6314.78,503.37,-864.61
6314.72,552.85,-943.35
6313.82,602.82,-1022.96
6313.26,651.25,-1101.18
6312.01,699.67,-1180.57
6307.79,748.49,-1261.95
6303.41,795.27,-1342.2
6300.56,840.93,-1423.17
6297.82,886,-1505.62
6296.25,929.97,-1587.55
6295.92,973.98,-1669.47
6295.21,1019.77,-1751.56
6293.46,1065.11,-1830.44
6291.6,1096.55,-1885.01
