TVD,Northing,Easting
5299.63,8.01,-31.19
5329.629499,8.126279372,-31.2492293
5360.617138,8.416332702,-32.01772879
5391.585482,8.885166751,-33.33671434
5423.566392,9.11824044,-34.38056987
5455.561409,9.004310011,-34.92758085
5486.554939,9.161747828,-35.50780186
5518.507367,10.33208383,-36.71130692
5549.333133,12.81845412,-38.79680596
5579.929971,16.72847533,-41.84359307
5610.215021,22.16754961,-45.58554554
5641.086122,29.37499717,-49.91993254
5670.546865,37.83354167,-54.53702412
5700.435613,47.99760919,-59.74730741
5728.792886,59.22946536,-65.26884861
5755.672142,71.25564308,-70.99382336
5784.046295,84.70881993,-77.15107653
5811.163323,98.28216173,-83.57248659
5838.329878,113.3693664,-91.19362613
5863.700328,129.1736447,-99.3986936
5888.04708,146.1038641,-108.4180354
5911.319493,164.051515,-118.2694278
5933.433019,182.9569186,-128.9609551
5954.378348,202.7658981,-140.3502744
5974.253374,223.3945561,-152.1944082
5992.987638,244.8951117,-164.341458
6010.540372,267.235782,-176.7364806
6027.506028,291.0167289,-189.7933905
6043.371948,315.4536549,-203.0213628
6057.663571,339.7307012,-215.9534407
6070.240973,363.8158239,-228.662186
6081.948868,390.121072,-242.6122715
6091.619977,416.1381352,-256.4098456
6099.629049,442.6393044,-270.3469285
6105.779308,469.5253423,-284.489343
6110.23503,497.4843319,-299.3937982
6113.661003,524.5479025,-314.1187114
6116.502779,551.5712599,-329.0366002
6117.926314,579.4500929,-344.6720411
6117.989144,605.606079,-359.3621006
6117.517223,633.5975522,-374.8620696
6116.454083,714.9745238,-419.8680162
6116.002912,797.3736039,-465.1017666
6114.639532,879.2437623,-509.1935595
6113.318884,961.7437648,-554.2208627
6112.78569,1043.920772,-599.8567319
6112.618925,1123.491205,-644.0087414
6114.815539,1206.484777,-690.1738803
6118.977559,1287.821018,-735.0739591
6123.616073,1368.361752,-779.2966791
6127.155079,1451.397484,-825.3053254
6130.05846,1533.371758,-871.2130496
6134.074529,1614.18714,-917.0572574
6138.455487,1694.552293,-963.652649
6142.540663,1773.918189,-1010.002411
6146.535428,1855.888964,-1057.85428
6151.383289,1937.160399,-1106.802523
6155.499756,2016.953214,-1156.314923
6157.982895,2095.68574,-1205.751646
6160.295677,2174.559502,-1254.970478
6162.310697,2252.547763,-1303.731395
6164.033293,2331.43082,-1354.821749
6164.572149,2410.472204,-1407.515899
6164.288095,2487.37152,-1459.815877
6164.347262,2580.453061,-1523.884772
