TVD,Northing,Easting
5633.99,45.61,-34.17
5659.97,46.35,-34.73
5690.95,47.1,-35.78
5713.91,47.31,-37.03
5845.67,45.52,-33.35
5877.42,45.58,-29.41
5908.94,45.82,-23.99
5938.86,45.52,-15.93
5968.73,45.17,-4.49
5997.38,44.05,9.69
6023.73,41.58,25.8
6049.24,37.16,44.59
6072.18,30.98,64.47
6094,22.8,86.39
6113.95,12.65,109.25
6131.14,0.6,132.04
6145.44,-12.9,154.68
6157.99,-28.77,179.46
6167.42,-45.47,205.05
6173.32,-61.89,230.66
6175.95,-78.98,257.56
6175.93,-96.02,283.46
6173.62,-131.25,335.63
6169.24,-184.58,414.13
6165.75,-237.1,490.8
6163.35,-308.98,593.03
6163.92,-345.74,644.18
6165.04,-363.69,669.43
6169.95,-417.88,746.08
6173.19,-454.28,797.4
6174.81,-496.38,857.01
6175.48,-562.72,952.16
6176.48,-616.77,1030.28
6177.82,-669.38,1106.96
6178.89,-722.35,1184.6
6179.43,-776.1,1262.93
6180.67,-829.32,1340.41
6183.58,-882.69,1418.95
6185.57,-936.17,1497.43
6186.59,-989.46,1574.85
6189.11,-1042.87,1652.16
6192.16,-1097.39,1729.9
6193.24,-1152.4,1807.34
6193.01,-1204.8,1884.16
6192.56,-1254.93,1962.49
6191.45,-1316.84,2060.58
