TVD,Northing,Easting
0,0,0
145.995374,-0.750215998,0.671006166
241.9832961,-1.998893606,1.529208313
336.9695556,-3.368710145,2.382798016
431.9560742,-4.6584522,3.32925276
506.9434763,-5.741098883,4.17563224
602.9342656,-6.338376449,5.263490733
792.9233716,-5.735318681,7.203851011
887.9198732,-5.597899742,7.991720649
981.9184652,-5.707211963,8.486584311
1077.918208,-5.815435389,8.647232448
1172.917596,-5.895455713,8.353675481
1267.915495,-5.830067182,7.730770071
1362.913123,-5.679880303,7.077294639
1457.911386,-5.766290691,6.521513375
1553.909597,-6.080484879,6.0271869
1648.908294,-6.406998812,5.658003334
1743.907821,-6.669322685,5.53742335
1838.907446,-6.806682313,5.345289874
1933.906449,-6.785765009,4.913516832
2029.905498,-6.65972577,4.507611672
2124.904391,-6.451424544,4.102551378
2219.903277,-6.441662988,3.66816399
2314.902457,-6.702030556,3.377280902
2409.901409,-6.920296324,3.00412865
2505.899179,-7.12455282,2.383685271
2600.895982,-7.338615498,1.635781499
2695.893365,-7.418503115,0.942115334
2790.892129,-7.313288638,0.474330496
2885.890577,-7.111521095,-0.024463196
2981.887855,-6.698457834,-0.606927865
3076.883419,-6.376116592,-1.434013409
3172.876664,-6.284411005,-2.568851171
3267.87036,-6.148439683,-3.654641158
3362.865144,-6.007223376,-4.63932124
3457.863481,-5.828038446,-5.102548485
3553.862044,-5.40135841,-4.860812898
3648.857645,-4.698420471,-4.280417453
3743.851655,-3.961921625,-3.51093823
3838.846055,-3.418464651,-2.638761615
3934.84323,-3.344499051,-1.938068517
4029.838992,-3.2674586,-1.086302464
4124.832251,-3.037840341,0.016212902
4220.827757,-2.828892698,0.914627354
4315.825039,-2.447114216,1.515387176
4410.822475,-1.935064375,1.985525271
4506.818294,-1.197695319,2.489876138
4599.810971,-0.427939888,3.340129515
4694.798318,0.536053028,4.546416439
4790.786007,1.520818879,5.719554956
4885.777777,2.031880879,6.852567345
4980.770843,2.601435164,7.831432979
5076.766907,3.015676536,8.54341067
5171.765394,3.174245694,9.040573073
5196.764971,3.280347913,9.139422448
5319.762191,4.043856079,9.429743984
5414.757351,4.873147106,9.872583718
5509.753198,4.765283958,10.51962274
5604.748504,4.013887653,11.04597539
