TVD,Northing,Easting
5149.67,27.16,-21.68
5231.594774,29.80469488,-23.83458444
5262.39376,32.89897529,-25.23296881
5292.620124,39.26785399,-27.61658505
5322.751848,49.34418158,-31.25936875
5351.315611,62.9190749,-35.99777165
5377.816051,79.92790253,-41.56637536
5401.048101,99.51411598,-47.59184433
5422.143753,122.5463836,-54.45746644
5439.966972,148.0113908,-61.96542551
5453.655462,174.6842259,-69.75871349
5463.852153,203.8093874,-78.14140376
5469.791126,234.0371853,-86.69993178
5471.69364,263.919967,-94.66364201
5471.47993,294.0288893,-102.0340551
5469.98704,385.388692,-124.1025957
5469.573137,475.7814204,-145.9625402
5468.982527,567.2177883,-167.7541877
5468.410765,655.7853494,-188.641702
5467.827136,741.4363671,-208.8256072
5466.638945,830.8528753,-230.441225
5464.488501,921.0954163,-252.8073696
5462.396952,1012.278193,-275.5417655
5460.406081,1101.585975,-297.5357653
5457.463491,1193.866113,-319.9118196
5454.950872,1283.337266,-341.1855971
5453.084361,1373.736996,-362.9387871
5450.430955,1464.02207,-385.0732145
5446.552155,1556.162951,-407.8758113
5444.468775,1647.072784,-431.6665579
5442.639538,1737.378974,-457.6719751
5439.093643,1825.961203,-485.763173
5435.66147,1914.214835,-514.8904655
5433.681389,2002.62154,-543.6837289
5433.320111,2090.136864,-572.0516558
5432.574008,2180.44633,-601.5170124
5430.261189,2270.480017,-631.7379016
5428.374545,2359.67896,-661.3237993
5427.242552,2447.285324,-689.3921026
5425.03617,2536.666015,-718.407738
5421.969844,2624.027375,-747.0884604
5418.789077,2712.328108,-776.1031928
5415.243333,2800.560236,-805.2831476
5411.741431,2889.769569,-834.6999209
5407.834727,3000.017028,-870.5640433
