TVD,Northing,Easting
5994.72,-51.05,8.06
6008.61,-49.6,7.09
6039.37,-46.77,4.44
6071.09,-44.13,1.22
6195.91,-31.94,-10.89
6258.32,-25.13,-16.19
6318.75,-18.5,-21.23
6350.29,-14.37,-24.69
6380.52,-9.34,-29.31
6409.36,-3.31,-34.93
6438.72,4.04,-41.61
6468.59,12.71,-49.15
6496.93,22.43,-57.08
6524.63,33.43,-65.61
6551.72,45.43,-74.72
6578.17,58.28,-84.5
6604.69,72.53,-95.36
6630.27,87.89,-106.91
6654.02,103.87,-118.8
6677.33,121.4,-131.96
6698.65,139.2,-145.71
6718.58,157.77,-160.5
6737.3,177.03,-175.96
6755.63,197.4,-192.49
6771.95,217.63,-209.38
6787.24,239.01,-227.62
6801.12,260.93,-246.35
6812.83,281.97,-264.24
6824.02,303.95,-283.02
6833.88,326.15,-302.26
6849.57,372.59,-343.39
6854.91,395.24,-363.86
6858.58,418.73,-385.28
6861.46,442.19,-406.84
6863.9,465.04,-427.64
6865.36,489.02,-448.78
6865.58,560.63,-511.2
6865.33,631.83,-574.08
6866.89,701.63,-635.52
6867.77,772.08,-697.74
6867.96,840.4,-759.35
6869.42,906.75,-820.14
6870.96,973.41,-882.07
6870.62,1042.15,-944.7
6869.42,1112.12,-1007.46
6868.24,1181.69,-1070.66
6866.58,1249.46,-1132.86
6864.33,1318.26,-1196.87
6861.76,1385.93,-1260.62
6859.35,1436.62,-1308.83
