TVD,Northing,Easting
5639.45,-12.62,-36.14
5718.072548,-16.69786975,-41.74269924
5749.542418,-18.32051956,-47.2802893
5779.945582,-18.75474363,-53.30106816
5810.301733,-17.66984056,-59.47152837
5839.352,-15.44140222,-66.60145331
5869.853121,-12.60554401,-75.84273453
5897.923595,-9.230360286,-85.85954807
5925.34688,-4.260880595,-96.94546715
5953.743798,2.840496956,-109.8584175
5980.197163,11.28501728,-123.6228553
6003.731781,20.5592861,-137.7884861
6029.588155,32.11490584,-154.7262764
6053.309491,43.54200533,-171.0839464
6076.609563,56.43598226,-188.8157019
6097.595806,70.06982791,-207.098178
6117.659604,84.93628071,-227.1019569
6135.451138,99.43289362,-246.4214676
6153.748413,115.5280491,-267.159817
6170.728964,131.7636197,-287.3827648
6187.147299,148.248864,-307.8684716
6203.590776,164.6100045,-328.4333702
6220.017526,181.6786339,-349.9415586
6234.341596,199.0190001,-371.2663037
6248.027562,217.7741015,-393.2866406
6260.708951,236.9630262,-415.5278353
6271.308843,256.5517259,-438.4921683
6279.107586,276.1034317,-461.2368612
6284.393327,296.0426298,-484.3661899
6287.760098,316.8276079,-508.4581173
6289.173041,336.4820749,-531.0719621
6288.734863,356.8089749,-554.467745
6284.617607,416.9119269,-623.9994619
6281.598782,475.7597176,-698.4766622
6279.85163,530.6562821,-774.7608601
6277.281964,585.8092236,-852.068128
6274.737263,639.0496395,-927.0539713
6271.03695,693.4832699,-1001.117771
6268.002687,747.8047295,-1075.286846
6268.091961,800.946912,-1151.606218
6269.248562,854.0834759,-1229.137602
6270.944667,906.2611525,-1306.102375
6271.050167,958.8593461,-1382.790795
6268.704349,1012.818726,-1459.724172
6265.66142,1066.959604,-1535.277737
6263.71749,1122.489421,-1611.093935
6263.750651,1179.269633,-1687.256564
6264.7206,1236.52505,-1763.058
6265.411066,1291.291189,-1836.975771
6266.49707,1346.655668,-1914.165563
6266.862264,1400.704328,-1989.84113
6266.779362,1455.802095,-2067.228118
6266.446627,1509.255459,-2143.32689
6263.854569,1564.482259,-2219.340797
6261.910486,1619.749809,-2295.341224
6262.18939,1673.254315,-2372.625932
6262.603321,1726.820059,-2448.644628
6265.086651,1779.552999,-2525.182304
6267.204443,1829.361468,-2603.669496
6265.793572,1879.035579,-2683.458837
6262.406356,1930.111668,-2762.291034
6256.871528,1983.308248,-2840.803476
6251.007703,2035.678645,-2917.43194
6245.351169,2087.232808,-2993.419889
6242.120822,2114.658423,-3033.896916
6239.128781,2138.726064,-3069.40461
