TVD,Northing,Easting
0,0,0
172.9922393,-0.825080756,1.154588005
301.9737594,-2.035987148,2.97065575
491.947669,-3.834503321,5.551408025
682.9124331,-6.006560469,8.483608251
777.9013321,-6.928766803,9.510236905
967.8958642,-8.250039616,10.08215933
1158.887398,-9.280875412,11.45246973
1348.869875,-10.4650999,13.7213737
1539.859968,-11.7012743,15.07671055
1729.859368,-12.0317525,15.33691117
1920.858816,-11.65552163,15.51905091
2110.856432,-10.7764709,15.85996684
2300.854071,-9.971560187,16.33740351
2490.850579,-8.941343849,16.77231899
2681.847031,-7.884945756,17.18311877
2871.845926,-7.281961084,17.19696035
3062.844918,-7.085559849,16.66585331
3252.843407,-7.640642684,16.20096435
3443.841134,-8.510824817,15.86954393
3633.836492,-9.712923391,15.3498389
3824.827517,-11.39721197,14.58616495
4014.819539,-13.01483297,13.96651738
4205.813653,-14.4789276,13.64367758
4395.807779,-13.92241199,12.93992954
4586.754164,-9.627793186,11.90762902
4776.720191,-7.004134503,12.93085091
4967.696361,-6.851264504,15.90145155
5157.682155,-6.112167918,18.04931307
5348.674806,-5.172251177,19.40829968
5536.668822,-4.120899537,20.44460121
5697.660078,-2.667691818,21.12439945
5793.650377,-1.392733339,21.60698831
5888.641189,-0.136231088,22.00556883
5983.633039,1.091910773,22.18508372
6078.626058,2.182508785,22.5248365
6173.620348,3.071845528,23.05520393
6268.616816,3.786904249,23.45269524
6363.613714,4.366757307,23.94017289
6459.608969,5.072757618,24.56352991
6510.604606,5.537705915,25.03266345
6554.598868,5.965745513,25.59807581
6586.589589,6.576682004,25.36655059
6617.503897,7.902480108,23.58213677
6649.237412,10.23459663,20.2115753
6680.772057,13.26131785,15.70811945
6712.023185,16.84396839,9.853689102
6742.833162,21.11315974,2.356083865
6772.108448,25.95613304,-6.597919952
6801.573253,31.68782789,-17.66953876
6830.097131,38.35188563,-30.53555719
6856.700911,45.89467516,-44.53529877
6883.094882,54.80922678,-60.2701005
6908.467772,64.73923219,-77.04470287
6932.914695,75.43804183,-94.70064875
6955.730297,86.48875008,-112.5381642
6978.453277,98.49438792,-131.6023129
7000.332817,110.9937843,-151.322993
7020.51526,123.6240211,-171.1717257
7039.912074,137.1545297,-192.7188591
7057.659998,151.1265182,-215.3795391
7073.860679,165.4236319,-238.9773083
7088.475905,180.0531309,-263.3923999
7101.167511,194.6548516,-287.6106808
7112.589008,210.2919703,-313.0794066
7122.591364,226.4084292,-338.8503038
7132.102164,242.5042467,-364.8205396
7141.166307,258.4726208,-391.0273337
7149.451023,274.6200003,-417.38202
7176.625515,329.7842615,-510.9810191
7191.652955,360.5269489,-565.0644667
7212.335506,406.4570924,-645.6066801
7231.788039,453.9847353,-726.7119586
7249.743952,503.8331706,-806.7598168
7264.604566,554.1692274,-885.9404807
7274.720793,604.5046282,-967.0336896
7279.079629,653.1762683,-1048.488956
7281.326255,699.9489621,-1131.1424
7283.82964,745.5398106,-1214.450304
7286.565065,791.0329994,-1297.804134
7288.985587,835.9248047,-1381.492086
7288.665692,880.4267288,-1464.279637
7283.833725,928.2022336,-1546.224662
7276.891028,980.3177568,-1625.336394
7272.258591,1035.790241,-1702.304768
7271.537336,1093.582816,-1777.689286
7272.333212,1151.852099,-1852.714944
7272.449282,1208.6049,-1928.896293
7272.275182,1263.852041,-2006.178616
7272.300316,1318.066555,-2085.401401
7272.358351,1369.882838,-2165.024045
7272.243504,1419.597008,-2244.800058
7272.235214,1468.710058,-2326.119393
7272.309827,1517.154444,-2407.838944
7272.066874,1565.211905,-2490.942863
7270.926689,1611.788231,-2572.58332
7269.094641,1658.768789,-2655.133035
7267.331088,1704.955612,-2736.98449
7266.735967,1720.168465,-2763.988466
7265.891712,1742.364603,-2803.124323
7264.299976,1790.344188,-2885.100065
7263.470529,1841.204559,-2966.509293
7264.176031,1893.600947,-3044.542351
7265.825721,1947.735659,-3122.591757
7267.291744,2002.655111,-3201.316923
7268.485519,2057.113377,-3279.149198
7269.712456,2111.149401,-3357.274494
7269.803648,2165.106759,-3435.460933
7268.725871,2218.259566,-3514.189089
7266.6568,2271.155325,-3594.272888
7263.291637,2323.494089,-3673.483177
7259.636511,2375.612633,-3752.826079
7256.118715,2428.220415,-3833.051017
7253.21528,2480.118381,-3911.37103
7250.935058,2532.490108,-3989.396597
7249.11129,2585.08683,-4068.486185
7248.186131,2616.418566,-4116.093605
