TVD,Northing,Easting
0,0,0
142.9995462,0.064277715,-0.305283617
291.9978253,0.214284514,-1.004515644
411.995965,0.517336332,-1.591748404
602.9940289,0.869143178,-2.336903686
697.9935557,1.01421832,-2.578351838
887.9922432,1.365301667,-2.184618668
1077.990605,1.832303403,-1.780364218
1267.983173,2.986275615,-2.904497292
1457.966888,4.518780413,-4.863024836
1647.945711,6.173706274,-7.161222142
1838.939349,6.504745939,-7.701810284
2028.933605,5.47441038,-6.679888972
2219.929772,4.73547888,-5.761728839
2408.922977,3.885333497,-4.424304409
2598.917474,3.102883136,-3.248016897
2789.913913,2.27163187,-2.498650624
2980.907241,0.737644836,-2.073141838
3171.898235,-1.108416001,-2.039036284
3361.888682,-3.008083987,-2.16211887
3552.882698,-4.390687397,-2.643836544
3743.879116,-5.168880358,-3.511267523
3838.878102,-5.320452278,-3.912726083
4028.874384,-5.107694844,-5.061742628
4218.863639,-5.036363424,-7.04927468
4409.843323,-5.210673628,-9.825022026
4599.835619,-4.810823229,-11.13789634
4790.831915,-4.299167568,-10.14446219
4980.828027,-4.171395402,-8.957987365
5171.824596,-4.385536103,-7.863483281
5362.812935,-5.152429207,-5.926334647
5545.724314,-7.082671044,-0.835584332
5636.636061,-8.30860997,2.976654152
5699.608228,-8.587612944,4.751014021
5794.599568,-7.622511518,5.128293849
5890.588216,-6.200193387,4.979796619
5985.58019,-5.019083382,5.335570176
6080.573031,-3.957414041,5.79544434
6175.568174,-3.13549041,6.288155526
6271.565663,-2.474515729,6.419237343
6366.562325,-1.704130051,6.496827068
6398.540847,-0.894869592,5.82459534
6429.39976,0.769618793,3.462566112
6460.988197,3.31908272,-0.931492182
6492.20516,6.659023935,-7.100279488
6522.954095,10.89427181,-14.86315232
6552.165904,15.97554401,-23.89312213
6581.64903,22.03733749,-34.7442307
6610.396768,28.76499816,-47.07426023
6638.274165,36.25072742,-60.87668836
6665.109934,44.63812873,-76.14503242
6689.919699,53.70543904,-92.35879235
6714.201582,63.7256104,-110.6239708
6737.029337,74.07254955,-130.5084878
6757.549974,84.63056755,-151.1970177
6777.225135,96.38286502,-173.5249075
6795.361134,109.1778663,-196.5668879
6811.908043,123.0333202,-220.1886286
6826.641597,137.1536863,-243.520196
6840.005568,151.868216,-267.3036807
6852.268237,167.4155686,-292.4365918
6862.854139,182.8153673,-318.4063823
6890.942118,238.2567253,-412.7078379
6896.974558,253.4390338,-439.0520573
6909.673945,283.5958171,-494.054353
6928.904679,327.1609882,-575.0987094
6945.108572,371.4909089,-658.6665918
6954.03081,416.6926418,-741.7193249
6958.307116,462.5125647,-824.8255267
6959.70818,509.1752945,-907.5532841
6960.678134,557.9995158,-989.0360097
6963.471587,608.1224332,-1069.687495
6966.54677,659.0900178,-1149.798453
6969.22063,710.306363,-1228.574353
6971.243689,760.5967099,-1309.134503
6972.02279,809.2678106,-1391.8772
6971.309836,857.5461229,-1473.690554
6969.510894,905.3523753,-1555.763917
6967.173265,952.3274176,-1638.303927
6966.213566,998.3816312,-1720.237649
6965.500631,1044.479097,-1803.297069
6962.251538,1090.602069,-1886.283053
6958.316458,1138.187567,-1970.716267
6956.052674,1184.924235,-2052.240452
6954.792581,1232.19729,-2134.633738
6955.049572,1278.823556,-2217.398871
6956.066724,1324.227317,-2299.698616
6955.527862,1369.985313,-2382.949327
6954.912644,1415.405245,-2465.244367
6954.597614,1461.135079,-2548.512662
6955.393464,1505.899042,-2632.295056
6957.427658,1549.300443,-2715.650624
6959.027626,1592.644623,-2800.170651
6959.060787,1636.42016,-2884.478103
6957.010183,1681.059711,-2967.175358
6953.843866,1726.364433,-3050.616184
6951.01719,1772.334483,-3133.701672
6950.047217,1818.277889,-3216.842532
6949.308958,1862.442305,-3299.816302
6947.766787,1908.562056,-3382.847485
6945.23031,1956.481148,-3464.834772
6942.581035,2004.719373,-3545.466383
6940.24342,2054.291868,-3626.472377
6938.560493,2102.625268,-3708.232944
6939.011655,2148.947549,-3790.023983
6939.666581,2195.256486,-3872.969059
6939.240022,2240.454266,-3955.387823
6937.103966,2286.542751,-4039.570398
6934.81557,2331.597221,-4122.035092
6934.782759,2376.592883,-4204.56297
6935.263591,2422.539959,-4287.710173
6934.351668,2468.136658,-4371.045955
6933.252467,2513.417786,-4453.411931
6932.99275,2561.329251,-4536.598055
6932.569945,2609.387292,-4618.543747
6931.11919,2656.665836,-4700.929865
6928.437183,2702.827214,-4782.769501
