TVD,Northing,Easting
0,0,0
192,0.63,-0.15
315,1.35,-0.23
504.99,1.95,-0.64
694.99,2.01,-0.84
884.99,1.87,-0.73
1075.99,1.84,-0.9
1265.99,2.39,-0.55
1456.99,3.57,-0.31
1646.98,3.85,0.64
1836.97,2.46,2.67
2027.95,1.44,4.55
2218.95,1.54,6.36
2408.94,2.31,7.82
2599.93,3.8,8.5
2789.93,4.45,8.79
2979.93,4.09,8.84
3170.93,4.2,8.08
3360.92,5.17,6.88
3550.92,5.04,6.27
3741.91,3.35,6.45
3931.91,2.35,6.86
4122.9,1.94,7.54
4312.9,0.95,8.28
4407.9,0.46,8.6
4598.9,0.52,8.91
4789.9,1.2,8.97
4979.89,2.85,9.11
5098.88,3.92,9.27
5224.88,4.22,9.26
5319.88,3.99,9.04
5415.88,3.44,8.31
5509.85,1.5,8.25
5604.82,-0.31,9.41
5699.82,-0.27,10.51
5795.81,0.2,11.41
5890.81,0.95,11.98
5985.8,1.79,12.18
6080.8,2.8,11.81
6174.78,4.2,10.9
6205.78,4.65,10.56
6237.77,4.45,10.78
6269.66,3.02,12.91
6301.16,0.22,17.71
6331.13,-4.07,24.34
6361.54,-10.19,32.16
6391.45,-17.97,40.44
6420.8,-27.38,49.02
6448.54,-38.23,57.6
6476.24,-51.38,66.74
6499.58,-64.42,75.05
6527.48,-82.42,86.1
6551.98,-100.07,96.67
6576.01,-118.33,107.32
6598.51,-136.89,117.81
6620.28,-157.36,129.24
6641.32,-179.53,141.66
6660.98,-201.54,154.04
6680.04,-223.88,166.74
6697.55,-245.97,179.63
6714.26,-269.31,193.77
6729.41,-293.19,208.74
6743.16,-317.49,224.36
6755.45,-341.41,239.79
6767.07,-366.59,255.75
6777.01,-392.42,271.8
6805.67,-504.17,343.6
6816.9,-581.68,395.56
6826.21,-660.96,448.89
6834.57,-741.68,498.22
6834.74,-825.58,540.36
6829.09,-912.69,577.81
6827.29,-1000.27,611.88
6829.88,-1088.91,643.03
6836.16,-1178.9,672.8
6841.44,-1269.16,701.91
6843.27,-1359.86,730.09
6845.49,-1450.83,757.37
6846.61,-1542.34,782.81
6846.72,-1633.18,806.96
6846.41,-1724.03,831.08
6844.97,-1814.84,855.3
6845.37,-1906.2,881.33
6846.53,-1996.95,905.78
6848.86,-2090.1,928.85
6850.89,-2181.31,951.45
6850.43,-2275.27,971.08
6850.2,-2368.7,988.25
6850.54,-2461.28,1004.48
6852.07,-2556.06,1019.67
6854.41,-2649.73,1035.34
6856.69,-2743.35,1051.29
6857.87,-2837.05,1066.88
6858.35,-2930.69,1082.84
6860.89,-3023.33,1098.57
6862.77,-3116.84,1115.17
6863.08,-3209.06,1133.38
6864.17,-3302.2,1152.08
6864.48,-3394.77,1168.35
6863.74,-3487.61,1183.04
6864.13,-3579.44,1197.76
6866.1,-3673.17,1213.1
6867.43,-3766.02,1227.64
6868.26,-3860.08,1240.97
6871.08,-3953.15,1253.81
6872.38,-4046.03,1268.08
6870.35,-4139.45,1285.2
6868.4,-4231.63,1303.53
6867.56,-4324.1,1320.36
6869.09,-4415.88,1335.22
6873.06,-4509.51,1350.82
6877.45,-4602.97,1367.25
6881.87,-4696.42,1383.8
6883.62,-4788.96,1400.11
6883.56,-4881.56,1416.28
6885.53,-4975.23,1432.01
6886.84,-5069.04,1446.84
6886.87,-5162.06,1460.44
6888.28,-5255.29,1472.26
6889.51,-5347.53,1484.03
6889.96,-5440.69,1496.58
6890.55,-5533.66,1510.42
6890.98,-5627.32,1526.33
6892.07,-5709.61,1543.06
6893.35,-5766.04,1556.39
