t,q,t_model,q_model
0.0,3124.0,0.0,3124.0
1.0,2174.0,1.0,3099.782133692596
2.0,2005.0,2.0,3075.1552582824297
3.0,1378.0,3.0,3050.1018729696216
4.0,1385.0,4.0,3024.603251100661
5.0,2022.0,5.0,2998.6393190903436
6.0,3383.0,6.0,2972.1885197143824
7.0,4142.0,7.0,2945.2276572544192
8.0,3379.0,8.0,2917.731721485993
9.0,4078.0,9.0,2889.6736868954154
10.0,2533.0,10.0,2861.024282762828
11.0,2961.0,11.0,2831.7517288161034
12.0,3193.0,12.0,2801.8214299907186
13.0,971.0,13.0,2771.1956223541188
14.0,5063.0,14.0,2739.832960374892
15.0,4839.0,15.0,2707.688033309367
16.0,3661.0,16.0,2674.7107953658515
17.0,3035.0,17.0,2640.845890247222
18.0,3515.0,18.0,2606.031845326805
19.0,3049.0,19.0,2570.20010359979
20.0,2423.0,20.0,2533.2738519830195
21.0,2672.0,21.0,2495.166591505383
22.0,2366.0,22.0,2455.780376954018
23.0,2305.0,23.0,2415.003628384898
24.0,2654.0,24.0,2372.7083811506545
25.0,2025.0,25.0,2328.746789401443
26.0,1974.0,26.0,2282.9466218452512
27.0,1882.0,27.0,2235.105373952352
28.0,1815.0,28.0,2184.9824442845024
29.0,2193.0,29.0,2132.28854354844
30.0,1839.0,30.0,2076.671050370606
31.0,1049.0,31.0,2017.6932616569602
32.0,1703.0,32.0,1954.8041425416325
33.0,1621.0,33.0,1887.292716653073
34.0,1335.0,34.0,1814.2164622865794
35.0,1301.0,35.0,1734.283198504357
36.0,1318.0,36.0,1645.6437671979747
37.0,1356.0,37.0,1545.4976240025587
38.0,1806.0,38.0,1429.2559261051654
39.0,1472.0,39.0,1288.4612539965565
40.0,1344.0,40.0,1104.1052607447098
,,41.0,809.9189390955495
,,42.0,
,,43.0,
,,44.0,
,,45.0,
,,46.0,
,,47.0,
,,48.0,
,,49.0,
,,50.0,
,,51.0,
,,52.0,
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
,,60.0,
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
,,70.0,
,,71.0,
,,72.0,
,,73.0,
,,74.0,
,,75.0,
,,76.0,
,,77.0,
,,78.0,
,,79.0,
,,80.0,
