t,q,t_model,q_model
2019-04-01,160.0,2019-12-01,5635.079445304852
2019-05-01,5866.0,2020-01-01,3251.9750517688094
2019-06-01,3836.0,2020-02-01,3012.2800307668163
2019-07-01,2678.0,2020-03-01,2880.059093973481
2019-08-01,4170.0,2020-04-01,2789.7050737882746
2019-09-01,3119.0,2020-05-01,2721.5463504079303
2019-10-01,3134.0,2020-06-01,2667.078825587037
2019-11-01,5699.0,2020-07-01,2621.869472964037
2019-12-01,5638.0,2020-08-01,2583.321613165399
2020-01-01,3124.0,2020-09-01,2549.7869431150266
2020-02-01,2174.0,2020-10-01,2520.155587288414
2020-03-01,2005.0,2020-11-01,2493.6456288688414
2020-04-01,1378.0,2020-12-01,2469.6860944557425
2020-05-01,1385.0,2021-01-01,2447.84772245701
2020-06-01,2022.0,2021-02-01,2427.7999022839326
2020-07-01,3383.0,2021-03-01,2409.28276649827
2020-08-01,4142.0,2021-04-01,2392.088469229567
2020-09-01,3379.0,2021-05-01,2376.0482532937267
2020-10-01,4078.0,2021-06-01,2361.0232875534753
2020-11-01,2533.0,2021-07-01,2346.8980310051097
2020-12-01,2961.0,2021-08-01,2333.575332979436
2021-01-01,3193.0,2021-09-01,2320.972752734662
2021-02-01,971.0,2021-10-01,2309.01975239402
2021-03-01,5063.0,2021-11-01,2297.655526399009
2021-04-01,4839.0,2021-12-01,2286.827302214673
2021-05-01,3661.0,2022-01-01,2276.488994924473
2021-06-01,3035.0,2022-02-01,2266.6001310355073
2021-07-01,3515.0,2022-03-01,2257.1249795066346
2021-08-01,3049.0,2022-04-01,2248.031844019172
2021-09-01,2423.0,2022-05-01,2239.2924819669292
2021-10-01,2672.0,2022-06-01,2230.88162395314
2021-11-01,2366.0,2022-07-01,2222.7765736851775
2021-12-01,2305.0,2022-08-01,2214.956872691611
2022-01-01,2654.0,2022-09-01,2207.404017689702
2022-02-01,2025.0,2022-10-01,2200.101221011878
2022-03-01,1974.0,2022-11-01,2193.033206474222
2022-04-01,1882.0,2022-12-01,2186.1860345938912
2022-05-01,1815.0,2023-01-01,2179.5469522480093
2022-06-01,2193.0,2023-02-01,2173.1042627960533
2022-07-01,1839.0,2023-03-01,2166.8472134216254
