t,q,t_model,q_model
0.0,277.0,0.0,277.0
1.0,118.0,1.0,81.94218281239392
2.0,7.0,2.0,59.64749960007383
3.0,6.0,3.0,49.290415337343184
4.0,0.0,4.0,42.99035877823089
5.0,0.0,5.0,38.64007527412527
6.0,48.0,6.0,35.4032660485022
7.0,75.0,7.0,32.87295284167574
8.0,4.0,8.0,30.824112342454455
9.0,0.0,9.0,29.12084600431507
10.0,1.0,10.0,27.675573767377248
11.0,15.0,11.0,26.428966602530018
12.0,0.0,12.0,25.339210043648258
13.0,0.0,13.0,24.375868824804066
14.0,137.0,14.0,23.51618989515348
15.0,370.0,15.0,22.7427753004903
16.0,211.0,16.0,22.042062712497348
17.0,11.0,17.0,21.403301890672992
18.0,0.0,18.0,20.817846434398284
19.0,0.0,19.0,20.278652094905524
20.0,0.0,20.0,19.779914013132153
21.0,0.0,21.0,19.316799582730773
22.0,0.0,22.0,18.885248501129247
23.0,12.0,23.0,18.481820904662523
24.0,85.0,24.0,18.103580490237455
25.0,0.0,25.0,17.74800347787394
26.0,0.0,26.0,17.41290692098576
27.0,0.0,27.0,17.096391684198647
28.0,0.0,28.0,16.796796668246316
29.0,0.0,29.0,16.51266175018438
30.0,3.0,30.0,16.24269754288898
31.0,2.0,31.0,15.985760538446499
32.0,122.0,32.0,15.74083253780408
33.0,0.0,33.0,15.507003519461282
34.0,0.0,34.0,15.283457287549084
35.0,0.0,35.0,15.069459381487077
36.0,0.0,36.0,14.86434683764453
37.0,0.0,37.0,14.667519476716267
38.0,0.0,38.0,14.478432455118941
39.0,0.0,39.0,14.296589869185643
40.0,0.0,40.0,14.121539240651234
41.0,0.0,41.0,13.952866743377978
42.0,12.0,42.0,13.790193056344194
43.0,0.0,43.0,13.63316974802205
44.0,0.0,44.0,13.4814761134806
45.0,0.0,45.0,13.334816398690357
46.0,0.0,46.0,13.192917357212362
47.0,0.0,47.0,13.055526093220179
48.0,0.0,48.0,12.92240815201342
49.0,0.0,49.0,12.793345825137925
50.0,0.0,50.0,12.66813664216958
51.0,0.0,51.0,12.546592025335407
52.0,0.0,52.0,12.428536086587876
53.0,0.0,53.0,12.313804549637755
54.0,0.0,54.0,12.202243781884407
55.0,0.0,55.0,12.093709923239386
56.0,0.0,56.0,11.988068100583376
57.0,0.0,57.0,11.88519171808012
58.0,0.0,58.0,11.784961814836953
59.0,0.0,59.0,11.687266482484702
60.0,0.0,60.0,11.59200033617937
61.0,0.0,61.0,11.499064033327748
62.0,0.0,62.0,11.408363835029295
63.0,0.0,63.0,11.319811205823271
64.0,0.0,64.0,11.233322447847717
65.0,0.0,65.0,11.148818365966472
66.0,0.0,66.0,11.066223960812179
,,67.0,10.98546814703523
,,68.0,10.906483494347677
,,69.0,10.829205989213541
,,70.0,10.75357481526725
,,71.0,10.679532150744766
,,72.0,10.607022981390802
,,73.0,10.535994927463483
,,74.0,10.466398083597637
,,75.0,10.398184870411878
,,76.0,10.331309896854714
,,77.0,10.265729832382839
,,78.0,10.201403288152013
,,79.0,10.138290706478795
,,80.0,10.076354257900954
,,81.0,10.015557745226658
,,82.0,9.955866514018338
,,83.0,9.89724736900724
,,84.0,9.839668495979671
,,85.0,9.783099388716469
,,86.0,9.727510780603716
,,87.0,9.672874580565717
,,88.0,9.619163813000903
,,89.0,9.566352561428378
,,90.0,9.51441591557705
,,91.0,9.46332992167151
,,92.0,9.413071535688777
,,93.0,9.363618579378274
,,94.0,9.314949698854022
,,95.0,9.267044325583026
,,96.0,9.219882639607652
,,97.0,9.173445534852323
,,98.0,9.127714586376289
,,99.0,9.082672019444745
,,100.0,9.038300680300107
,,101.0,8.99458400852407
,,102.0,8.951506010889066
,,103.0,8.909051236605215
,,104.0,8.867204753875503
,,105.0,8.825952127678264
,,106.0,8.785279398701725
