t,q,t_model,q_model
2011-07-01,536.0,2012-09-01,277.1322818357196
2011-08-01,10897.0,2012-10-01,81.98131444548163
2011-09-01,4152.0,2012-11-01,59.675984368099755
2011-10-01,8028.0,2012-12-01,49.31395406161829
2011-11-01,6254.0,2013-01-01,43.01088889944905
2011-12-01,454.0,2013-02-01,38.65852790982782
2012-01-01,1730.0,2013-03-01,35.42017294028331
2012-02-01,2781.0,2013-04-01,32.888651377948015
2012-03-01,1080.0,2013-05-01,30.838832451353685
2012-04-01,512.0,2013-06-01,29.134752715387844
2012-05-01,208.0,2013-07-01,27.688790286158987
2012-06-01,1068.0,2013-08-01,26.441587801874256
2012-07-01,235.0,2013-09-01,25.351310827836915
2012-08-01,1604.0,2013-10-01,24.387509563704445
2012-09-01,277.0,2013-11-01,23.52742009287356
2012-10-01,118.0,2013-12-01,22.753636152714517
2012-11-01,7.0,2014-01-01,22.052588938196468
2012-12-01,6.0,2014-02-01,21.41352307502158
2013-01-01,0.0,2014-03-01,20.82778803346713
2013-02-01,0.0,2014-04-01,20.288336200772072
2013-03-01,48.0,2014-05-01,19.78935994575321
2013-04-01,75.0,2014-06-01,19.326024354243522
2013-05-01,4.0,2014-07-01,18.89426718466625
2013-06-01,0.0,2014-08-01,18.490646930643422
2013-07-01,1.0,2014-09-01,18.112225886845202
2013-08-01,15.0,2014-10-01,17.756479068055928
2013-09-01,0.0,2014-11-01,17.421222485219413
2013-10-01,0.0,2014-12-01,17.104556096025966
2013-11-01,137.0,2015-01-01,16.804818007948427
2013-12-01,370.0,2015-02-01,16.52054740075814
2014-01-01,211.0,2015-03-01,16.25045427158216
2014-02-01,11.0,2015-04-01,15.99339456642267
2014-03-01,0.0,2015-05-01,15.748349599984063
2014-04-01,0.0,2015-06-01,15.514408916183537
2014-05-01,0.0,2015-07-01,15.2907559293763
2014-06-01,0.0,2015-08-01,15.076655828239007
2014-07-01,0.0,2015-09-01,14.871445332541484
2014-08-01,12.0,2015-10-01,14.674523976361874
2014-09-01,85.0,2015-11-01,14.485346655925818
2014-10-01,0.0,2015-12-01,14.303417230746748
2014-11-01,0.0,2016-01-01,14.128283006477732
2014-12-01,0.0,2016-02-01,13.959529959357635
2015-01-01,0.0,2016-03-01,13.79677858721936
2015-02-01,0.0,2016-04-01,13.639680292140987
2015-03-01,3.0,2016-05-01,13.487914216038366
2015-04-01,2.0,2016-06-01,13.341184463644156
2015-05-01,122.0,2016-07-01,13.199217658030085
2015-06-01,0.0,2016-08-01,13.061760782598865
2015-07-01,0.0,2016-09-01,12.92857927068586
2015-08-01,0.0,2016-10-01,12.799455309869856
2015-09-01,0.0,2016-11-01,12.67418633303663
2015-10-01,0.0,2016-12-01,12.55258367235756
2015-11-01,0.0,2017-01-01,12.434471355789467
2015-12-01,0.0,2017-02-01,12.319685028592694
2016-01-01,0.0,2017-03-01,12.208070984799084
2016-02-01,0.0,2017-04-01,12.099485295619553
2016-03-01,12.0,2017-05-01,11.99379302352589
2016-04-01,0.0,2017-06-01,11.890867512225778
2016-05-01,0.0,2017-07-01,11.790589744016563
2016-06-01,0.0,2017-08-01,11.692847757087039
2016-07-01,0.0,2017-09-01,11.597536116266488
2016-08-01,0.0,2017-10-01,11.504555431520476
2016-09-01,0.0,2017-11-01,11.413811919183283
2016-10-01,0.0,2017-12-01,11.325217001513904
2016-11-01,0.0,2018-01-01,11.238686940680322
2016-12-01,0.0,2018-02-01,11.154142503726595
2017-01-01,0.0,2018-03-01,11.071508655469293
2017-02-01,0.0,2018-04-01,10.990714276611868
2017-03-01,0.0,2018-05-01,10.911691904664925
2017-04-01,0.0,2018-06-01,10.834377495522707
2017-05-01,0.0,2018-07-01,10.758710203776678
2017-06-01,0.0,2018-08-01,10.684632180049917
2017-07-01,0.0,2018-09-01,10.612088383814985
2017-08-01,0.0,2018-10-01,10.541026410315963
2017-09-01,0.0,2018-11-01,10.471396330355292
2017-10-01,0.0,2018-12-01,10.403150541829964
2017-11-01,0.0,2019-01-01,10.336243632011913
2017-12-01,0.0,2019-02-01,10.270632249665255
2018-01-01,0.0,2019-03-01,10.206274986180434
2018-02-01,0.0,2019-04-01,10.143132264983171
2018-03-01,0.0,2019-05-01,10.081166238545705
,,2019-06-01,10.020340692390175
,,2019-07-01,9.960620955529722
,,2019-08-01,9.901973816843135
,,2019-09-01,9.844367446923789
,,2019-10-01,9.787771324984218
,,2019-11-01,9.732156170434187
,,2019-12-01,9.677493878783055
,,2020-01-01,9.623757461547008
,,2020-02-01,9.57092098986869
,,2020-03-01,9.518959541581065
,,2020-04-01,9.467849151469558
,,2020-05-01,9.41756676450647
,,2020-06-01,9.368090191849964
,,2020-07-01,9.319398069416476
,,2020-08-01,9.271469818850473
,,2020-09-01,9.224285610729265
,,2020-10-01,9.177826329853131
,,2020-11-01,9.132073542482463
,,2020-12-01,9.0870094653941
,,2021-01-01,9.042616936638648
,,2021-02-01,8.998879387889346
,,2021-03-01,8.955780818281035
,,2021-04-01,8.913305769645282
,,2021-05-01,8.871439303054363
,,2021-06-01,8.830166976593146
,,2021-07-01,8.789474824283564
,,2021-08-01,8.749349336091715
,,2021-09-01,8.709777438952429
,,2021-10-01,8.670746478750658
,,2021-11-01,8.632244203203172
,,2021-12-01,8.594258745587842
,,2022-01-01,8.556778609271367
,,2022-02-01,8.519792652989507
,,2022-03-01,8.48329007683695
,,2022-04-01,8.447260408926711
,,2022-05-01,8.411693492681579
,,2022-06-01,8.376579474722481
,,2022-07-01,8.341908793320936
,,2022-08-01,8.307672167384776
,,2022-09-01,8.273860585948269
,,2022-10-01,8.240465298139554
,,2022-11-01,8.207477803600009
,,2022-12-01,8.174889843331606
,,2023-01-01,8.14269339094991
,,2023-02-01,8.1108806443216
,,2023-03-01,8.079444017566674
,,2023-04-01,8.048376133406716
,,2023-05-01,8.017669815841646
,,2023-06-01,7.987318083138411
,,2023-07-01,7.9573141411160195
,,2023-08-01,7.92765137671225
,,2023-09-01,7.898323351818148
,,2023-10-01,7.869323797367243
,,2023-11-01,7.840646607667131
,,2023-12-01,7.812285834961773
,,2024-01-01,7.784235684213468
,,2024-02-01,7.756490508094119
,,2024-03-01,7.729044802175897
,,2024-04-01,7.7018932003120195
,,2024-05-01,7.675030470198816
,,2024-06-01,7.648451509110715
,,2024-07-01,7.622151339800249
,,2024-08-01,7.596125106555599
,,2024-09-01,7.570368071408549
,,2024-10-01,7.544875610486117
,,2024-11-01,7.519643210499492
,,2024-12-01,7.494666465364173
,,2025-01-01,7.469941072945594
,,2025-02-01,7.44546283192473
,,2025-03-01,7.421227638778506
,,2025-04-01,7.397231484870073
,,2025-05-01,7.373470453644244
,,2025-06-01,7.349940717923638
,,2025-07-01,7.32663853730128
,,2025-08-01,7.303560255625608
,,2025-09-01,7.280702298574061
,,2025-10-01,7.258061171311555
