t,q,t_model,q_model
0.0,2051.0,0.0,2051.0
1.0,1807.0,1.0,1829.8791106306371
2.0,1662.0,2.0,1638.4100002988657
3.0,1723.0,3.0,1471.8818929215154
4.0,1490.0,4.0,1326.442578622901
5.0,1300.0,5.0,1198.9229496510782
6.0,837.0,6.0,1086.7010701453453
7.0,1064.0,7.0,987.5960871929404
8.0,738.0,8.0,899.7848497733947
9.0,64.0,9.0,821.7359397415095
10.0,486.0,10.0,752.1571507406737
11.0,609.0,11.0,689.9534246167417
12.0,605.0,12.0,634.1929727356363
13.0,639.0,13.0,584.0798430106734
14.0,643.0,14.0,538.9315927808301
15.0,1027.0,15.0,498.1610287806019
16.0,834.0,16.0,461.26120401407115
17.0,173.0,17.0,427.7930359837954
18.0,616.0,18.0,397.37504497937124
19.0,281.0,19.0,369.6748149481633
20.0,421.0,20.0,344.40186020451415
21.0,564.0,21.0,321.3016443551693
22.0,449.0,22.0,300.1505474248775
23.0,608.0,23.0,280.7516163440901
24.0,408.0,24.0,262.93096504971544
25.0,357.0,25.0,246.53471523270525
26.0,28.0,26.0,231.42638860873265
27.0,805.0,27.0,217.48467754224072
28.0,128.0,28.0,204.60153373384995
29.0,7.0,29.0,192.6805251196043
30.0,729.0,30.0,181.63541962245236
31.0,0.0,31.0,171.3889613298398
32.0,0.0,32.0,161.87181035222747
33.0,0.0,33.0,153.02162228781359
34.0,0.0,34.0,144.78224707105045
35.0,0.0,35.0,137.10303017011987
36.0,0.0,36.0,129.9382017441314
37.0,40.0,37.0,123.2463415731469
38.0,0.0,38.0,116.98990941271714
39.0,0.0,39.0,111.13483196382559
40.0,0.0,40.0,105.65013894119218
41.0,0.0,41.0,100.50764181032132
42.0,0.0,42.0,95.68164968122416
43.0,0.0,43.0,91.14871762286106
44.0,0.0,44.0,86.88742332039659
45.0,0.0,45.0,82.87816855662146
46.0,0.0,46.0,79.10300247525707
47.0,0.0,47.0,75.54546399051732
48.0,0.0,48.0,72.19044105519627
49.0,0.0,49.0,69.0240447977911
,,50.0,66.03349679536682
,,51.0,63.20702796938322
,,52.0,60.5337877818702
,,53.0,58.00376257364342
,,54.0,55.60770202846948
,,55.0,53.337052870412215
,,56.0,51.183899008715535
,,57.0,49.14090743778441
,,58.0,47.201279281065865
,,59.0,45.35870543854753
,,60.0,43.607326359599604
,,61.0,41.94169551718652
,,62.0,40.356746207097004
,,63.0,38.8477613376696
,,64.0,37.410345912283326
,,65.0,36.040401939289914
,,66.0,34.734105532649856
,,67.0,33.48788599178197
,,68.0,32.29840667146561
,,69.0,31.162547472408335
,,70.0,30.077388800625698
,,71.0,29.04019685934451
,,72.0,28.048410150977293
,,73.0,27.099627079027755
,,74.0,26.191594550757642
,,75.0,25.32219749122986
,,76.0,24.489449188080982
,,77.0,23.691482394187165
,,78.0,22.926541122378573
,,79.0,22.192973072619388
,,80.0,21.48922263768741
,,81.0,20.813824438428654
,,82.0,20.165397344193593
,,83.0,19.542638938136577
,,84.0,18.94432039072965
,,85.0,18.36928170814865
,,86.0,17.81642732517248
,,87.0,17.284722014929784
,,88.0,16.77318709026099
,,89.0,16.280896873665164
